Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
131734,0.00,0.00,16,14.59,154,0.13,1048,14.10,14.00,4.79,-10.02,4.37,1.34,0.00,0.64,0.00
131798,0.00,0.00,16,14.59,154,0.13,1047,14.10,13.00,4.64,-10.02,4.37,1.36,0.00,0.64,0.00
131862,0.00,0.00,16,14.59,154,0.13,1054,14.10,13.00,4.64,-10.04,4.40,1.36,0.00,0.64,0.00
131926,0.00,0.00,16,14.59,154,0.13,1035,14.10,12.50,4.64,-9.98,4.37,1.34,0.00,0.64,0.00
131988,0.00,0.00,16,14.59,154,0.13,1036,14.10,14.50,4.64,-10.00,4.40,1.34,0.00,0.64,0.00
132052,0.00,0.00,16,14.47,154,0.13,1032,14.10,14.00,4.79,-10.00,4.37,1.36,0.00,0.64,0.00
132116,0.00,0.00,16,14.59,154,0.12,1042,14.10,14.50,4.64,-9.96,4.35,1.34,0.00,0.64,0.00
132179,0.00,0.00,16,14.47,154,0.12,1056,14.10,13.50,4.64,-10.02,4.32,1.34,0.00,0.64,0.00
132243,0.00,0.00,16,14.47,154,0.12,1044,14.10,12.00,4.64,-10.02,4.37,1.34,0.00,0.64,0.00
132312,0.00,0.00,16,14.47,154,0.13,1048,14.10,13.50,4.64,-10.02,4.37,1.36,0.00,0.64,0.00
132375,0.00,0.00,16,14.47,154,0.13,1031,14.10,13.00,4.79,-9.98,4.40,1.34,0.00,0.64,0.00
132439,0.00,0.00,16,14.36,154,0.13,1044,14.10,14.00,4.64,-10.02,4.40,1.34,0.00,0.64,0.00
134450,0.00,0.00,16,14.36,154,0.13,1044,14.10,14.00,4.64,-10.02,4.40,1.34,0.00,0.64,0.00
141539,0.00,0.00,16,14.59,156,0.12,1046,14.10,14.00,4.64,-10.04,4.29,1.34,0.00,0.64,0.00
141603,0.00,0.00,16,14.70,156,0.12,1052,14.10,13.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
141667,0.00,0.00,16,14.70,156,0.12,1040,14.10,12.50,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
141731,0.00,0.00,16,14.70,156,0.12,1038,14.10,14.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
141795,0.00,0.00,16,14.70,156,0.13,1031,14.10,13.00,4.64,-10.02,4.29,1.34,0.00,0.64,0.00
141859,0.00,0.00,16,14.59,156,0.12,1033,14.10,15.00,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
141923,0.00,0.00,16,14.59,156,0.13,1036,14.10,14.50,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
141987,0.00,0.00,16,14.47,156,0.12,1046,14.10,14.00,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
142051,0.00,0.00,16,14.59,156,0.12,1054,14.10,13.00,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
142115,0.00,0.00,16,14.59,156,0.12,1054,14.10,12.00,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
142179,0.00,0.00,16,14.70,156,0.12,1050,14.10,13.00,4.64,-10.06,4.35,1.36,0.00,0.64,0.00
142243,0.00,0.00,16,14.59,156,0.12,1055,14.10,12.50,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
142307,0.00,0.00,16,14.59,156,0.12,1041,14.10,14.00,4.64,-10.06,4.35,1.34,0.00,0.64,0.00
142371,0.00,0.00,16,14.70,156,0.12,1045,14.10,13.50,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
142435,0.00,0.00,16,14.59,156,0.12,1044,14.10,14.00,4.64,-10.07,4.29,1.34,0.00,0.64,0.00
142499,0.00,0.00,16,14.59,156,0.12,1041,14.10,14.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
142567,0.00,0.00,16,14.59,156,0.12,1049,14.10,13.00,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
142631,0.00,0.00,16,14.59,156,0.12,1045,14.10,13.50,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
142695,0.00,0.00,16,14.47,156,0.12,1050,14.10,13.00,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
142758,0.00,0.00,16,14.36,156,0.12,1042,14.10,14.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
142822,0.00,0.00,16,14.47,156,0.12,1041,14.10,14.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
142882,0.00,0.00,16,14.47,156,0.12,1032,14.10,15.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
142948,0.00,0.00,16,14.47,156,0.13,1039,14.10,15.00,4.64,-10.04,4.37,1.34,0.00,0.64,0.00
143012,0.00,0.00,16,14.36,156,0.12,1045,14.10,13.50,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
143073,0.00,0.00,16,14.47,156,0.13,1034,14.10,14.50,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
143138,0.00,0.00,16,14.47,156,0.12,1038,14.10,14.00,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
143203,0.00,0.00,16,14.47,156,0.12,1031,14.10,14.00,4.64,-10.04,4.29,1.34,0.00,0.64,0.00
143267,0.00,0.00,16,14.59,156,0.12,1039,14.10,14.50,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
143333,0.00,0.00,16,14.47,156,0.12,1041,14.10,14.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
143391,0.00,0.00,16,14.59,156,0.12,1039,14.10,13.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
143455,0.00,0.00,16,14.47,156,0.12,1046,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
143519,0.00,0.00,16,14.47,156,0.12,1044,14.10,13.00,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
143583,0.00,0.00,16,14.36,156,0.12,1051,14.10,13.00,4.64,-10.07,4.26,1.34,0.00,0.64,0.00
143649,0.00,0.00,16,14.24,156,0.12,1038,14.10,12.50,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
143713,0.00,0.00,16,14.36,156,0.12,1038,14.10,13.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
143778,0.00,0.00,16,14.24,156,0.12,1035,14.10,14.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
143839,0.00,0.00,16,14.36,156,0.12,1031,14.10,14.00,4.64,-10.07,4.29,1.34,0.00,0.64,0.00
143903,0.00,0.00,16,14.36,156,0.12,1040,14.10,15.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
143967,0.00,0.00,16,14.47,156,0.13,1031,14.10,14.00,4.64,-10.04,4.29,1.34,0.00,0.64,0.00
144031,0.00,0.00,16,14.47,156,0.13,1040,14.10,14.50,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
144095,0.00,0.00,16,14.47,156,0.12,1044,14.10,13.50,4.64,-10.04,4.29,1.34,0.00,0.64,0.00
144163,0.00,0.00,16,14.59,156,0.12,1038,14.10,13.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
144223,0.00,0.00,16,14.70,156,0.12,1029,14.10,14.00,4.64,-10.04,4.29,1.34,0.00,0.64,0.00
144287,0.00,0.00,16,14.59,156,0.12,1033,14.10,15.00,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
144351,0.00,0.00,16,14.70,156,0.12,1036,14.10,14.00,4.64,-10.06,4.32,1.34,0.00,0.64,0.00
144417,0.00,0.00,16,14.59,156,0.12,1038,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
144481,0.00,0.00,16,14.70,156,0.12,1044,14.10,14.00,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
144545,0.00,0.00,16,14.59,156,0.12,1046,14.10,13.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
144609,0.00,0.00,16,14.70,156,0.12,1046,14.10,13.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
144675,0.00,0.00,16,14.70,156,0.12,1038,14.10,12.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
144739,0.00,0.00,16,14.59,156,0.12,1026,14.10,15.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
144795,0.00,0.00,16,14.70,156,0.12,1029,14.10,14.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
144859,0.00,0.00,16,14.59,156,0.12,1024,14.10,15.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
144928,0.00,0.00,16,14.70,156,0.12,1035,14.10,14.00,4.64,-10.04,4.29,1.34,0.00,0.64,0.00
144990,0.00,0.00,16,14.59,156,0.12,1043,14.10,13.00,4.64,-10.04,4.32,1.34,0.00,0.64,0.00
145054,0.00,0.00,16,14.59,156,0.12,1042,14.10,13.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
145118,0.00,0.00,16,14.59,156,0.12,1045,14.10,13.00,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
145182,0.00,0.00,16,14.47,156,0.12,1032,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
145246,0.00,0.00,16,14.59,156,0.12,1036,14.10,14.00,4.64,-10.04,4.29,1.34,0.00,0.64,0.00
145310,0.00,0.00,16,14.59,156,0.12,1032,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
145374,0.00,0.00,16,14.70,156,0.12,1031,14.10,14.00,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
145438,0.00,0.00,16,14.59,156,0.12,1046,14.10,13.00,4.64,-10.06,4.29,1.34,0.00,0.64,0.00
145502,0.00,0.00,16,14.70,156,0.12,1036,14.10,14.00,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
145566,0.00,0.00,16,14.59,156,0.12,1037,14.10,13.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
145630,0.00,0.00,16,14.70,156,0.13,1032,14.10,14.00,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
145694,0.00,0.00,16,14.59,156,0.12,1030,14.10,14.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
145760,0.00,0.00,16,14.47,156,0.12,1026,14.10,14.50,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
145824,0.00,0.00,16,14.59,156,0.12,1032,14.10,14.50,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
145889,0.00,0.00,16,14.47,156,0.12,1044,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
145946,0.00,0.00,16,14.59,156,0.12,1038,14.10,14.00,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
146012,0.00,0.00,16,14.47,156,0.12,1044,14.10,13.50,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
146077,0.00,0.00,16,14.59,156,0.12,1037,14.10,13.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
146138,0.00,0.00,16,14.47,156,0.12,1037,14.10,13.50,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
146202,0.00,0.00,16,14.47,156,0.12,1040,14.10,13.50,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
146269,0.00,0.00,16,14.59,156,0.12,1038,14.10,13.00,4.64,-10.07,4.26,1.34,0.00,0.64,0.00
146333,0.00,0.00,16,14.47,156,0.12,1035,14.10,13.50,4.64,-10.07,4.24,1.34,0.00,0.64,0.00
146397,0.00,0.00,16,14.59,156,0.12,1032,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
146461,0.00,0.00,16,14.59,156,0.13,1031,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
148486,0.00,0.00,16,14.59,156,0.13,1031,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
149092,0.00,0.00,16,14.70,158,0.12,1029,14.10,13.00,4.64,-10.02,4.26,1.34,0.00,0.64,0.00
149156,0.00,0.00,16,14.70,158,0.12,1034,14.10,13.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
149220,0.00,0.00,16,14.70,158,0.12,1024,14.10,13.00,4.64,-10.02,4.26,1.34,0.00,0.64,0.00
149282,0.00,0.00,16,14.70,158,0.12,1028,14.10,14.00,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
149346,0.00,0.00,16,14.59,158,0.12,1033,14.10,13.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
149412,0.00,0.00,16,14.70,158,0.12,1045,14.10,13.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
149478,0.00,0.00,16,14.59,158,0.12,1042,14.10,12.00,4.64,-10.07,4.18,1.34,0.00,0.64,0.00
149542,0.00,0.00,16,14.70,158,0.12,1042,14.10,12.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
149606,0.00,0.00,16,14.47,158,0.12,1039,14.10,13.00,4.64,-10.09,4.21,1.34,0.00,0.64,0.00
149670,0.00,0.00,16,14.47,158,0.12,1031,14.10,13.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
149734,0.00,0.00,16,14.59,158,0.12,1036,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
149798,0.00,0.00,16,14.47,158,0.12,1034,14.10,13.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
149862,0.00,0.00,16,14.36,158,0.12,1031,14.10,13.50,4.64,-10.07,4.24,1.34,0.00,0.64,0.00
149926,0.00,0.00,16,14.59,158,0.12,1029,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
149990,0.00,0.00,16,14.47,158,0.12,1035,14.10,14.00,4.64,-10.07,4.21,1.34,0.00,0.64,0.00
150054,0.00,0.00,16,14.59,158,0.12,1047,14.10,13.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
150118,0.00,0.00,16,14.59,158,0.12,1040,14.10,12.00,4.64,-10.06,4.21,1.32,0.00,0.64,0.00
150182,0.00,0.00,16,14.70,158,0.12,1044,14.10,13.00,4.64,-10.09,4.21,1.34,0.00,0.64,0.00
150247,0.00,0.00,16,14.59,158,0.12,1029,14.10,12.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
150306,0.00,0.00,16,14.59,158,0.12,1026,14.10,13.00,4.64,-10.09,4.21,1.32,0.00,0.64,0.00
150372,0.00,0.00,16,14.70,158,0.12,1026,14.10,14.50,4.64,-10.06,4.15,1.34,0.00,0.64,0.00
150436,0.00,0.00,16,14.47,158,0.12,1026,14.10,14.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
150500,0.00,0.00,16,14.59,158,0.12,1028,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
150564,0.00,0.00,16,14.47,158,0.12,1030,14.10,15.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
150628,0.00,0.00,16,14.59,158,0.12,1031,14.10,14.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
150692,0.00,0.00,16,14.47,158,0.12,1040,14.10,13.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
150756,0.00,0.00,16,14.59,158,0.12,1030,14.10,14.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
150820,0.00,0.00,16,14.59,158,0.12,1029,14.10,13.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
150884,0.00,0.00,16,14.47,158,0.12,1031,14.10,14.00,4.64,-10.07,4.24,1.34,0.00,0.64,0.00
150948,0.00,0.00,16,14.59,158,0.12,1034,14.10,13.50,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
151006,0.00,0.00,16,14.47,158,0.12,1035,14.10,13.50,4.64,-10.07,4.21,1.34,0.00,0.64,0.00
151070,0.00,0.00,16,14.59,158,0.12,1036,14.10,13.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
151134,0.00,0.00,16,14.59,158,0.12,1038,14.10,13.00,4.64,-10.07,4.24,1.34,0.00,0.64,0.00
151207,0.00,0.00,16,14.70,158,0.12,1036,14.10,13.50,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
151263,0.00,0.00,16,14.59,158,0.12,1038,14.10,13.00,4.64,-10.07,4.21,1.34,0.00,0.64,0.00
151327,0.00,0.00,16,14.70,158,0.12,1024,14.10,14.50,4.64,-10.06,4.21,1.32,0.00,0.64,0.00
151391,0.00,0.00,16,14.70,158,0.12,1023,14.10,14.50,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
151455,0.00,0.00,16,14.70,158,0.12,1024,14.10,14.50,4.64,-10.07,4.26,1.34,0.00,0.64,0.00
151519,0.00,0.00,16,14.70,158,0.12,1029,14.10,14.50,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
151583,0.00,0.00,16,14.81,158,0.12,1044,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
151647,0.00,0.00,16,14.81,158,0.12,1029,14.10,12.50,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
151712,0.00,0.00,16,14.70,158,0.12,1035,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
151776,0.00,0.00,16,14.70,158,0.12,1028,14.10,13.50,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
151841,0.00,0.00,16,14.70,158,0.12,1029,14.10,14.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
151902,0.00,0.00,16,14.47,158,0.12,1027,14.10,14.00,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
151966,0.00,0.00,16,14.59,158,0.12,1030,14.10,14.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
152030,0.00,0.00,16,14.36,158,0.12,1028,14.10,14.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
152095,0.00,0.00,16,14.36,158,0.12,1040,14.10,14.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
152159,0.00,0.00,16,14.24,158,0.12,1046,14.10,13.00,4.64,-10.09,4.26,1.34,0.00,0.64,0.00
152223,0.00,0.00,16,14.24,158,0.12,1033,14.10,12.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
152287,0.00,0.00,16,14.36,158,0.12,1041,14.10,13.50,4.64,-10.07,4.21,1.34,0.00,0.64,0.00
152351,0.00,0.00,16,14.36,158,0.12,1020,14.10,13.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
152415,0.00,0.00,16,14.24,158,0.12,1024,14.10,15.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
152479,0.00,0.00,16,14.47,158,0.12,1024,14.10,14.50,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
152543,0.00,0.00,16,14.36,158,0.12,1028,14.10,14.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
152623,0.00,0.00,16,14.47,158,0.12,1034,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
152671,0.00,0.00,16,14.47,158,0.12,1020,14.10,13.50,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
152735,0.00,0.00,16,14.47,158,0.13,1028,14.10,15.00,4.64,-10.06,4.26,1.34,0.00,0.64,0.00
152799,0.00,0.00,16,14.47,158,0.12,1028,14.10,14.00,4.64,-10.02,4.24,1.34,0.00,0.64,0.00
152863,0.00,0.00,16,14.47,158,0.12,1036,14.10,14.00,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
152927,0.00,0.00,16,14.59,158,0.12,1036,14.10,13.00,4.64,-10.04,4.21,1.32,0.00,0.64,0.00
152991,0.00,0.00,16,14.36,158,0.12,1036,14.10,13.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
153055,0.00,0.00,16,14.59,158,0.12,1038,14.10,13.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
153119,0.00,0.00,16,14.36,158,0.12,1025,14.10,14.00,4.64,-10.06,4.24,1.34,0.00,0.64,0.00
153183,0.00,0.00,16,14.47,158,0.13,1023,14.10,14.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
153247,0.00,0.00,16,14.47,158,0.13,1031,14.10,13.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
153311,0.00,0.00,16,14.47,158,0.13,1022,14.10,14.50,4.64,-10.04,4.26,1.34,0.00,0.64,0.00
153375,0.00,0.00,16,14.47,158,0.12,1033,14.10,13.00,4.64,-10.02,4.21,1.34,0.00,0.64,0.00
153439,0.00,0.00,16,14.47,158,0.12,1028,14.10,14.00,4.64,-10.06,4.15,1.32,0.00,0.64,0.00
153497,0.00,0.00,16,14.59,158,0.12,1033,14.10,13.00,4.64,-10.04,4.18,1.34,0.00,0.64,0.00
153561,0.00,0.00,16,14.59,158,0.12,1027,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
153625,0.00,0.00,16,14.59,158,0.12,1027,14.10,14.00,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
153689,0.00,0.00,16,14.59,158,0.12,1035,14.10,13.00,4.64,-10.06,4.21,1.32,0.00,0.64,0.00
153753,0.00,0.00,16,14.59,158,0.12,1028,14.10,14.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
153820,0.00,0.00,16,14.59,158,0.12,1028,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
153884,0.00,0.00,16,14.70,158,0.12,1029,14.10,13.50,4.64,-10.04,4.24,1.34,0.00,0.64,0.00
153950,0.00,0.00,16,14.70,158,0.12,1031,14.10,13.50,4.64,-10.06,4.18,1.32,0.00,0.64,0.00
154014,0.00,0.00,16,14.59,158,0.12,1028,14.10,14.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
154079,0.00,0.00,16,14.70,158,0.12,1025,14.10,14.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
154143,0.00,0.00,16,14.59,158,0.12,1022,14.10,14.00,4.64,-10.06,4.21,1.34,0.00,0.64,0.00
154207,0.00,0.00,16,14.70,158,0.12,1029,14.10,14.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
156209,0.00,0.00,16,14.70,158,0.12,1029,14.10,14.00,4.64,-10.04,4.21,1.34,0.00,0.64,0.00
159578,0.00,0.00,16,14.59,160,0.12,1023,14.10,13.50,4.64,-10.07,4.10,1.34,0.00,0.64,0.00
159641,0.00,0.00,16,14.36,160,0.12,1018,14.10,13.50,4.64,-10.11,4.13,1.32,0.00,0.64,0.00
159705,0.00,0.00,16,14.47,160,0.12,1035,14.10,14.00,4.64,-10.07,4.15,1.32,0.00,0.64,0.00
159764,0.00,0.00,16,14.36,160,0.12,1034,14.10,12.50,4.64,-10.11,4.15,1.32,0.00,0.64,0.00
159831,0.00,0.00,16,14.47,160,0.12,1018,14.10,12.50,4.64,-10.07,4.13,1.34,0.00,0.64,0.00
159895,0.00,0.00,16,14.36,160,0.12,1023,14.10,14.00,4.64,-10.11,4.13,1.34,0.00,0.64,0.00
159959,0.00,0.00,16,14.36,160,0.12,1004,14.10,14.00,4.64,-10.06,4.18,1.32,0.00,0.64,0.00
160023,0.00,0.00,16,14.47,160,0.12,1010,14.10,15.50,4.64,-10.06,4.18,1.32,0.00,0.64,0.00
160087,0.00,0.00,16,14.47,160,0.12,1009,14.10,15.00,4.64,-10.02,4.15,1.34,0.00,0.64,0.00
162127,0.00,0.00,16,14.47,160,0.12,1009,14.10,15.00,4.64,-10.02,4.15,1.34,0.00,0.64,0.00
162747,0.00,0.00,16,14.59,160,0.12,1009,14.10,14.00,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
162806,0.00,0.00,16,14.70,160,0.12,1012,14.10,14.00,4.64,-10.04,4.15,1.32,0.00,0.64,0.00
162872,0.00,0.00,16,14.59,160,0.12,1017,14.10,13.50,4.64,-10.04,4.15,1.32,0.00,0.64,0.00
162936,0.00,0.00,16,14.59,160,0.12,1004,14.10,14.50,4.64,-10.04,4.15,1.34,0.00,0.64,0.00
162997,0.00,0.00,16,14.47,160,0.12,1012,14.10,14.00,4.64,-10.04,4.10,1.34,0.00,0.64,0.00
163063,0.00,0.00,16,14.47,160,0.12,1010,14.10,13.50,4.64,-10.02,4.13,1.32,0.00,0.64,0.00
163127,0.00,0.00,16,14.59,160,0.12,1010,14.10,14.00,4.64,-10.02,4.10,1.32,0.00,0.64,0.00
163191,0.00,0.00,16,14.47,160,0.12,1010,14.10,14.00,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
163258,0.00,0.00,16,14.59,160,0.12,1012,14.10,14.00,4.64,-10.02,4.13,1.34,0.00,0.64,0.00
163322,0.00,0.00,16,14.59,160,0.12,1002,14.10,15.00,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
163381,0.00,0.00,16,14.59,160,0.12,992,14.10,16.00,4.64,-10.02,4.10,1.32,0.00,0.64,0.00
163445,0.00,0.00,16,14.47,160,0.12,1005,14.10,14.00,4.64,-10.02,4.13,1.32,0.00,0.64,0.00
163509,0.00,0.00,16,14.59,160,0.12,1013,14.10,14.00,4.64,-9.96,4.13,1.32,0.00,0.64,0.00
163577,0.00,0.00,16,14.59,160,0.12,1017,14.10,13.00,4.64,-10.02,4.10,1.34,0.00,0.64,0.00
163633,0.00,0.00,16,14.70,160,0.12,1018,14.10,13.00,4.64,-10.02,4.13,1.32,0.00,0.64,0.00
163697,0.00,0.00,16,14.59,160,0.12,1010,14.10,13.00,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
163767,0.00,0.00,16,14.47,160,0.12,1008,14.10,12.50,4.64,-10.04,4.07,1.32,0.00,0.64,0.00
163832,0.00,0.00,16,14.59,160,0.12,1007,14.10,14.00,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
163896,0.00,0.00,16,14.47,160,0.12,1011,14.10,14.00,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
163955,0.00,0.00,16,14.59,160,0.12,1004,14.10,13.50,4.64,-10.04,4.10,1.34,0.00,0.64,0.00
164021,0.00,0.00,16,14.36,160,0.12,1013,14.10,14.50,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
164085,0.00,0.00,16,14.47,160,0.12,1007,14.10,13.50,4.64,-10.02,4.10,1.32,0.00,0.64,0.00
164146,0.00,0.00,16,14.47,160,0.12,1010,14.10,14.00,4.64,-10.04,4.10,1.32,0.00,0.64,0.00
164210,0.00,0.00,16,14.47,160,0.12,998,14.10,13.50,4.64,-10.00,4.10,1.34,0.00,0.64,0.00
164274,0.00,0.00,16,14.47,160,0.12,1006,14.10,15.00,4.64,-10.02,4.10,1.32,0.00,0.64,0.00
164338,0.00,0.00,16,14.47,160,0.12,1006,14.10,14.00,4.79,-9.98,4.15,1.32,0.00,0.64,0.00
164402,0.00,0.00,16,14.59,160,0.12,998,14.10,13.00,4.64,-10.02,4.10,1.32,0.00,0.64,0.00
164466,0.00,0.00,16,14.59,160,0.12,990,14.10,15.00,4.79,-9.98,4.15,1.32,0.00,0.64,0.00
164530,0.00,0.00,16,14.59,160,0.12,994,14.10,15.50,4.64,-9.98,4.15,1.34,0.00,0.64,0.00
164596,0.00,0.00,16,14.70,160,0.12,997,14.10,15.00,4.64,-9.96,4.15,1.34,0.00,0.64,0.00
164660,0.00,0.00,16,14.70,160,0.12,1002,14.10,14.50,4.79,-9.96,4.15,1.34,0.00,0.64,0.00
164724,0.00,0.00,16,14.70,160,0.12,1018,14.10,14.00,4.79,-9.96,4.15,1.32,0.00,0.64,0.00
164792,0.00,0.00,16,14.70,160,0.12,1011,14.10,12.50,4.79,-9.98,4.15,1.32,0.00,0.64,0.00
164850,0.00,0.00,16,14.81,160,0.12,1017,14.10,13.00,4.79,-9.98,4.10,1.32,0.00,0.64,0.00
