Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Tip-in Throttle* (%),Tip-in Enrichment (Last Calculated)* (raw enrichment value)
183065,12.29,0.09,2238,0.00,0.00,16,15.16,15.00,3.19,7.26,-2.32,0.64,0.0,0
183260,11.94,0.10,2176,0.00,0.00,16,15.16,14.50,3.19,7.21,-2.32,0.64,0.0,0
183460,13.90,0.10,2170,0.00,0.00,16,14.80,14.50,3.34,6.92,-2.01,0.64,0.0,0
183658,16.77,0.10,2138,0.00,0.00,16,14.80,14.50,3.48,6.92,-2.01,0.64,0.0,0
183860,23.77,0.10,2098,0.00,0.00,16,14.45,14.00,3.48,6.37,-1.70,0.64,0.0,0
184059,24.58,0.10,2070,0.00,0.00,16,14.10,14.00,3.63,6.73,-1.70,0.64,0.0,0
184260,23.43,0.09,2022,0.00,0.00,16,14.10,14.00,3.63,5.91,-1.70,0.64,0.0,0
184461,23.77,0.09,1986,0.00,0.00,16,14.10,14.00,3.77,6.26,-1.39,0.64,0.0,0
184656,23.77,0.10,1927,0.00,0.00,16,14.10,14.00,3.77,6.18,-1.39,0.64,0.0,0
184864,23.77,0.10,1892,0.00,0.00,16,14.10,14.00,3.77,6.04,-1.39,0.64,0.0,0
185067,23.66,0.10,1854,0.00,0.00,16,14.10,14.00,3.77,6.18,-1.39,0.64,0.0,0
185268,24.12,0.10,1786,0.00,0.00,16,14.10,14.00,3.77,5.81,-1.39,0.64,0.0,0
185468,23.77,0.11,1734,0.00,0.00,16,14.10,14.00,3.77,6.18,-1.39,0.64,0.0,0
185664,24.00,0.11,1690,0.00,0.00,16,14.10,14.00,3.77,6.15,-1.39,0.64,0.0,0
185866,24.12,0.12,1618,0.00,0.00,16,14.10,14.00,3.77,6.26,-1.39,0.64,0.0,0
186067,24.00,0.13,1359,0.00,0.00,16,14.10,22.00,4.06,6.01,-1.39,0.64,0.0,0
186268,23.77,0.13,1210,0.00,0.00,16,14.10,22.00,4.50,5.33,-1.08,0.64,0.0,0
186468,23.89,0.11,1225,0.00,0.00,16,14.10,19.50,4.21,4.36,-1.39,0.64,0.0,0
186663,23.66,0.12,1169,0.00,0.00,16,14.10,22.00,4.21,4.63,-1.08,0.64,0.0,0
186867,20.56,0.11,1146,0.00,0.00,16,14.10,22.00,4.35,4.36,-1.08,0.64,0.0,0
187067,16.31,0.11,1126,0.00,0.00,16,14.10,22.00,4.35,4.25,-1.08,0.64,0.0,0
187268,14.81,0.11,1110,0.00,0.00,16,14.10,22.00,4.35,4.20,-1.08,0.64,0.0,0
187466,14.47,0.11,1086,0.00,0.00,16,14.10,22.00,4.35,4.09,-1.08,0.64,0.0,0
187665,14.24,0.11,1062,0.00,0.00,16,14.10,22.00,4.35,4.03,-1.08,0.64,0.0,0
187860,14.01,0.11,1054,0.00,0.00,16,14.10,22.00,4.35,3.98,-1.08,0.64,0.0,0
188063,14.01,0.11,1040,0.00,0.00,16,14.10,22.00,4.35,3.95,-1.08,0.64,0.0,0
188261,14.01,0.12,1010,0.00,0.00,16,14.10,22.00,4.35,3.84,-1.08,0.64,0.0,0
188457,14.01,0.12,988,0.00,0.00,16,14.10,22.00,4.50,3.87,-1.08,0.64,0.0,0
188656,14.13,0.12,973,0.00,0.00,16,14.10,22.00,4.50,3.87,-1.08,0.64,0.0,0
188860,14.13,0.12,969,0.00,0.00,16,14.10,21.50,4.50,3.74,-1.08,0.64,0.0,0
189060,14.13,0.12,953,0.00,0.00,16,14.10,21.00,4.50,3.69,-1.08,0.64,0.0,0
189260,14.24,0.12,950,0.00,0.00,16,14.10,20.50,4.64,3.69,-1.08,0.64,0.0,0
189458,14.01,0.12,950,0.00,0.00,16,14.10,19.00,4.64,3.95,-1.08,0.64,0.0,0
189656,14.13,0.13,982,0.00,0.00,16,14.10,16.50,4.79,4.03,-1.08,0.64,0.0,0
189858,14.36,0.15,994,0.00,0.00,16,14.10,13.00,4.93,4.86,-1.08,0.68,0.6,0
190057,14.47,0.20,1073,0.00,0.00,16,15.51,15.50,5.95,7.26,-1.08,0.74,0.6,0
190258,14.36,0.22,1182,0.00,0.00,16,20.08,20.00,6.82,8.65,-1.08,0.78,0.0,0
190456,13.21,0.25,1282,0.00,0.00,16,27.11,27.00,7.55,10.38,-1.39,0.82,0.0,0
190653,14.70,0.26,1368,0.00,0.00,16,28.87,28.50,7.98,11.82,-1.39,0.82,0.0,0
190855,15.50,0.27,1420,0.00,0.00,16,29.22,29.00,8.27,12.52,-1.39,0.84,0.0,0
191055,15.39,0.28,1405,0.00,0.00,16,29.57,29.50,8.71,13.19,-1.39,0.84,0.0,0
191254,14.81,0.31,1356,0.00,0.00,16,29.57,29.50,9.00,13.82,-1.39,0.86,0.0,0
191452,14.70,0.33,1257,0.00,0.00,16,27.46,27.50,9.58,13.89,-1.39,0.86,0.0,0
191652,14.47,0.37,1125,0.00,0.00,16,22.89,22.50,10.45,13.89,-1.08,0.88,0.6,0
191852,13.67,0.33,1311,0.00,0.00,16,29.22,28.50,10.74,14.59,-1.39,0.90,0.0,0
192051,14.81,0.33,1425,0.00,0.00,16,31.33,30.50,10.59,15.98,-1.39,0.94,0.0,0
192252,15.73,0.35,1566,0.00,0.00,16,34.49,34.00,10.59,18.41,-1.39,0.96,0.0,0
192447,14.70,0.34,1770,0.00,0.00,16,36.95,36.50,10.30,19.66,-1.39,0.96,0.0,0
192647,14.93,0.33,1896,0.00,0.00,16,38.71,39.00,10.01,21.09,-0.77,0.98,0.0,0
192848,14.81,0.32,2040,0.00,0.00,16,40.47,40.50,9.87,21.80,-0.77,1.00,0.6,0
193048,14.81,0.31,2207,0.00,0.00,16,42.23,42.50,9.43,22.67,-1.39,1.00,0.0,0
193242,14.59,0.32,2328,0.00,0.00,16,43.98,43.50,9.43,24.51,-1.70,1.00,0.0,0
193442,14.24,0.32,2462,0.00,0.00,16,43.98,43.50,9.43,26.73,-2.01,1.00,0.0,0
193642,14.13,0.32,2576,0.00,0.00,16,43.63,43.50,9.29,28.32,-2.32,1.00,0.0,0
193842,14.01,0.32,2741,0.00,0.00,16,43.28,43.00,9.14,29.07,-2.94,1.00,0.0,0
194042,14.01,0.31,2870,0.00,0.00,16,43.28,43.00,9.00,29.84,-3.25,1.00,0.0,0
194242,13.67,0.29,3017,0.00,0.00,16,43.63,43.50,8.85,29.28,-3.25,0.98,0.0,0
194441,13.90,0.27,3102,0.00,0.00,16,44.34,44.00,8.42,26.93,-3.87,0.88,-0.6,0
194638,13.32,0.12,3020,0.00,0.00,16,-1.02,-6.00,4.64,9.57,-4.18,0.64,0.0,0
194835,11.60,0.14,2683,0.00,0.00,16,-8.05,-8.50,4.06,12.46,-4.18,0.64,0.0,0
195035,14.01,0.14,2327,0.00,0.00,16,6.37,8.50,3.92,10.93,-2.94,0.64,0.0,0
195236,18.95,0.14,1982,0.00,0.00,16,14.10,14.00,4.06,9.09,-2.01,0.64,0.0,0
195433,23.31,0.16,1661,0.00,0.00,16,14.10,14.00,4.21,9.04,-1.39,0.64,0.0,0
195631,23.43,0.16,1398,0.00,0.00,16,14.10,22.00,4.64,7.66,-1.39,0.64,0.0,0
195836,23.54,0.14,1292,0.00,0.00,16,14.10,22.00,5.22,6.13,-1.39,0.64,0.0,0
196035,24.00,0.12,1328,0.00,0.00,16,14.10,15.00,4.79,5.36,-1.39,0.64,0.0,0
196236,21.59,0.11,1333,0.00,0.00,16,14.10,14.00,4.64,5.01,-1.39,0.64,0.0,0
196436,15.85,0.11,1309,0.00,0.00,16,14.10,16.50,4.35,4.91,-1.39,0.68,0.0,0
196632,15.04,0.17,1325,0.00,0.00,16,15.51,15.00,4.79,7.03,-1.39,0.76,0.0,0
196830,14.47,0.19,1594,0.00,0.00,16,24.30,22.50,5.95,10.13,-1.39,0.82,0.0,0
197031,13.09,0.20,1839,0.00,0.00,16,34.14,34.00,6.24,11.93,-1.39,0.82,0.0,0
197229,14.81,0.23,1735,0.00,0.00,16,33.09,32.00,6.53,12.79,-1.39,0.86,0.6,0
197429,15.04,0.28,1771,0.00,0.00,16,34.84,34.00,7.69,16.20,-1.39,0.92,0.0,0
197627,13.90,0.36,1819,0.00,0.00,16,37.66,37.50,9.14,21.36,-0.77,1.00,0.0,0
197836,14.01,0.37,1860,0.00,0.00,16,37.30,38.00,10.59,22.95,-0.15,1.02,0.0,0
198038,14.93,0.36,1914,0.00,0.00,16,38.36,38.00,10.88,23.63,0.15,1.04,0.6,0
198237,15.16,0.36,2020,0.00,0.00,16,38.71,39.00,10.88,24.22,0.15,1.04,0.0,0
198437,15.04,0.36,2081,0.00,0.00,16,39.41,40.00,10.88,24.71,0.15,1.04,0.0,0
198635,15.04,0.35,2138,0.00,0.00,16,40.82,40.50,10.59,24.90,0.15,1.02,0.0,0
198836,14.70,0.34,2210,0.00,0.00,16,41.88,41.50,10.30,25.01,-0.77,1.02,0.0,0
199035,14.59,0.29,2236,0.00,0.00,16,42.93,42.50,9.00,18.95,-2.32,0.90,0.0,0
199236,13.09,0.24,2266,0.00,0.00,16,42.58,42.50,7.84,17.10,-2.32,0.82,-0.6,0
199436,12.86,0.18,2309,0.00,0.00,16,33.79,33.50,6.24,12.24,-2.63,0.80,0.0,0
199631,12.29,0.15,2296,0.00,0.00,16,18.32,18.00,5.22,10.28,-2.63,0.74,0.0,0
199834,12.06,0.11,2258,0.00,0.00,16,7.07,7.50,4.50,8.31,-2.32,0.70,0.0,0
200034,11.94,0.13,2258,0.00,0.00,16,10.59,10.50,3.92,9.35,-2.63,0.70,0.0,0
200232,11.83,0.12,2255,0.00,0.00,16,10.59,8.00,3.63,8.95,-2.32,0.68,0.0,0
200432,11.37,0.10,2200,0.00,0.00,16,10.23,9.50,3.48,7.03,-2.32,0.64,0.0,0
200631,11.83,0.09,2178,0.00,0.00,16,15.16,14.50,3.48,7.15,-2.01,0.64,0.0,0
200829,14.13,0.10,2126,0.00,0.00,16,14.80,14.50,3.48,7.14,-2.01,0.64,0.0,0
201030,18.49,0.10,2074,0.00,0.00,16,14.45,14.00,3.63,6.84,-1.70,0.64,0.0,0
201228,23.54,0.10,2056,0.00,0.00,16,14.10,14.00,3.63,6.51,-1.70,0.64,0.0,0
201426,23.54,0.10,2028,0.00,0.00,16,14.10,14.00,3.77,6.62,-1.70,0.64,0.0,0
201627,24.00,0.09,1979,0.00,0.00,16,14.10,14.00,3.77,6.48,-1.39,0.64,0.0,0
201824,24.00,0.09,1925,0.00,0.00,16,14.10,14.00,3.77,6.11,-1.39,0.64,0.0,0
202029,23.54,0.10,1891,0.00,0.00,16,14.10,14.00,3.77,6.33,-1.39,0.64,0.0,0
202224,24.00,0.10,1857,0.00,0.00,16,14.10,14.00,3.77,6.40,-1.39,0.64,0.0,0
202427,23.66,0.10,1820,0.00,0.00,16,14.10,14.00,3.77,6.18,-1.39,0.64,0.0,0
202624,23.77,0.10,1772,0.00,0.00,16,14.10,14.00,3.77,6.00,-1.39,0.64,0.0,0
202826,24.00,0.11,1712,0.00,0.00,16,14.10,14.00,3.77,6.11,-1.39,0.64,0.0,0
203027,23.89,0.11,1677,0.00,0.00,16,14.10,14.00,3.77,6.22,-1.39,0.64,0.0,0
203225,23.89,0.12,1625,0.00,0.00,16,14.10,14.00,3.77,6.26,-1.39,0.64,0.0,0
203432,23.89,0.12,1578,0.00,0.00,16,14.10,14.00,3.77,6.40,-1.39,0.64,0.0,0
203625,24.00,0.12,1540,0.00,0.00,16,14.10,14.00,3.92,6.22,-1.39,0.64,0.0,0
203824,23.66,0.12,1497,0.00,0.00,16,14.10,22.00,4.06,5.81,-1.39,0.64,0.0,0
204024,23.77,0.11,1449,0.00,0.00,16,14.10,22.00,3.92,5.36,-1.39,0.64,0.0,0
204225,24.23,0.11,1402,0.00,0.00,16,14.10,22.00,3.92,5.14,-1.39,0.64,0.0,0
204421,24.00,0.12,1373,0.00,0.00,16,14.10,1.00,4.06,5.52,-1.39,0.64,0.0,0
204620,24.00,0.12,1324,0.00,0.00,16,14.10,7.00,3.77,5.33,-1.39,0.64,0.0,0
204821,23.89,0.12,1291,0.00,0.00,16,14.10,13.00,3.77,5.36,-1.39,0.64,0.0,0
205018,22.16,0.12,1263,0.00,0.00,16,14.10,19.00,3.77,5.14,-1.39,0.64,0.0,0
205222,14.70,0.12,1237,0.00,0.00,16,14.10,22.00,3.92,5.14,-1.39,0.64,0.0,0
205417,12.40,0.13,1208,0.00,0.00,16,14.10,22.00,3.92,5.04,-1.39,0.64,0.0,0
205618,11.94,0.13,1170,0.00,0.00,16,14.10,22.00,4.06,5.01,-1.08,0.64,0.0,0
205813,11.83,0.13,1158,0.00,0.00,16,14.10,22.00,4.21,4.95,-1.08,0.64,0.0,0
206012,11.71,0.12,1139,0.00,0.00,16,14.10,22.00,4.21,4.53,-1.08,0.64,0.0,0
206214,11.94,0.12,1116,0.00,0.00,16,14.10,22.00,4.06,4.31,-1.08,0.64,0.0,0
206414,12.06,0.13,1036,0.00,0.00,16,14.10,22.00,4.21,4.22,-1.08,0.64,0.0,0
206613,12.29,0.13,1006,0.00,0.00,16,14.10,22.00,4.35,4.22,-1.08,0.64,0.0,0
206813,12.75,0.12,991,0.00,0.00,16,14.10,22.00,4.35,4.06,-1.08,0.64,0.0,0
207009,13.09,0.12,967,0.00,0.00,16,14.10,22.00,4.50,3.92,-1.08,0.64,0.0,0
207210,13.32,0.13,908,0.00,0.00,16,14.10,22.00,4.50,3.84,-1.08,0.64,0.0,0
207408,13.78,0.12,876,0.00,0.00,16,14.10,22.00,4.79,3.69,-1.08,0.64,0.0,0
207606,14.24,0.13,874,0.00,0.00,16,14.10,22.00,4.79,3.74,-1.08,0.64,0.0,0
207805,14.59,0.13,874,0.00,0.00,16,14.10,22.00,4.93,3.87,-1.08,0.64,0.0,0
208008,14.81,0.13,876,0.00,0.00,16,14.10,21.00,5.08,3.89,-1.08,0.64,0.0,0
208202,15.16,0.14,873,0.00,0.00,16,14.10,20.50,5.22,4.00,-1.08,0.64,0.0,0
208405,15.73,0.14,862,0.00,0.00,16,14.10,20.50,5.22,4.00,-1.08,0.64,0.0,0
208602,16.08,0.14,888,0.00,0.00,16,14.10,16.50,5.37,4.14,-1.08,0.64,0.0,0
208805,16.08,0.13,912,0.00,0.00,16,14.10,14.00,5.37,4.09,-1.08,0.64,0.0,0
209002,16.31,0.13,902,0.00,0.00,16,14.10,15.00,5.37,4.06,-1.08,0.64,0.0,0
209201,16.19,0.14,896,0.00,0.00,16,14.10,15.50,5.37,4.09,-1.08,0.64,0.0,0
209402,16.08,0.13,908,0.00,0.00,16,14.10,14.00,5.37,4.06,-1.08,0.64,0.0,0
209598,15.96,0.14,908,0.00,0.00,16,14.10,14.00,5.37,4.09,-1.08,0.64,0.0,0
209800,15.85,0.13,904,0.00,0.00,16,14.10,14.00,5.22,4.06,-1.08,0.64,0.0,0
210000,15.73,0.13,914,0.00,0.00,16,14.10,13.00,5.37,4.06,-1.08,0.64,0.0,0
210200,15.73,0.13,924,0.00,0.00,16,14.10,12.50,5.22,4.00,-1.08,0.64,0.0,0
210396,15.50,0.13,908,0.00,0.00,16,14.10,14.00,5.22,4.03,-1.08,0.64,0.0,0
210593,15.50,0.13,919,0.00,0.00,16,14.10,13.00,5.22,4.00,-1.08,0.64,0.0,0
210795,15.39,0.13,919,0.00,0.00,16,14.10,13.00,5.22,4.00,-1.08,0.64,0.0,0
210995,15.39,0.13,930,0.00,0.00,16,14.10,12.50,5.22,3.98,-1.08,0.64,0.0,0
211197,15.16,0.13,924,0.00,0.00,16,14.10,14.00,5.08,4.00,-1.08,0.64,0.0,0
211395,15.16,0.13,928,0.00,0.00,16,14.10,13.00,5.22,4.00,-1.08,0.64,0.0,0
211594,15.16,0.13,928,0.00,0.00,16,14.10,13.00,5.08,4.00,-1.08,0.64,0.0,0
211792,15.16,0.13,937,0.00,0.00,16,14.10,13.00,5.08,4.00,-1.08,0.64,0.0,0
211992,14.93,0.13,932,0.00,0.00,16,14.10,13.50,5.08,4.00,-1.08,0.64,0.0,0
212191,14.81,0.13,956,0.00,0.00,16,14.10,11.00,5.08,3.95,-1.08,0.64,0.0,0
212389,14.70,0.12,944,0.00,0.00,16,14.10,13.00,4.93,3.92,-1.08,0.64,0.0,0
212595,14.81,0.13,946,0.00,0.00,16,14.10,13.00,4.93,3.95,-1.08,0.64,0.0,0
212791,14.70,0.13,922,0.00,0.00,16,14.10,15.50,5.08,3.92,-1.08,0.64,0.0,0
212991,14.70,0.12,943,0.00,0.00,16,14.10,13.00,5.08,3.87,-1.08,0.64,0.0,0
213187,14.59,0.12,939,0.00,0.00,16,14.10,13.00,4.93,3.84,-1.08,0.64,0.0,0
213390,14.59,0.13,929,0.00,0.00,16,14.10,14.00,4.93,3.87,-1.08,0.64,0.0,0
213587,14.59,0.12,934,0.00,0.00,16,14.10,13.50,4.93,3.84,-1.08,0.64,0.0,0
213788,14.70,0.12,918,0.00,0.00,16,14.10,14.00,4.93,3.78,-1.08,0.64,0.0,0
213989,14.59,0.13,915,0.00,0.00,16,14.10,15.00,5.08,3.84,-1.08,0.64,0.0,0
214185,14.59,0.12,910,0.00,0.00,16,14.10,14.00,4.93,3.78,-1.08,0.64,0.0,0
214388,14.59,0.12,917,0.00,0.00,16,14.10,14.50,5.08,3.78,-1.08,0.64,0.0,0
214584,14.70,0.12,915,0.00,0.00,16,14.10,14.50,4.93,3.78,-1.08,0.64,0.0,0
214785,14.59,0.12,905,0.00,0.00,16,14.10,14.50,5.08,3.77,-1.08,0.64,0.0,0
214982,14.70,0.12,906,0.00,0.00,16,14.10,14.00,4.93,3.77,-1.08,0.64,0.0,0
215182,14.70,0.12,901,0.00,0.00,16,14.10,15.50,5.08,3.74,-1.08,0.64,0.0,0
215384,14.59,0.12,910,0.00,0.00,16,14.10,14.00,5.08,3.77,-1.08,0.64,0.0,0
215596,14.70,0.12,913,0.00,0.00,16,14.10,14.00,5.08,3.74,-1.08,0.64,0.0,0
215780,14.59,0.12,908,0.00,0.00,16,14.10,14.00,5.08,3.74,-1.08,0.64,0.0,0
215984,14.70,0.12,908,0.00,0.00,16,14.10,13.00,5.08,3.69,-1.08,0.64,0.0,0
216180,14.70,0.12,905,0.00,0.00,16,14.10,14.00,5.08,3.71,-1.08,0.64,0.0,0
216387,14.70,0.12,911,0.00,0.00,16,14.10,13.00,5.08,3.74,-1.08,0.64,0.0,0
216587,14.70,0.12,905,0.00,0.00,16,14.10,14.00,5.08,3.71,-1.08,0.64,0.0,0
216782,14.59,0.12,904,0.00,0.00,16,14.10,14.00,5.08,3.71,-1.08,0.64,0.0,0
216984,14.70,0.13,894,0.00,0.00,16,14.10,14.50,5.08,3.74,-1.08,0.64,0.0,0
217183,14.59,0.13,904,0.00,0.00,16,14.10,13.00,5.08,3.77,-1.08,0.64,0.0,0
217385,14.59,0.13,894,0.00,0.00,16,14.10,14.00,5.08,3.74,-1.08,0.64,0.0,0
217581,14.47,0.12,896,0.00,0.00,16,14.10,14.00,5.08,3.77,-1.08,0.64,0.0,0
217783,14.70,0.13,880,0.00,0.00,16,14.10,15.50,5.08,3.71,-1.08,0.64,0.0,0
217979,14.81,0.13,888,0.00,0.00,16,14.10,14.50,5.08,3.77,-1.08,0.64,0.0,0
218179,14.93,0.13,894,0.00,0.00,16,14.10,14.00,5.08,3.77,-1.08,0.64,0.0,0
218381,14.81,0.13,892,0.00,0.00,16,14.10,14.00,5.08,3.77,-1.08,0.64,0.0,0
218579,14.81,0.12,910,0.00,0.00,16,14.10,12.00,5.08,3.77,-1.08,0.64,0.0,0
218776,14.81,0.13,891,0.00,0.00,16,14.10,14.50,5.08,3.77,-1.08,0.64,0.0,0
218978,14.70,0.13,898,0.00,0.00,16,14.10,14.00,5.08,3.77,-1.08,0.64,0.0,0
219178,14.70,0.12,912,0.00,0.00,16,14.10,12.50,5.08,3.77,-1.08,0.64,0.0,0
219374,14.70,0.12,914,0.00,0.00,16,14.10,12.50,5.08,3.74,-1.08,0.64,0.0,0
219576,14.59,0.13,905,0.00,0.00,16,14.10,14.00,5.08,3.77,-1.08,0.64,0.0,0
219772,14.59,0.12,908,0.00,0.00,16,14.10,13.50,5.08,3.74,-1.08,0.64,0.0,0
219975,14.59,0.13,905,0.00,0.00,16,14.10,13.00,5.08,3.74,-1.08,0.64,0.0,0
220176,14.59,0.13,904,0.00,0.00,16,14.10,13.50,5.08,3.74,-1.08,0.64,0.0,0
220373,14.59,0.13,895,0.00,0.00,16,14.10,14.00,5.08,3.74,-1.08,0.64,0.0,0
220575,14.59,0.12,905,0.00,0.00,16,14.10,13.00,5.08,3.71,-1.08,0.64,0.0,0
220774,14.59,0.13,909,0.00,0.00,16,14.10,13.00,5.08,3.69,-1.08,0.64,0.0,0
220976,14.59,0.13,894,0.00,0.00,16,14.10,14.50,5.08,3.74,-1.08,0.64,0.0,0
221175,14.70,0.12,903,0.00,0.00,16,14.10,13.50,5.08,3.69,-1.08,0.64,0.0,0
221373,14.59,0.13,881,0.00,0.00,16,14.10,15.50,5.08,3.71,-1.08,0.64,0.0,0
221572,14.70,0.12,894,0.00,0.00,16,14.10,14.00,5.08,3.69,-1.08,0.64,0.0,0
221774,14.81,0.12,889,0.00,0.00,16,14.10,14.50,5.08,3.69,-1.08,0.64,0.0,0
221971,14.81,0.13,890,0.00,0.00,16,14.10,14.50,5.08,3.71,-1.08,0.64,0.0,0
222173,14.81,0.12,896,0.00,0.00,16,14.10,14.00,4.93,3.69,-1.08,0.64,0.0,0
222372,14.81,0.13,890,0.00,0.00,16,14.10,14.50,5.08,3.74,-1.08,0.64,0.0,0
222571,14.81,0.12,896,0.00,0.00,16,14.10,13.50,4.93,3.69,-1.08,0.64,0.0,0
222769,14.70,0.12,902,0.00,0.00,16,14.10,13.00,5.08,3.71,-1.08,0.64,0.0,0
222968,14.70,0.12,894,0.00,0.00,16,14.10,14.00,5.08,3.69,-1.08,0.64,0.0,0
223165,14.59,0.13,887,0.00,0.00,16,14.10,14.50,5.08,3.69,-1.08,0.64,0.0,0
223368,14.47,0.12,901,0.00,0.00,16,14.10,13.00,5.08,3.71,-1.08,0.64,0.0,0
223572,14.47,0.12,902,0.00,0.00,16,14.10,13.00,5.08,3.69,-1.08,0.64,0.0,0
223766,14.59,0.12,910,0.00,0.00,16,14.10,13.00,5.08,3.67,-1.08,0.64,0.0,0
223964,14.70,0.13,898,0.00,0.00,16,14.10,13.00,5.08,3.75,-1.08,0.64,0.0,0
224167,14.81,0.12,920,0.00,0.00,16,14.10,12.50,4.93,3.70,-1.08,0.64,0.0,0
224367,15.04,0.12,912,0.00,0.00,16,14.10,13.00,4.93,3.70,-1.08,0.64,0.0,0
224566,15.16,0.12,925,0.00,0.00,16,14.10,11.50,4.93,3.99,-1.08,0.66,0.0,0
224764,14.93,0.20,933,0.00,0.00,16,15.16,15.50,5.95,6.99,-1.08,0.74,0.6,0
224965,14.81,0.27,1222,0.00,0.00,16,23.24,24.00,7.40,10.85,-1.08,0.82,0.6,0
225162,12.75,0.24,1586,0.00,0.00,16,29.22,29.50,7.98,12.64,-1.39,0.84,0.0,0
225362,13.78,0.24,1643,0.00,0.00,16,30.62,30.50,7.69,13.39,-1.39,0.86,0.0,0
225564,16.31,0.25,1682,0.00,0.00,16,31.68,31.50,7.69,13.96,-1.39,0.86,0.0,0
225763,15.27,0.27,1615,0.00,0.00,16,29.92,29.50,7.84,14.28,-1.39,0.86,0.0,0
225961,14.70,0.29,1512,0.00,0.00,16,30.62,30.50,8.27,14.60,-1.39,0.86,0.0,0
226162,14.59,0.31,1431,0.00,0.00,16,30.27,30.00,9.00,14.60,-1.39,0.88,0.0,0
226359,13.78,0.31,1402,0.00,0.00,16,29.92,29.50,9.43,14.34,-1.39,0.88,0.0,0
226559,14.70,0.32,1353,0.00,0.00,16,29.57,29.50,9.72,14.60,-1.39,0.88,0.0,0
226761,14.81,0.33,1330,0.00,0.00,16,29.22,29.00,10.01,14.66,-1.39,0.88,0.0,0
226960,14.70,0.35,1282,0.00,0.00,16,27.46,27.50,10.30,14.60,-1.39,0.88,0.0,0
227160,14.70,0.33,1380,0.00,0.00,16,30.62,29.50,10.45,15.05,-1.39,0.90,0.6,0
227360,14.70,0.32,1511,0.00,0.00,16,32.03,31.50,10.01,15.70,-1.39,0.90,0.0,0
227563,15.04,0.30,1633,0.00,0.00,16,33.09,32.50,9.58,16.29,-1.39,0.90,0.0,0
227758,14.81,0.29,1766,0.00,0.00,16,35.20,34.00,9.14,17.03,-1.39,0.92,0.0,0
227965,14.81,0.29,1881,0.00,0.00,16,37.30,37.50,9.00,17.63,-1.39,0.92,0.0,0
228167,14.81,0.28,1984,0.00,0.00,16,40.12,40.00,9.00,18.96,-1.70,0.94,0.0,0
228363,14.59,0.28,2084,0.00,0.00,16,41.17,41.00,8.71,19.35,-1.70,0.94,0.0,0
228570,14.47,0.27,2200,0.00,0.00,16,43.28,43.00,8.42,20.15,-2.32,0.94,0.0,0
228765,14.24,0.28,2359,0.00,0.00,16,44.69,45.00,8.42,21.80,-2.63,0.94,0.0,0
228965,13.90,0.28,2471,0.00,0.00,16,45.39,45.00,8.42,23.06,-2.94,0.94,0.0,0
229168,13.90,0.28,2512,0.00,0.00,16,45.04,45.00,8.42,23.83,-3.25,0.94,0.0,0
229366,13.78,0.28,2656,0.00,0.00,16,44.69,44.50,8.42,24.61,-3.87,0.96,0.0,0
229566,14.01,0.28,2761,0.00,0.00,16,44.34,44.00,8.27,25.78,-3.87,0.96,0.0,0
229765,13.67,0.27,2870,0.00,0.00,16,44.34,44.00,8.27,26.10,-4.18,0.96,0.0,0
229965,13.55,0.26,2972,0.00,0.00,16,44.34,44.00,8.13,25.98,-4.18,0.94,0.0,0
230165,13.09,0.13,2883,0.00,0.00,16,1.45,5.50,5.08,8.74,-4.18,0.64,0.0,0
230365,11.83,0.14,2586,0.00,0.00,16,-9.45,-9.50,3.92,11.77,-3.25,0.64,0.0,0
230564,15.73,0.13,2225,0.00,0.00,16,15.16,15.00,3.92,9.79,-2.63,0.64,0.0,0
230763,21.94,0.14,1886,0.00,0.00,16,14.10,14.00,4.06,8.47,-1.39,0.64,0.0,0
230964,23.66,0.15,1623,0.00,0.00,16,14.10,14.00,4.06,8.06,-1.39,0.64,0.0,0
231160,23.89,0.16,1302,0.00,0.00,16,14.10,22.00,4.50,7.03,-1.39,0.64,0.0,0
231364,23.89,0.12,1332,0.00,0.00,16,14.10,14.50,4.64,4.66,-1.39,0.64,0.0,0
231561,23.54,0.11,1324,0.00,0.00,16,14.10,15.50,4.21,4.88,-1.39,0.66,0.0,0
231759,18.95,0.15,1311,0.00,0.00,16,15.16,15.50,4.79,6.59,-1.39,0.72,0.0,0
231962,13.55,0.17,1486,0.00,0.00,16,20.43,22.50,5.51,8.06,-1.39,0.80,0.6,0
232160,12.75,0.20,1759,0.00,0.00,16,32.73,32.00,6.24,11.45,-1.39,0.82,0.0,0
232360,14.59,0.24,1672,0.00,0.00,16,31.68,32.00,6.96,13.84,-1.39,0.88,0.6,0
232557,15.04,0.27,1710,0.00,0.00,16,32.73,33.00,7.98,15.41,-1.39,0.90,0.0,0
235388,14.01,0.47,2806,0.00,0.00,16,33.44,33.00,13.20,43.79,1.70,1.14,0.0,0
235583,14.01,0.44,2912,0.00,0.00,16,36.25,35.50,12.62,41.97,1.08,1.08,-0.6,0
235782,13.55,0.38,2975,0.00,0.00,16,39.77,39.00,11.17,35.82,-2.01,1.00,0.0,0
