Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),CL/OL Fueling* (status),Primary Open Loop Map Enrichment* (estimated AFR),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
162559,14.70,0.13,1356,0.00,0.00,16,23.59,23.50,4.79,5.68,-1.39,0.70,8,14.70,416,0.0
162778,14.24,0.13,1365,0.00,0.00,16,23.59,23.00,4.79,5.78,-1.39,0.70,8,14.70,416,0.0
162997,14.81,0.13,1329,0.00,0.00,16,23.24,23.50,4.79,5.68,-1.39,0.70,8,14.70,416,0.0
163231,14.36,0.12,1308,0.00,0.00,16,23.24,23.50,4.79,5.27,-1.39,0.70,8,14.70,416,0.0
163450,14.47,0.12,1370,0.00,0.00,16,23.95,24.00,4.79,5.27,-1.39,0.70,8,14.70,416,0.0
163668,14.59,0.12,1352,0.00,0.00,16,23.95,23.50,4.79,5.55,-1.39,0.70,8,14.70,416,0.0
163903,14.47,0.12,1323,0.00,0.00,16,23.24,22.50,4.79,4.63,-1.39,0.70,8,14.70,416,0.0
164122,14.81,0.12,1389,0.00,0.00,16,23.95,23.50,4.79,5.49,-1.39,0.70,8,14.70,416,0.0
164356,14.93,0.10,1334,0.00,0.00,16,20.78,23.50,4.50,4.52,-1.39,0.68,8,14.70,416,0.0
164575,15.04,0.11,1326,0.00,0.00,16,17.97,19.50,4.35,4.95,-1.39,0.68,8,14.70,416,0.0
164809,15.16,0.12,1310,0.00,0.00,16,14.80,17.00,4.35,5.08,-1.39,0.68,8,14.70,416,0.0
165028,15.04,0.10,1298,0.00,0.00,16,14.10,16.50,4.35,4.43,-1.39,0.64,8,14.70,416,-0.6
165262,14.36,0.10,1296,0.00,0.00,16,14.10,15.50,3.77,3.99,-1.39,0.64,8,14.70,416,0.0
165481,13.90,0.10,1259,0.00,0.00,16,14.10,18.00,3.77,4.35,-1.39,0.64,8,14.70,416,0.0
165700,13.78,0.10,1255,0.00,0.00,16,14.10,18.00,3.63,4.32,-1.39,0.64,8,14.70,416,0.0
165934,13.32,0.11,1240,0.00,0.00,16,14.10,17.50,3.63,4.37,-1.39,0.64,8,14.70,416,0.0
166153,12.63,0.11,1232,0.00,0.00,16,14.10,17.50,3.63,4.32,-1.39,0.64,8,14.70,416,0.0
166387,12.06,0.11,1204,0.00,0.00,16,14.10,17.00,3.63,4.35,-1.39,0.64,8,14.70,416,0.0
166621,11.83,0.11,1190,0.00,0.00,16,14.10,18.50,3.77,4.32,-1.08,0.64,8,14.70,416,0.0
166840,11.71,0.11,1184,0.00,0.00,16,14.10,19.00,3.77,4.29,-1.08,0.64,8,14.70,416,0.0
167059,11.71,0.11,1170,0.00,0.00,16,14.10,19.00,3.77,4.21,-1.08,0.64,8,14.70,416,0.0
167293,11.71,0.11,1111,0.00,0.00,16,14.10,20.00,3.92,4.18,-1.08,0.64,8,14.70,416,0.0
167512,12.06,0.12,1076,0.00,0.00,16,14.10,22.00,3.92,4.18,-1.08,0.64,8,14.70,416,0.0
167746,12.29,0.12,1040,0.00,0.00,16,14.10,22.00,4.06,4.10,-1.08,0.64,8,14.70,416,0.0
167965,12.63,0.12,1002,0.00,0.00,16,14.10,22.00,4.21,4.04,-1.08,0.64,8,14.70,416,0.0
168199,12.98,0.12,975,0.00,0.00,16,14.10,22.00,4.35,3.82,-1.08,0.64,8,14.70,416,0.0
168418,13.44,0.12,919,0.00,0.00,16,14.10,22.00,4.35,3.70,-1.08,0.64,8,14.70,416,0.0
168652,13.78,0.12,885,0.00,0.00,16,14.10,22.00,4.50,3.47,-1.08,0.64,8,14.70,416,0.0
168871,14.01,0.12,829,0.00,0.00,16,14.10,22.00,4.64,3.36,-1.08,0.64,8,14.70,416,0.0
169106,14.24,0.12,797,0.00,0.00,16,14.10,22.00,4.93,3.27,-1.08,0.64,8,14.70,416,0.0
169324,14.47,0.13,787,0.00,0.00,16,14.10,22.00,5.08,3.29,-1.08,0.64,8,14.70,416,0.0
169559,15.04,0.13,781,0.00,0.00,16,14.10,22.00,5.08,3.34,-1.08,0.64,8,14.70,416,0.0
169778,15.50,0.13,785,0.00,0.00,16,14.10,22.00,5.22,3.27,-1.08,0.64,8,14.70,416,0.0
170012,15.85,0.13,779,0.00,0.00,16,14.10,21.00,5.22,3.34,-1.08,0.64,8,14.70,416,0.0
170231,16.19,0.13,782,0.00,0.00,16,14.10,20.00,5.37,3.38,-1.08,0.64,8,14.70,416,0.0
170465,16.31,0.14,781,0.00,0.00,16,14.10,20.00,5.37,3.50,-1.08,0.64,8,14.70,416,0.0
170684,16.54,0.13,792,0.00,0.00,16,14.10,16.50,5.51,3.53,-1.08,0.64,8,14.70,416,0.0
170902,16.77,0.13,790,0.00,0.00,16,14.10,15.50,5.51,3.53,-1.08,0.64,8,14.70,416,0.0
171137,17.00,0.13,817,0.00,0.00,16,14.10,14.00,5.51,3.53,-1.08,0.64,8,14.70,416,0.0
171356,17.00,0.13,809,0.00,0.00,16,14.10,13.00,5.51,3.56,-1.08,0.64,8,14.70,416,0.0
171590,16.77,0.13,807,0.00,0.00,16,14.10,14.00,5.51,3.58,-1.08,0.64,8,14.70,416,0.0
171809,16.77,0.13,836,0.00,0.00,16,14.10,12.50,5.51,3.53,-1.08,0.64,8,14.70,416,0.0
172043,16.65,0.12,838,0.00,0.00,16,14.10,11.50,5.37,3.45,-1.08,0.64,8,14.70,416,0.0
172262,16.54,0.13,822,0.00,0.00,16,14.10,13.50,5.37,3.53,-1.08,0.64,8,14.70,416,0.0
172496,16.31,0.13,835,0.00,0.00,16,14.10,13.00,5.37,3.53,-1.08,0.64,8,14.70,416,0.0
172715,16.19,0.13,829,0.00,0.00,16,14.10,13.00,5.37,3.53,-1.08,0.64,8,14.70,416,0.0
172949,15.96,0.12,844,0.00,0.00,16,14.10,11.50,5.22,3.50,-1.08,0.64,8,14.70,416,0.0
173168,16.08,0.13,842,0.00,0.00,16,14.10,12.50,5.22,3.50,-1.08,0.64,8,14.70,416,0.0
173402,15.62,0.12,857,0.00,0.00,16,14.10,11.00,5.22,3.50,-1.08,0.64,8,14.70,416,0.0
173621,15.62,0.12,841,0.00,0.00,16,14.10,13.00,5.08,3.43,-1.08,0.64,8,14.70,416,0.0
173855,15.62,0.12,845,0.00,0.00,16,14.10,13.50,5.22,3.45,-1.08,0.64,8,14.70,416,0.0
174074,15.62,0.12,845,0.00,0.00,16,14.10,12.50,5.08,3.36,-1.08,0.64,8,14.70,416,0.0
174308,15.62,0.12,848,0.00,0.00,16,14.10,12.50,5.08,3.36,-1.08,0.64,8,14.70,416,0.0
174527,15.27,0.12,839,0.00,0.00,16,14.10,13.50,5.08,3.36,-1.08,0.64,8,14.70,416,0.0
174761,15.16,0.12,850,0.00,0.00,16,14.10,13.00,5.08,3.34,-1.08,0.64,8,14.70,416,0.0
174980,14.93,0.12,848,0.00,0.00,16,14.10,13.50,5.08,3.34,-1.08,0.64,8,14.70,416,0.0
175214,14.93,0.12,853,0.00,0.00,16,14.10,13.00,4.93,3.34,-1.08,0.64,8,14.70,416,0.0
175433,15.04,0.12,846,0.00,0.00,16,14.10,14.00,5.08,3.29,-1.08,0.64,8,14.70,416,0.0
175668,14.93,0.12,838,0.00,0.00,16,14.10,15.00,5.08,3.23,-1.08,0.64,8,14.70,416,0.0
175886,14.81,0.12,836,0.00,0.00,16,14.10,14.50,4.93,3.23,-1.08,0.64,8,14.70,416,0.0
176121,14.81,0.11,849,0.00,0.00,16,14.10,13.00,4.93,3.23,-1.08,0.64,8,14.70,416,0.0
176340,14.93,0.11,834,0.00,0.00,16,14.10,14.50,4.93,3.22,-1.08,0.64,8,14.70,416,0.0
176574,14.81,0.11,846,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
176793,14.81,0.11,845,0.00,0.00,16,14.10,13.50,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
177011,14.70,0.11,841,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
177246,14.59,0.11,830,0.00,0.00,16,14.10,15.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
177464,14.24,0.12,826,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
177699,14.13,0.11,821,0.00,0.00,16,14.10,15.50,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
177918,14.24,0.11,820,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
178152,14.13,0.11,830,0.00,0.00,16,14.10,14.00,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
178371,14.24,0.12,811,0.00,0.00,16,14.10,15.50,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
178605,14.13,0.11,820,0.00,0.00,16,14.10,15.50,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
178824,14.24,0.12,813,0.00,0.00,16,14.10,14.50,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
179058,14.36,0.12,802,0.00,0.00,16,14.10,16.50,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
179277,14.36,0.12,809,0.00,0.00,16,14.10,15.50,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
179511,14.36,0.11,807,0.00,0.00,16,14.10,14.50,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
179730,14.36,0.12,805,0.00,0.00,16,14.10,14.50,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
179964,14.36,0.12,803,0.00,0.00,16,14.10,14.00,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
180183,14.24,0.12,797,0.00,0.00,16,14.10,15.00,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
180417,14.47,0.12,798,0.00,0.00,16,14.10,14.00,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
180636,14.36,0.12,792,0.00,0.00,16,14.10,15.00,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
180855,14.47,0.12,801,0.00,0.00,16,14.10,14.00,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
181089,14.59,0.12,794,0.00,0.00,16,14.10,14.00,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
181308,14.59,0.12,799,0.00,0.00,16,14.10,13.50,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
181542,14.70,0.12,773,0.00,0.00,16,14.10,15.50,5.08,3.17,-1.08,0.64,8,14.70,416,0.0
181761,14.70,0.12,800,0.00,0.00,16,14.10,13.00,5.08,3.23,-1.08,0.64,8,14.70,416,0.0
181995,14.81,0.12,798,0.00,0.00,16,14.10,13.50,5.22,3.19,-1.08,0.64,8,14.70,416,0.0
182214,15.04,0.12,798,0.00,0.00,16,14.10,14.00,5.08,3.23,-1.08,0.64,8,14.70,416,0.0
182448,15.04,0.12,803,0.00,0.00,16,14.10,13.00,5.08,3.23,-1.08,0.64,8,14.70,416,0.0
182667,15.16,0.12,797,0.00,0.00,16,14.10,14.00,5.22,3.23,-1.08,0.64,8,14.70,416,0.0
182901,15.27,0.12,816,0.00,0.00,16,14.10,13.00,5.22,3.23,-1.08,0.64,8,14.70,416,0.0
183120,15.16,0.12,802,0.00,0.00,16,14.10,13.50,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
183355,15.04,0.12,810,0.00,0.00,16,14.10,13.00,5.08,3.22,-1.08,0.64,8,14.70,416,0.0
183573,15.04,0.12,812,0.00,0.00,16,14.10,12.50,5.08,3.22,-1.08,0.64,8,14.70,416,0.0
183808,15.04,0.12,810,0.00,0.00,16,14.10,14.00,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
184026,15.04,0.12,814,0.00,0.00,16,14.10,12.00,5.08,3.22,-1.08,0.64,8,14.70,416,0.0
184261,14.93,0.12,801,0.00,0.00,16,14.10,14.00,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
184480,14.93,0.12,818,0.00,0.00,16,14.10,13.00,5.08,3.23,-1.08,0.64,8,14.70,416,0.0
184698,15.04,0.12,818,0.00,0.00,16,14.10,12.50,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
184933,15.04,0.12,808,0.00,0.00,16,14.10,14.00,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
185151,14.81,0.12,823,0.00,0.00,16,14.10,12.50,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
185386,14.81,0.12,807,0.00,0.00,16,14.10,13.00,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
185605,14.70,0.12,804,0.00,0.00,16,14.10,15.00,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
185839,14.70,0.12,823,0.00,0.00,16,14.10,13.00,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
186058,14.59,0.12,814,0.00,0.00,16,14.10,13.50,5.08,3.19,-1.08,0.64,8,14.70,416,0.0
186276,14.47,0.12,822,0.00,0.00,16,14.10,13.00,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
186511,14.47,0.12,818,0.00,0.00,16,14.10,13.00,4.93,3.17,-1.08,0.64,8,14.70,416,0.0
186729,14.70,0.12,811,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
186964,14.59,0.11,824,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
187183,14.36,0.12,815,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
187417,14.36,0.12,819,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
187636,14.36,0.12,822,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
187870,14.36,0.12,814,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
188089,14.24,0.12,822,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
188323,14.13,0.12,828,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
188542,14.24,0.12,812,0.00,0.00,16,14.10,15.50,4.93,3.17,-1.08,0.64,8,14.70,416,0.0
188776,14.24,0.12,810,0.00,0.00,16,14.10,14.50,4.93,3.17,-1.08,0.64,8,14.70,416,0.0
188995,14.36,0.12,809,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
189214,14.13,0.12,811,0.00,0.00,16,14.10,14.00,4.93,3.19,-1.08,0.64,8,14.70,416,0.0
189448,14.24,0.12,817,0.00,0.00,16,14.10,13.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
189667,14.13,0.12,805,0.00,0.00,16,14.10,14.00,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
189901,14.36,0.12,802,0.00,0.00,16,14.10,14.00,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
190120,14.36,0.12,798,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
190354,14.36,0.12,806,0.00,0.00,16,14.10,14.50,4.93,3.16,-1.08,0.64,8,14.70,416,0.0
190573,14.36,0.12,808,0.00,0.00,16,14.10,13.50,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
190807,14.59,0.12,796,0.00,0.00,16,14.10,15.00,4.93,3.13,-1.08,0.64,8,14.70,416,0.0
191026,14.59,0.12,806,0.00,0.00,16,14.10,14.00,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
191260,14.59,0.12,788,0.00,0.00,16,14.10,15.50,4.93,3.17,-1.08,0.64,8,14.70,416,0.0
191479,14.59,0.12,804,0.00,0.00,16,14.10,14.00,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
191698,14.70,0.12,792,0.00,0.00,16,14.10,14.00,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
191932,14.70,0.12,797,0.00,0.00,16,14.10,14.00,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
192151,14.59,0.12,792,0.00,0.00,16,14.10,14.00,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
192385,14.59,0.12,800,0.00,0.00,16,14.10,14.50,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
192604,14.59,0.12,797,0.00,0.00,16,14.10,13.00,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
192838,14.47,0.12,788,0.00,0.00,16,14.10,14.50,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
193057,14.47,0.12,786,0.00,0.00,16,14.10,14.00,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
193291,14.59,0.12,786,0.00,0.00,16,14.10,14.50,5.08,3.11,-1.08,0.64,8,14.70,416,0.0
193510,14.70,0.12,796,0.00,0.00,16,14.10,13.00,5.08,3.11,-1.08,0.64,8,14.70,416,0.0
193729,14.47,0.12,782,0.00,0.00,16,14.10,15.00,4.93,3.08,-1.08,0.64,8,14.70,416,0.0
193963,14.47,0.12,782,0.00,0.00,16,14.10,14.50,4.93,3.08,-1.08,0.64,8,14.70,416,0.0
194182,14.47,0.12,780,0.00,0.00,16,14.10,14.00,5.08,3.08,-1.08,0.64,8,14.70,416,0.0
194416,14.59,0.12,776,0.00,0.00,16,14.10,14.00,5.08,3.11,-1.08,0.64,8,14.70,416,0.0
194635,14.59,0.12,778,0.00,0.00,16,14.10,14.00,5.08,3.11,-1.08,0.64,8,14.70,416,0.0
194869,14.59,0.12,790,0.00,0.00,16,14.10,13.00,5.08,3.11,-1.08,0.64,8,14.70,416,0.0
195088,14.70,0.12,788,0.00,0.00,16,14.10,14.00,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
195322,14.70,0.12,788,0.00,0.00,16,14.10,13.50,4.93,3.11,-1.08,0.64,8,14.70,416,0.0
195541,14.70,0.12,777,0.00,0.00,16,14.10,14.00,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
195776,14.70,0.12,789,0.00,0.00,16,14.10,13.00,5.08,3.08,-1.08,0.64,8,14.70,416,0.0
195994,14.81,0.12,776,0.00,0.00,16,14.10,14.00,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
196213,14.70,0.12,783,0.00,0.00,16,14.10,14.00,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
196447,14.59,0.12,769,0.00,0.00,16,14.10,14.50,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
196666,14.70,0.12,786,0.00,0.00,16,14.10,14.00,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
196900,14.81,0.12,775,0.00,0.00,16,14.10,14.00,5.22,3.16,-1.08,0.64,8,14.70,416,0.0
197119,14.81,0.12,805,0.00,0.00,16,14.10,12.50,5.22,3.16,-1.08,0.64,8,14.70,416,0.0
197354,14.93,0.12,796,0.00,0.00,16,14.10,12.50,5.08,3.13,-1.08,0.64,8,14.70,416,0.0
197572,15.27,0.12,808,0.00,0.00,16,14.10,11.50,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
197807,15.62,0.12,799,0.00,0.00,16,14.10,13.00,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
198026,15.62,0.12,814,0.00,0.00,16,14.10,13.00,5.08,3.16,-1.08,0.64,8,14.70,416,0.0
198260,15.62,0.13,826,0.00,0.00,16,14.10,10.50,5.08,3.53,-1.08,0.66,8,14.70,416,0.0
198479,15.50,0.14,866,0.00,0.00,16,14.10,8.00,5.37,3.99,-1.08,0.68,8,14.70,416,0.0
198697,15.04,0.15,948,0.00,0.00,16,14.80,14.00,5.66,4.85,-1.08,0.70,8,14.70,416,0.0
198932,14.47,0.16,1092,0.00,0.00,16,17.27,16.00,5.80,5.74,-1.08,0.74,8,14.70,416,0.0
199149,14.01,0.19,1239,0.00,0.00,16,21.48,19.50,6.38,7.57,-1.39,0.78,8,14.70,416,0.6
199384,14.13,0.21,1368,0.00,0.00,16,26.05,25.00,6.96,9.66,-1.39,0.80,8,14.70,416,0.0
199603,14.47,0.21,1482,0.00,0.00,16,27.46,26.50,7.25,10.23,-1.39,0.82,8,14.70,416,0.0
199837,15.04,0.22,1509,0.00,0.00,16,28.16,27.50,7.55,11.09,-1.39,0.84,8,14.70,416,0.0
200056,15.16,0.23,1508,0.00,0.00,16,28.52,28.00,7.69,11.35,-1.39,0.84,8,14.70,416,0.0
200290,15.04,0.23,1500,0.00,0.00,16,28.52,28.00,7.98,11.71,-1.39,0.84,8,14.70,416,0.0
200509,14.93,0.24,1495,0.00,0.00,16,28.52,28.00,7.98,11.82,-1.39,0.84,8,14.70,416,0.0
200743,14.81,0.25,1466,0.00,0.00,16,28.87,28.00,8.27,11.99,-1.39,0.84,8,14.70,416,0.0
200962,14.81,0.14,1423,0.00,0.00,16,19.38,20.50,5.37,3.36,-1.39,0.64,8,14.70,416,0.0
201196,13.21,0.09,1404,0.00,0.00,16,14.10,14.00,4.21,3.59,-1.39,0.64,8,14.70,416,0.0
201415,12.75,0.11,1308,0.00,0.00,16,14.10,22.00,3.77,4.69,-1.39,0.64,8,14.70,416,0.0
201649,12.86,0.12,1227,0.00,0.00,16,14.10,22.00,3.63,4.82,-1.39,0.64,8,14.70,416,0.0
201868,13.09,0.12,1167,0.00,0.00,16,14.10,22.00,3.77,4.69,-1.08,0.64,8,14.70,416,0.0
202102,13.09,0.13,1052,0.00,0.00,16,14.10,22.00,3.77,4.57,-1.08,0.64,8,14.70,416,0.0
202321,12.06,0.14,1027,0.00,0.00,16,14.10,22.00,4.06,4.79,-1.08,0.66,8,14.70,416,0.0
202540,11.71,0.15,1038,0.00,0.00,16,14.80,13.50,4.50,5.21,-1.08,0.70,8,14.70,416,0.0
202774,11.25,0.18,1056,0.00,0.00,16,17.27,15.50,5.66,6.37,-1.08,0.74,8,14.70,416,0.6
202993,11.60,0.23,990,0.00,0.00,16,23.24,21.00,6.53,7.57,-1.08,0.76,8,14.70,416,0.0
203227,13.09,0.25,982,0.00,0.00,16,26.41,25.00,7.69,8.31,-1.08,0.78,8,14.70,416,0.0
203446,14.59,0.28,948,0.00,0.00,16,27.11,27.00,8.56,8.69,-1.08,0.78,8,14.70,416,0.0
203680,15.85,0.26,1051,0.00,0.00,16,27.46,27.00,9.14,8.91,-1.08,0.78,8,14.70,416,0.0
203899,16.54,0.18,1096,0.00,0.00,16,18.32,13.00,6.82,3.70,-1.08,0.64,8,14.70,416,0.0
204133,15.96,0.12,1140,0.00,0.00,16,14.10,6.00,5.66,3.38,-1.08,0.64,8,14.70,416,0.0
204352,15.62,0.10,1067,0.00,0.00,16,14.10,15.00,4.50,3.55,-1.08,0.64,8,14.70,416,0.0
204571,15.39,0.12,963,0.00,0.00,16,14.10,22.00,4.50,3.78,-1.08,0.64,8,14.70,416,0.0
204805,15.04,0.11,976,0.00,0.00,16,14.10,21.00,4.64,3.62,-1.08,0.64,8,14.70,416,0.0
205024,15.16,0.11,968,0.00,0.00,16,14.10,21.00,4.50,3.50,-1.08,0.64,8,14.70,416,0.0
205274,15.39,0.11,962,0.00,0.00,16,14.10,20.00,4.50,3.43,-1.08,0.64,8,14.70,416,0.0
205493,15.39,0.11,942,0.00,0.00,16,14.10,20.00,4.50,3.38,-1.08,0.64,8,14.70,416,0.0
208583,12.98,0.09,1962,0.00,0.00,16,17.27,21.00,4.79,3.83,-1.39,0.64,10,14.70,388,0.0
208802,14.24,0.10,1653,0.00,0.00,16,14.10,14.00,3.63,5.55,-1.39,0.64,10,14.70,388,0.0
209036,16.19,0.15,1254,0.00,0.00,16,14.10,22.00,3.92,6.48,-1.39,0.68,8,14.70,388,0.0
209255,21.71,0.13,1281,0.00,0.00,16,15.16,14.00,4.50,5.33,-1.39,0.70,8,14.70,388,0.0
209489,22.74,0.14,1306,0.00,0.00,16,17.97,17.00,4.64,5.87,-1.39,0.72,8,14.70,388,0.0
209708,14.36,0.14,1326,0.00,0.00,16,21.48,19.50,4.93,6.40,-1.39,0.72,8,14.70,388,0.0
209927,12.29,0.14,1375,0.00,0.00,16,24.30,23.50,5.22,6.55,-1.39,0.74,8,14.70,388,0.0
210161,13.44,0.15,1355,0.00,0.00,16,23.95,23.50,5.22,6.77,-1.39,0.74,8,14.70,388,0.0
210380,14.81,0.14,1324,0.00,0.00,16,23.59,23.00,5.37,6.29,-1.39,0.74,8,14.70,388,0.0
210614,15.85,0.10,1366,0.00,0.00,16,19.38,15.00,4.50,3.55,-1.39,0.64,8,14.70,388,0.0
210833,15.85,0.10,1273,0.00,0.00,16,14.10,21.00,3.63,4.46,-1.39,0.64,8,14.70,388,0.0
211067,15.62,0.12,1164,0.00,0.00,16,14.10,22.00,3.63,4.69,-1.08,0.64,8,14.70,388,0.0
211286,15.27,0.12,1089,0.00,0.00,16,14.10,22.00,3.92,4.46,-1.08,0.64,8,14.70,388,0.0
211520,13.78,0.13,1032,0.00,0.00,16,14.10,22.00,3.92,4.40,-1.08,0.64,8,14.70,388,0.0
211739,12.52,0.13,1012,0.00,0.00,16,14.10,22.00,4.06,4.26,-1.08,0.64,8,14.70,388,0.0
211958,11.60,0.12,1012,0.00,0.00,16,14.10,22.00,4.21,4.07,-1.08,0.64,8,14.70,388,0.0
212192,11.37,0.12,999,0.00,0.00,16,14.10,21.50,4.21,3.99,-1.08,0.64,8,14.70,388,0.0
212411,11.37,0.12,977,0.00,0.00,16,14.10,22.00,4.21,3.93,-1.08,0.64,8,14.70,388,0.0
212645,11.71,0.12,944,0.00,0.00,16,14.10,22.00,4.35,3.72,-1.08,0.64,8,14.70,388,0.0
212864,12.17,0.11,907,0.00,0.00,16,14.10,22.00,4.50,3.43,-1.08,0.64,8,14.70,388,0.0
213098,12.40,0.12,827,0.00,0.00,16,14.10,22.00,4.50,3.40,-1.08,0.64,8,14.70,388,0.0
213317,13.09,0.13,789,0.00,0.00,16,14.10,22.00,4.79,3.38,-1.08,0.64,8,14.70,388,0.0
213551,13.55,0.12,794,0.00,0.00,16,14.10,22.00,4.93,3.23,-1.08,0.64,8,14.70,388,0.0
213770,14.36,0.12,784,0.00,0.00,16,14.10,22.00,5.08,3.22,-1.08,0.64,8,14.70,388,0.0
214004,14.70,0.13,741,0.00,0.00,16,14.10,22.00,5.08,3.31,-1.08,0.64,8,14.70,388,0.0
214223,15.50,0.14,760,0.00,0.00,16,14.10,22.00,5.37,3.47,-1.08,0.64,8,14.70,388,0.0
214457,15.85,0.13,775,0.00,0.00,16,14.10,19.50,5.37,3.45,-1.08,0.64,8,14.70,388,0.0
214676,16.19,0.13,778,0.00,0.00,16,14.10,17.50,5.37,3.43,-1.08,0.64,8,14.70,388,0.0
214895,16.42,0.14,775,0.00,0.00,16,14.10,17.50,5.51,3.58,-1.08,0.64,8,14.70,388,0.0
215129,16.65,0.13,795,0.00,0.00,16,14.10,14.00,5.51,3.53,-1.08,0.64,8,14.70,388,0.0
215348,16.54,0.14,785,0.00,0.00,16,14.10,14.50,5.51,3.53,-1.08,0.64,8,14.70,388,0.0
215582,16.77,0.13,798,0.00,0.00,16,14.10,13.00,5.51,3.58,-1.08,0.64,8,14.70,388,0.0
215801,16.77,0.13,799,0.00,0.00,16,14.10,13.50,5.51,3.55,-1.08,0.64,8,14.70,388,0.0
216035,16.54,0.13,812,0.00,0.00,16,14.10,13.00,5.37,3.50,-1.08,0.64,8,14.70,388,0.0
216254,16.54,0.13,829,0.00,0.00,16,14.10,12.50,5.37,3.53,-1.08,0.64,8,14.70,388,0.0
216488,16.54,0.13,826,0.00,0.00,16,14.10,11.50,5.37,3.53,-1.08,0.64,8,14.70,388,0.0
216707,16.31,0.13,827,0.00,0.00,16,14.10,11.50,5.37,3.50,-1.08,0.64,8,14.70,388,0.0
