Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Defogger Switch (On/Off)
457541,-1.56,-2.34,14.59,8,0.30,2389,0.00,0.00,16,14.76,38.71,38.00,0.82,5.37,12.04,1.82,0.00,-9.38,0
457617,-1.56,-2.34,14.70,8,0.32,2400,0.00,0.00,16,14.75,39.41,38.00,0.84,5.51,12.53,1.86,0.00,-9.17,0
457682,-1.56,-2.34,14.70,8,0.34,2380,0.00,0.00,16,14.75,40.47,39.50,0.86,5.66,13.45,1.90,0.00,-8.93,0
457761,-0.78,-2.34,14.81,8,0.37,2403,0.00,0.00,16,14.74,41.88,41.00,0.88,6.09,15.11,1.94,0.00,-8.47,0
457826,0.00,-2.34,14.93,8,0.39,2453,0.00,0.00,16,14.76,42.58,41.50,0.88,6.38,15.92,1.98,0.00,-8.18,0
457894,0.00,-2.34,14.93,8,0.41,2472,0.00,0.00,16,14.76,42.93,42.50,0.88,6.67,16.88,2.00,0.00,-7.99,0
457972,0.78,-2.34,14.93,8,0.42,2456,0.00,0.00,16,14.76,43.28,42.50,0.88,6.82,16.96,2.00,0.00,-7.77,0
458036,0.78,-2.34,15.04,8,0.42,2427,0.00,0.00,16,14.76,43.28,42.50,0.90,6.96,17.26,2.00,0.00,-7.66,0
458108,0.78,-2.34,14.93,8,0.43,2470,0.00,0.00,16,14.76,43.28,42.50,0.90,7.11,17.33,2.02,0.00,-7.56,0
458180,0.78,-2.34,14.81,8,0.42,2523,0.00,0.00,16,14.76,43.63,42.50,0.92,7.25,15.93,2.04,0.00,-7.54,0
458252,2.34,-2.34,14.93,8,0.44,2540,0.00,0.00,16,14.76,43.98,43.00,0.92,7.25,18.80,2.06,0.00,-7.44,0
458324,2.34,-2.34,15.16,8,0.45,2524,0.00,0.00,16,14.76,43.98,43.50,0.92,7.40,19.04,2.08,0.00,-7.35,0
458394,2.34,-2.34,14.93,8,0.45,2536,0.00,0.00,16,14.76,43.98,43.50,0.92,7.40,19.26,2.08,0.00,-7.29,0
458465,1.56,-2.34,14.81,8,0.45,2583,0.00,0.00,16,14.77,43.98,43.50,0.92,7.40,19.42,2.08,0.00,-7.29,0
458537,2.34,-2.34,14.70,8,0.45,2611,0.00,0.00,16,14.77,43.98,43.50,0.92,7.55,19.66,2.10,0.00,-7.19,0
458603,2.34,-2.34,14.70,8,0.45,2622,0.00,0.00,16,14.77,43.98,43.50,0.92,7.55,19.73,2.10,0.00,-7.17,0
458677,2.34,-2.34,14.81,8,0.45,2658,0.00,0.00,16,14.77,43.98,43.50,0.92,7.55,19.90,2.10,0.00,-7.19,0
458743,2.34,-2.34,14.81,8,0.44,2681,0.00,0.00,16,14.77,43.98,43.50,0.94,7.55,19.73,2.10,0.00,-7.21,0
458815,3.12,-2.34,14.81,8,0.45,2679,0.00,0.00,16,14.77,44.34,43.50,0.94,7.55,20.07,2.10,0.00,-7.21,0
458887,3.91,-2.34,14.81,8,0.44,2705,0.00,0.00,16,14.78,44.34,43.50,0.92,7.55,19.90,2.10,0.00,-7.23,0
458961,3.91,-2.34,14.93,8,0.43,2743,0.00,0.00,16,14.78,44.34,43.50,0.92,7.40,20.07,2.10,0.00,-7.25,0
459025,4.69,-2.34,14.93,8,0.43,2768,0.00,0.00,16,14.78,44.34,43.50,0.94,7.40,20.24,2.12,0.00,-7.31,0
459097,4.69,-2.34,14.93,8,0.44,2792,0.00,0.00,16,14.78,44.34,43.50,0.92,7.40,20.33,2.12,0.00,-7.37,0
459169,4.69,-2.34,14.93,8,0.42,2830,0.00,0.00,16,14.79,44.34,43.50,0.92,7.25,20.24,2.10,0.00,-7.44,0
459246,5.47,-2.34,14.93,8,0.42,2858,0.00,0.00,16,14.79,44.34,43.50,0.92,7.25,20.32,2.12,0.00,-7.48,0
459310,4.69,-2.34,14.81,8,0.42,2908,0.00,0.00,16,14.79,44.34,43.50,0.92,7.11,20.41,2.12,0.00,-7.52,0
459384,4.69,-2.34,14.70,8,0.42,2920,0.00,0.00,16,14.79,44.34,43.50,0.94,7.11,20.58,2.12,0.00,-7.56,0
459456,4.69,-2.34,14.70,8,0.41,2939,0.00,0.00,16,14.79,44.34,43.50,0.94,7.11,20.23,2.12,0.00,-7.58,0
459525,4.69,-2.34,14.70,8,0.41,2982,0.00,0.00,16,14.79,44.34,43.50,0.94,7.11,20.58,2.12,0.00,-7.64,0
459596,4.69,-2.34,14.59,8,0.42,3017,0.00,0.00,16,14.79,44.34,43.50,0.94,7.11,20.67,2.12,0.00,-7.64,0
459668,4.69,-2.34,14.59,8,0.41,3036,0.00,0.00,16,14.79,44.34,43.50,0.94,7.11,20.59,2.12,0.00,-7.62,0
459737,3.91,-2.34,14.59,8,0.40,3047,0.00,0.00,16,14.79,44.34,43.50,0.94,7.11,20.84,2.12,0.00,-7.64,0
459810,3.12,-2.34,14.47,8,0.41,3093,0.00,0.00,16,14.79,44.34,43.50,0.94,7.11,20.93,2.12,0.00,-7.64,0
459882,3.12,-2.34,14.36,8,0.40,3095,0.00,0.00,16,14.79,44.34,43.50,0.94,6.96,20.76,2.12,0.00,-7.66,0
459950,3.12,-2.34,14.36,8,0.39,3116,0.00,0.00,16,14.79,43.98,43.50,0.82,6.82,22.16,2.12,0.00,-7.75,0
460022,2.34,-2.34,14.36,8,0.35,3162,0.00,0.00,16,15.50,41.88,43.00,0.64,5.80,20.44,2.06,0.00,-8.72,0
460094,0.00,-0.78,14.24,10,0.24,3155,0.00,0.00,16,15.63,33.79,41.50,0.64,4.64,8.23,1.62,0.00,-10.06,0
460166,0.00,-0.78,13.21,10,0.19,3210,0.00,0.00,16,15.04,26.41,33.50,0.64,4.06,8.23,1.62,0.00,-10.64,0
460230,0.00,-0.78,12.40,10,0.17,3155,0.00,0.00,16,14.70,19.73,26.00,0.64,3.92,8.64,1.64,0.00,-10.81,0
460310,0.00,-0.78,12.29,10,0.18,3091,0.00,0.00,16,14.70,11.99,14.50,0.64,3.63,9.39,1.68,0.00,-11.00,0
460374,0.00,-0.78,13.44,10,0.20,2978,0.00,0.00,16,14.70,11.99,11.50,0.64,3.77,9.79,1.70,0.00,-10.93,0
460446,0.00,-0.78,14.70,10,0.21,2763,0.00,0.00,16,14.70,11.99,11.50,0.64,3.77,9.88,1.70,0.00,-10.85,0
460518,0.00,-0.78,16.54,10,0.23,2652,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,10.08,1.72,0.00,-10.81,0
460590,0.00,-0.78,19.64,10,0.23,2538,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,9.75,1.70,0.00,-10.81,0
460654,0.00,-0.78,22.16,10,0.23,2453,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,9.35,1.68,0.00,-10.75,0
460730,0.00,-0.78,23.89,10,0.22,2340,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,8.91,1.64,0.00,-10.69,0
460798,0.00,-0.78,23.77,10,0.21,2250,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,9.66,1.60,0.00,-10.79,0
460874,0.00,-0.78,23.54,10,0.20,2132,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,6.88,1.54,0.00,-10.79,0
460942,0.00,-0.78,23.54,10,0.21,2047,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,6.77,1.52,0.00,-10.75,0
461014,0.00,-0.78,23.89,10,0.21,1986,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,6.77,1.52,0.00,-10.77,0
461078,0.00,-0.78,23.77,10,0.22,1898,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,6.62,1.52,0.00,-10.81,0
461150,0.00,-0.78,23.77,10,0.23,1807,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,6.55,1.52,0.00,-10.83,0
461230,0.00,-0.78,23.54,10,0.25,1709,0.00,0.00,16,14.70,11.99,11.50,0.64,3.92,6.62,1.52,0.00,-10.77,0
461302,0.00,-0.78,23.89,10,0.26,1516,0.00,0.00,16,14.70,11.64,11.50,0.64,4.06,6.66,1.52,0.00,-10.64,0
461366,0.00,-0.78,23.66,10,0.27,1440,0.00,0.00,16,14.70,11.29,11.50,0.64,4.21,6.48,1.50,0.00,-10.50,0
461438,0.00,-0.78,23.77,10,0.27,1338,0.00,0.00,16,14.70,10.94,19.00,0.64,4.21,6.00,1.46,0.00,-10.46,0
461507,0.00,-0.78,23.89,10,0.28,1249,0.00,0.00,16,14.70,10.59,18.50,0.72,4.35,5.74,1.46,0.00,-10.35,0
461573,0.00,-0.78,24.00,10,0.31,1261,0.00,0.00,16,12.71,11.64,19.00,0.80,4.79,5.65,1.50,0.00,-10.07,0
461649,0.00,-0.78,24.12,10,0.39,1293,0.00,0.00,16,12.26,15.51,11.50,0.88,5.95,7.14,1.60,0.00,-9.11,0
461721,0.00,-2.34,23.89,10,0.50,1330,0.00,0.00,16,12.72,22.19,15.00,0.88,6.96,11.93,1.78,0.00,-8.04,0
461793,0.00,-2.34,23.54,10,0.51,1365,0.00,0.00,16,15.11,27.81,21.50,0.88,7.40,12.31,1.84,0.00,-7.27,0
461862,0.00,-2.34,20.56,10,0.46,1499,0.00,0.00,16,15.30,31.68,27.00,0.88,7.84,12.59,1.86,0.00,-6.85,0
461930,-3.91,-2.34,11.94,8,0.43,1701,0.00,0.00,16,14.67,35.55,31.00,0.88,7.69,12.90,1.86,0.00,-6.98,0
462010,-3.91,-2.34,11.71,8,0.41,1881,0.00,0.00,16,14.68,38.01,35.00,0.88,7.55,12.85,1.86,0.00,-7.23,0
462074,1.56,-2.34,13.32,8,0.40,2008,0.00,0.00,16,14.68,38.36,38.00,0.88,7.25,13.13,1.86,0.00,-7.43,0
462146,4.69,-2.34,14.47,8,0.38,2069,0.00,0.00,16,14.69,38.01,37.50,0.88,7.25,13.13,1.86,0.00,-7.50,0
462218,6.25,-2.34,15.39,8,0.41,2048,0.00,0.00,16,14.09,38.01,37.50,0.90,7.11,13.65,1.88,0.00,-7.52,0
462283,6.25,-2.34,15.73,8,0.43,1984,0.00,0.00,16,14.68,36.60,37.00,0.90,7.25,13.84,1.90,0.00,-7.41,0
462355,5.47,-2.34,15.73,8,0.45,1878,0.00,0.00,16,14.01,34.84,35.00,0.92,7.40,13.71,1.90,0.00,-7.17,0
462423,3.91,-2.34,15.39,8,0.46,1848,0.00,0.00,16,13.82,36.95,34.50,1.02,7.69,14.02,1.92,0.00,-6.83,0
462497,2.34,-2.34,14.47,8,0.61,1947,0.00,0.00,16,13.02,39.77,37.00,1.06,9.43,17.80,2.06,0.00,-5.76,0
462569,0.78,-2.34,13.78,8,0.70,1935,0.00,0.00,16,14.03,39.77,39.00,1.10,10.30,22.88,2.16,0.00,-9.55,0
462641,-7.81,-2.34,12.17,8,0.71,1913,0.00,0.00,16,14.63,40.12,39.00,1.12,10.88,20.89,2.18,0.00,-3.94,0
462713,-7.81,-2.34,12.29,8,0.73,1972,0.00,0.00,16,14.63,39.77,39.50,1.14,11.46,24.42,2.22,0.00,-3.38,0
462785,-3.12,0.00,13.32,8,0.74,1998,0.00,0.00,16,14.63,39.06,39.00,1.16,11.75,24.51,2.24,0.00,-2.92,0
462849,0.78,0.00,14.59,8,0.74,1982,0.00,0.00,16,14.64,40.12,38.50,1.20,12.04,25.10,2.26,0.00,-2.65,0
462923,2.34,0.00,15.39,8,0.76,2046,0.00,0.00,16,14.25,39.41,39.50,1.22,12.19,26.10,2.26,0.00,-2.51,0
462995,0.78,0.00,15.50,8,0.76,2058,0.00,0.00,16,14.64,39.41,38.50,1.22,12.33,26.10,2.26,0.00,-2.32,0
463059,0.00,0.00,15.27,8,0.75,2112,0.00,0.00,16,14.64,40.82,39.50,1.22,12.48,26.42,2.26,0.00,-2.24,0
463140,1.56,0.00,14.93,8,0.75,2124,0.00,0.00,16,14.64,40.12,40.00,1.22,12.48,26.51,2.28,0.00,-2.20,0
463204,2.34,0.00,15.04,8,0.75,2124,0.00,0.00,16,14.65,40.47,39.50,1.22,12.62,26.73,2.28,0.00,-2.17,0
463274,3.12,0.00,15.16,8,0.74,2196,0.00,0.00,16,14.65,40.82,41.00,1.22,12.48,26.94,2.28,0.00,-2.20,0
463344,3.91,0.00,15.27,8,0.76,2206,0.00,0.00,16,14.65,40.82,40.00,1.22,12.48,27.87,2.30,0.00,-2.17,0
463416,3.12,0.00,15.27,8,0.75,2232,0.00,0.00,16,14.66,41.52,40.50,1.22,12.48,27.87,2.30,0.00,-2.19,0
463490,3.12,0.00,14.93,8,0.75,2268,0.00,0.00,16,14.66,41.52,41.00,1.22,12.48,28.72,2.32,0.00,-2.22,0
463559,3.91,0.00,14.93,8,0.76,2294,0.00,0.00,16,14.66,41.52,41.00,1.20,12.48,28.92,2.32,0.00,-2.20,0
463631,4.69,0.00,15.04,8,0.74,2300,0.00,0.00,16,14.66,42.58,41.00,1.18,12.48,29.14,2.34,0.00,-2.26,0
463701,4.69,0.00,15.04,8,0.74,2360,0.00,0.00,16,14.67,42.93,42.00,1.16,12.33,28.72,2.32,0.00,-2.42,0
463773,4.69,0.00,14.93,8,0.72,2350,0.00,0.00,16,14.90,43.98,42.50,1.10,12.04,28.09,2.30,0.00,-2.77,0
463845,4.69,0.00,14.81,8,0.67,2390,0.00,0.00,16,14.71,44.69,44.00,1.08,11.61,27.04,2.28,0.00,-3.17,0
463909,5.47,0.00,14.81,8,0.66,2418,0.00,0.00,16,14.94,44.69,44.00,1.06,11.32,26.73,2.28,0.00,-3.48,0
463987,6.25,0.00,14.93,8,0.64,2468,0.00,0.00,16,14.72,44.69,44.00,1.06,11.03,26.42,2.26,0.00,-3.85,0
464051,5.47,0.00,14.93,8,0.63,2488,0.00,0.00,16,14.73,44.69,44.00,1.06,10.74,25.99,2.26,0.00,-4.08,0
464123,5.47,0.00,14.81,8,0.63,2489,0.00,0.00,16,14.73,44.69,44.00,1.04,10.59,26.10,2.26,0.00,-4.23,0
464197,5.47,0.00,14.70,8,0.62,2516,0.00,0.00,16,14.73,44.69,44.00,1.04,10.45,26.42,2.26,0.00,-4.33,0
464269,4.69,0.00,14.70,8,0.61,2555,0.00,0.00,16,14.73,44.69,44.00,1.04,10.16,26.09,2.26,0.00,-4.47,0
464336,4.69,0.00,14.59,8,0.62,2572,0.00,0.00,16,14.73,44.69,44.00,1.04,10.16,26.20,2.28,0.00,-4.54,0
464408,4.69,0.00,14.70,8,0.60,2566,0.00,0.00,16,14.73,44.69,44.00,1.02,10.01,25.98,2.28,0.00,-4.70,0
464480,3.91,0.00,14.36,8,0.59,2610,0.00,0.00,16,14.74,44.69,44.00,1.00,9.72,25.10,2.24,0.00,-4.91,0
464552,3.91,0.00,14.47,8,0.57,2615,0.00,0.00,16,14.74,44.69,44.00,0.98,9.43,23.94,2.22,0.00,-5.26,0
464616,3.91,0.00,14.24,8,0.55,2633,0.00,0.00,16,14.74,44.69,44.00,0.98,9.14,23.64,2.20,0.00,-5.57,0
464688,2.34,0.00,14.36,8,0.52,2658,0.00,0.00,16,14.74,44.69,44.00,0.98,8.85,23.16,2.20,0.00,-5.80,0
464764,2.34,0.00,14.24,8,0.52,2676,0.00,0.00,16,14.74,44.69,44.00,0.96,8.71,23.16,2.20,0.00,-5.98,0
464836,3.12,0.00,14.47,8,0.51,2687,0.00,0.00,16,14.74,44.34,44.00,0.96,8.56,22.49,2.18,0.00,-6.17,0
464900,2.34,0.00,14.36,8,0.49,2729,0.00,0.00,16,14.74,44.34,43.50,0.94,8.42,21.97,2.16,0.00,-6.38,0
464972,2.34,0.00,14.59,8,0.48,2723,0.00,0.00,16,14.74,44.34,43.50,0.94,8.27,21.97,2.16,0.00,-6.56,0
465044,3.12,-2.34,14.59,8,0.47,2731,0.00,0.00,16,14.74,44.34,43.50,0.94,8.13,21.44,2.14,0.00,-6.71,0
465118,3.12,-2.34,14.59,8,0.47,2744,0.00,0.00,16,14.74,44.34,43.50,0.92,7.84,21.62,2.16,0.00,-6.85,0
465184,3.12,-2.34,14.70,8,0.45,2746,0.00,0.00,16,14.74,44.34,43.50,0.92,7.69,20.93,2.14,0.00,-6.96,0
465258,3.12,-2.34,14.70,8,0.44,2776,0.00,0.00,16,14.74,44.34,43.50,0.92,7.55,22.80,2.12,0.00,-7.10,0
465326,3.12,-2.34,14.81,8,0.43,2784,0.00,0.00,16,14.74,44.34,43.50,0.90,7.40,19.65,2.10,0.00,-7.29,0
465398,3.91,-2.34,14.81,8,0.43,2799,0.00,0.00,16,14.74,44.34,43.50,0.90,7.25,19.99,2.10,0.00,-7.43,0
465470,3.91,-2.34,14.81,8,0.41,2814,0.00,0.00,16,14.74,44.34,43.50,0.88,7.11,19.51,2.08,0.00,-7.60,0
465542,3.12,-2.34,14.70,8,0.40,2827,0.00,0.00,16,14.74,44.34,43.50,0.88,6.96,18.88,2.06,0.00,-7.79,0
465614,3.12,-2.34,14.59,8,0.38,2827,0.00,0.00,16,15.14,43.63,43.00,0.86,6.82,18.18,2.04,0.00,-7.97,0
465678,2.34,-2.34,14.36,8,0.38,2834,0.00,0.00,16,14.77,43.28,42.50,0.86,6.53,17.55,2.04,0.00,-8.16,0
465750,2.34,-2.34,14.36,8,0.36,2817,0.00,0.00,16,14.77,42.23,42.00,0.84,6.38,17.03,2.00,0.00,-8.33,0
465822,2.34,-2.34,14.36,8,0.35,2826,0.00,0.00,16,14.77,42.23,41.50,0.84,6.24,16.44,2.00,0.00,-8.45,0
465894,2.34,-2.34,14.59,8,0.34,2840,0.00,0.00,16,14.77,41.52,41.00,0.82,6.24,16.29,1.98,0.00,-8.60,0
465966,3.12,-2.34,14.59,8,0.33,2833,0.00,0.00,16,15.23,40.82,40.50,0.82,5.80,15.47,1.96,0.00,-8.82,0
466038,2.34,-2.34,14.70,8,0.32,2835,0.00,0.00,16,14.77,40.47,40.00,0.82,5.66,15.19,1.94,0.00,-8.99,0
466110,2.34,-2.34,14.59,8,0.31,2861,0.00,0.00,16,14.77,40.12,39.50,0.82,5.51,14.66,1.92,0.00,-9.09,0
466174,2.34,-2.34,14.59,8,0.30,2857,0.00,0.00,16,14.77,39.77,39.00,0.80,5.51,14.09,1.90,0.00,-9.18,0
466246,2.34,-2.34,14.59,8,0.29,2862,0.00,0.00,16,14.77,39.77,39.00,0.78,5.37,13.71,1.88,0.00,-9.34,0
466318,2.34,-2.34,14.70,8,0.29,2868,0.00,0.00,16,14.77,38.71,39.00,0.78,5.22,12.96,1.86,0.00,-9.46,0
466390,2.34,-2.34,14.70,8,0.27,2852,0.00,0.00,16,14.77,38.36,38.50,0.76,5.08,12.36,1.84,0.00,-9.65,0
466462,2.34,-0.78,14.59,8,0.26,2838,0.00,0.00,16,14.77,38.01,37.50,0.76,4.93,12.25,1.82,0.00,-9.82,0
466534,1.56,-0.78,14.47,8,0.25,2845,0.00,0.00,16,14.77,38.01,37.00,0.76,4.79,11.93,1.82,0.00,-9.92,0
466606,0.78,-0.78,14.36,8,0.25,2852,0.00,0.00,16,14.77,37.66,37.00,0.76,4.79,11.93,1.82,0.00,-9.96,0
466670,0.78,-0.78,14.36,8,0.25,2857,0.00,0.00,16,14.77,37.66,37.00,0.74,4.64,11.93,1.82,0.00,-10.04,0
466742,0.00,-0.78,14.36,8,0.24,2857,0.00,0.00,16,14.77,37.66,36.50,0.74,4.64,11.71,1.80,0.00,-10.07,0
466814,0.00,-0.78,14.24,8,0.24,2856,0.00,0.00,16,14.77,37.30,36.50,0.74,4.64,11.50,1.80,0.00,-10.09,0
466886,0.00,-0.78,14.24,8,0.24,2850,0.00,0.00,16,14.77,37.30,36.50,0.74,4.50,11.35,1.78,0.00,-10.15,0
466958,0.00,-0.78,14.36,8,0.24,2832,0.00,0.00,16,14.77,37.30,36.50,0.74,4.50,11.40,1.78,0.00,-10.19,0
467030,0.00,-0.78,14.59,8,0.23,2852,0.00,0.00,16,14.77,36.95,36.50,0.72,4.35,10.89,1.78,0.00,-10.27,0
467102,0.00,-0.78,14.59,8,0.22,2842,0.00,0.00,16,14.77,36.25,36.00,0.70,4.35,10.13,1.72,0.00,-10.38,0
467166,0.00,-0.78,14.59,10,0.21,2832,0.00,0.00,16,14.73,35.55,35.50,0.70,4.21,9.93,1.70,0.00,-10.56,0
467238,0.00,-0.78,14.59,10,0.21,2820,0.00,0.00,16,14.70,32.38,35.00,0.68,4.06,9.70,1.70,0.00,-10.65,0
467310,0.00,-0.78,14.59,10,0.22,2809,0.00,0.00,16,14.70,29.92,33.50,0.68,4.06,10.03,1.72,0.00,-10.67,0
467382,0.00,-0.78,14.70,10,0.21,2795,0.00,0.00,16,14.70,26.76,27.50,0.68,4.06,10.08,1.72,0.00,-10.67,0
467454,0.00,-0.78,15.50,10,0.22,2810,0.00,0.00,16,14.70,22.19,23.50,0.68,4.06,10.03,1.72,0.00,-10.64,0
467526,0.00,-0.78,17.80,10,0.21,2778,0.00,0.00,16,14.70,18.32,20.00,0.68,4.06,10.28,1.72,0.00,-10.56,0
467598,0.00,-0.78,20.10,10,0.21,2820,0.00,0.00,16,14.70,14.45,16.50,0.68,4.21,9.75,1.70,0.00,-10.50,0
467662,0.00,-0.78,22.74,10,0.22,2804,0.00,0.00,16,14.70,11.99,12.50,0.68,4.21,9.88,1.70,0.00,-10.48,0
467734,0.00,-0.78,24.69,10,0.22,2756,0.00,0.00,16,14.70,11.99,11.50,0.68,4.21,9.97,1.72,0.00,-10.48,0
467806,0.00,-0.78,25.61,10,0.21,2768,0.00,0.00,16,14.70,11.99,11.50,0.68,4.21,9.88,1.70,0.00,-10.48,0
467878,0.00,-0.78,23.43,10,0.22,2770,0.00,0.00,16,14.70,11.99,11.50,0.68,4.21,9.88,1.70,0.00,-10.46,0
467950,0.00,-0.78,23.77,10,0.22,2730,0.00,0.00,16,14.70,11.99,11.50,0.68,4.21,9.79,1.70,0.00,-10.46,0
468022,0.00,-0.78,23.89,10,0.22,2718,0.00,0.00,16,14.70,11.99,11.50,0.68,4.21,9.75,1.72,0.00,-10.48,0
468094,0.00,-0.78,24.12,10,0.21,2735,0.00,0.00,16,14.70,11.99,11.50,0.68,4.21,9.61,1.70,0.00,-10.50,0
468158,0.00,-0.78,23.89,10,0.21,2706,0.00,0.00,16,14.70,11.99,11.50,0.68,4.21,9.61,1.70,0.00,-10.48,0
468230,0.00,-0.78,23.89,10,0.21,2687,0.00,0.00,16,14.70,11.99,11.50,0.70,4.21,9.61,1.70,0.00,-10.46,0
468302,0.00,-0.78,23.54,10,0.22,2696,0.00,0.00,16,14.70,11.99,11.50,0.70,4.21,9.79,1.70,0.00,-10.42,0
468374,0.00,-0.78,23.89,10,0.22,2653,0.00,0.00,16,14.70,11.99,11.50,0.70,4.35,9.88,1.72,0.00,-10.38,0
468446,0.00,-0.78,23.89,10,0.22,2640,0.00,0.00,16,14.70,13.40,11.50,0.70,4.35,9.93,1.72,0.00,-10.33,0
468518,0.00,-0.78,23.89,10,0.23,2634,0.00,0.00,16,14.70,14.80,13.00,0.70,4.35,10.17,1.72,0.00,-10.25,0
468590,0.00,-0.78,24.00,10,0.23,2644,0.00,0.00,16,14.70,16.91,15.00,0.72,4.35,10.33,1.74,0.00,-10.42,0
468654,0.00,-0.78,23.77,10,0.24,2593,0.00,0.00,16,14.70,18.67,16.00,0.72,4.21,10.38,1.74,0.00,-10.52,0
468726,0.00,-0.78,22.39,10,0.23,2615,0.00,0.00,16,14.70,20.78,18.50,0.72,4.06,10.23,1.72,0.00,-10.58,0
468798,0.00,-0.78,17.92,10,0.24,2650,0.00,0.00,16,14.70,23.24,20.00,0.74,4.21,8.02,1.72,0.00,-10.52,0
468870,0.00,-0.78,15.50,10,0.25,2618,0.00,0.00,16,14.69,25.35,22.50,0.74,4.21,10.69,1.76,0.00,-10.42,0
468942,-2.34,-0.78,14.59,8,0.25,2582,0.00,0.00,16,14.69,27.81,24.00,0.76,4.35,10.78,1.76,0.00,-10.35,0
469014,-2.34,-0.78,14.24,8,0.26,2583,0.00,0.00,16,14.69,31.68,27.00,0.78,4.50,11.35,1.80,0.00,-10.21,0
469086,-3.91,-0.78,14.13,8,0.28,2598,0.00,0.00,16,14.69,35.90,33.00,0.82,4.64,12.37,1.84,0.00,-10.00,0
469150,-4.69,-0.78,14.01,8,0.30,2612,0.00,0.00,16,14.09,39.77,38.00,0.84,4.93,12.96,1.86,0.00,-9.59,0
469222,-4.69,-2.34,14.01,8,0.34,2610,0.00,0.00,16,14.68,40.82,40.00,0.86,5.37,14.53,1.92,0.00,-9.15,0
469294,-3.12,-2.34,14.24,8,0.36,2589,0.00,0.00,16,14.68,42.23,40.00,0.88,5.80,15.33,1.96,0.00,-8.80,0
469366,-2.34,-2.34,14.70,8,0.38,2582,0.00,0.00,16,14.67,42.93,41.50,0.88,6.09,16.14,2.00,0.00,-8.45,0
469438,-2.34,-2.34,14.81,8,0.40,2617,0.00,0.00,16,14.67,43.63,42.50,0.90,6.38,17.19,2.02,0.00,-8.20,0
469510,-1.56,-2.34,14.93,8,0.42,2574,0.00,0.00,16,14.67,43.63,42.50,0.90,6.82,17.79,2.04,0.00,-7.93,0
469582,-0.78,-2.34,15.16,8,0.42,2612,0.00,0.00,16,14.67,43.98,42.50,0.92,7.11,19.11,2.06,0.00,-7.72,0
469646,0.00,-2.34,15.16,8,0.45,2650,0.00,0.00,16,14.66,43.98,43.00,0.94,7.40,20.07,2.08,0.00,-7.43,0
469718,0.00,-2.34,15.16,8,0.46,2613,0.00,0.00,16,14.66,44.34,43.00,0.96,7.55,20.59,2.12,0.00,-7.14,0
469790,0.78,-2.34,15.04,8,0.47,2658,0.00,0.00,16,14.66,44.34,43.50,0.96,7.69,21.20,2.14,0.00,-6.98,0
469863,0.78,-2.34,15.04,8,0.49,2656,0.00,0.00,16,14.66,44.34,43.50,0.96,7.98,21.36,2.14,0.00,-6.79,0
469934,1.56,-2.34,15.04,8,0.49,2634,0.00,0.00,16,14.67,44.34,43.50,0.96,7.98,21.62,2.14,0.00,-6.71,0
470002,1.56,-2.34,15.04,8,0.49,2670,0.00,0.00,16,14.67,44.34,43.50,0.96,7.98,21.80,2.16,0.00,-6.65,0
470076,2.34,-2.34,15.04,8,0.50,2691,0.00,0.00,16,14.67,44.34,43.50,0.96,7.98,22.14,2.16,0.00,-6.65,0
470142,3.12,-2.34,15.16,8,0.49,2693,0.00,0.00,16,14.67,44.34,43.50,0.96,8.13,22.14,2.16,0.00,-6.61,0
470214,3.12,-2.34,14.93,8,0.49,2719,0.00,0.00,16,14.68,44.34,43.50,0.96,8.13,22.06,2.16,0.00,-6.59,0
470288,2.34,-2.34,14.93,8,0.48,2738,0.00,0.00,16,14.68,44.34,43.50,0.96,8.13,22.31,2.16,0.00,-6.61,0
470356,3.12,-2.34,14.81,8,0.48,2743,0.00,0.00,16,14.68,44.34,43.50,0.96,8.13,22.14,2.16,0.00,-6.61,0
470429,3.12,-2.34,14.81,8,0.48,2751,0.00,0.00,16,14.69,44.34,43.50,0.96,8.13,22.49,2.18,0.00,-6.57,0
470500,4.69,-2.34,15.04,8,0.49,2781,0.00,0.00,16,14.69,44.34,43.50,0.96,8.13,22.67,2.18,0.00,-6.59,0
470572,4.69,-2.34,14.93,8,0.50,2776,0.00,0.00,16,14.69,44.34,43.50,0.96,8.13,22.67,2.18,0.00,-6.59,0
