Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Alternator Duty (%),Battery Voltage (V)
222107,14.59,0.14,1068,0.00,0.00,16,14.10,13.00,5.37,5.14,-1.18,0.64,0.00,13.68
222295,14.47,0.14,1058,0.00,0.00,16,14.10,14.00,5.37,5.08,-1.18,0.64,0.00,13.52
222482,14.47,0.14,1074,0.00,0.00,16,14.10,13.00,5.22,5.08,-1.18,0.64,0.00,13.68
222670,14.47,0.14,1078,0.00,0.00,16,14.10,13.00,5.22,5.10,-1.18,0.64,0.00,13.60
222873,14.59,0.14,1067,0.00,0.00,16,14.10,13.00,5.22,5.14,-1.18,0.64,0.00,13.68
223060,14.59,0.14,1079,0.00,0.00,16,14.10,14.00,5.22,5.08,-1.18,0.64,0.00,13.68
225894,14.24,0.14,1047,0.00,0.00,16,14.10,15.00,5.37,5.08,-1.18,0.64,0.00,13.60
226082,14.36,0.15,1050,0.00,0.00,16,14.10,14.00,5.37,5.08,-1.18,0.64,0.00,13.68
226269,14.24,0.15,1051,0.00,0.00,16,14.10,14.00,5.37,5.14,-1.18,0.64,0.00,13.60
226457,14.47,0.14,1071,0.00,0.00,16,14.10,11.50,5.37,5.10,-1.18,0.64,0.00,13.76
226644,14.59,0.15,1043,0.00,0.00,16,14.10,13.50,5.37,5.04,-1.18,0.64,0.00,13.68
226847,14.47,0.15,1057,0.00,0.00,16,14.10,14.00,5.37,5.17,-1.18,0.64,0.00,13.68
227035,14.47,0.14,1050,0.00,0.00,16,14.10,14.00,5.37,5.10,-1.18,0.64,0.00,13.76
227222,14.59,0.15,1044,0.00,0.00,16,14.10,15.00,5.37,5.08,-1.18,0.64,0.00,13.68
227410,14.59,0.14,1070,0.00,0.00,16,14.10,12.00,5.37,5.08,-1.18,0.64,0.00,13.60
227613,14.47,0.14,1043,0.00,0.00,16,14.10,15.00,5.37,5.04,-1.18,0.64,0.00,13.68
227800,14.47,0.14,1059,0.00,0.00,16,14.10,13.00,5.37,5.08,-1.18,0.64,0.00,13.52
227988,14.59,0.14,1062,0.00,0.00,16,14.10,13.00,5.37,5.08,-1.18,0.64,0.00,13.68
228175,14.59,0.14,1073,0.00,0.00,16,14.10,12.00,5.22,5.01,-1.18,0.64,0.00,13.52
228378,14.70,0.14,1055,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.68
228566,14.59,0.14,1058,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.52
228753,14.47,0.14,1041,0.00,0.00,16,14.10,15.50,5.22,5.01,-1.18,0.64,0.00,13.52
228951,14.59,0.14,1053,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.76
229139,14.47,0.15,1044,0.00,0.00,16,14.10,13.00,5.37,5.01,-1.18,0.64,0.00,13.52
229329,14.36,0.14,1039,0.00,0.00,16,14.10,15.50,5.37,5.01,-1.18,0.64,0.00,13.68
229522,14.36,0.14,1058,0.00,0.00,16,14.10,13.00,5.22,5.08,-1.18,0.64,0.00,13.52
229715,14.36,0.14,1051,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.68
229904,14.36,0.14,1055,0.00,0.00,16,14.10,13.00,5.37,5.01,-1.18,0.64,0.00,13.68
230096,14.36,0.15,1038,0.00,0.00,16,14.10,15.00,5.37,5.08,-1.18,0.64,0.00,13.68
230284,14.59,0.15,1047,0.00,0.00,16,14.10,14.00,5.37,5.08,-1.18,0.64,0.00,13.76
230471,14.47,0.15,1057,0.00,0.00,16,14.10,13.00,5.37,5.14,-1.18,0.64,0.00,13.68
230659,14.59,0.15,1046,0.00,0.00,16,14.10,14.00,5.37,5.08,-1.18,0.64,0.00,13.68
230861,14.36,0.15,1046,0.00,0.00,16,14.10,14.00,5.37,5.08,-1.18,0.64,0.00,13.68
231049,14.36,0.14,1048,0.00,0.00,16,14.10,14.00,5.37,5.08,-1.18,0.64,0.00,13.52
231237,14.47,0.15,1052,0.00,0.00,16,14.10,13.50,5.37,5.08,-1.18,0.64,0.00,13.68
231424,14.47,0.14,1051,0.00,0.00,16,14.10,13.50,5.37,5.08,-1.18,0.64,0.00,13.60
231612,14.24,0.14,1053,0.00,0.00,16,14.10,13.00,5.37,5.10,-1.18,0.64,0.00,13.68
231815,14.36,0.15,1042,0.00,0.00,16,14.10,14.50,5.37,5.08,-1.18,0.64,0.00,13.60
232002,14.36,0.14,1048,0.00,0.00,16,14.10,14.00,5.37,5.08,-1.18,0.64,0.00,13.68
232190,14.36,0.14,1056,0.00,0.00,16,14.10,13.00,5.37,5.08,-1.18,0.64,0.00,13.60
232377,14.24,0.15,1041,0.00,0.00,16,14.10,14.50,5.37,5.08,-1.18,0.64,0.00,13.60
232565,14.47,0.15,1030,0.00,0.00,16,14.10,15.50,5.37,5.08,-1.18,0.64,0.00,13.52
232768,14.47,0.15,1036,0.00,0.00,16,14.10,14.50,5.37,5.14,-1.18,0.64,0.00,13.76
232955,14.70,0.15,1031,0.00,0.00,16,14.10,14.50,5.51,5.14,-1.18,0.64,0.00,13.76
233143,14.70,0.15,1048,0.00,0.00,16,14.10,13.00,5.37,5.21,-1.18,0.64,0.00,13.68
233330,14.47,0.14,1056,0.00,0.00,16,14.10,12.50,5.37,5.14,-1.18,0.64,0.00,13.68
233533,14.59,0.15,1051,0.00,0.00,16,14.10,13.50,5.37,5.14,-1.18,0.64,0.00,13.76
233721,14.59,0.15,1060,0.00,0.00,16,14.10,12.50,5.37,5.14,-1.18,0.64,0.00,13.68
233907,14.70,0.15,1046,0.00,0.00,16,14.10,14.00,5.37,5.14,-1.18,0.64,0.00,13.68
234109,14.81,0.15,1049,0.00,0.00,16,14.10,14.00,5.37,5.21,-1.18,0.64,0.00,13.60
234297,14.81,0.15,1048,0.00,0.00,16,14.10,14.00,5.37,5.14,-1.18,0.64,0.00,13.68
234484,14.70,0.15,1056,0.00,0.00,16,14.10,13.00,5.37,5.21,-1.18,0.64,0.00,13.52
234672,14.59,0.15,1054,0.00,0.00,16,14.10,13.50,5.37,5.17,-1.18,0.64,0.00,13.68
234875,14.59,0.15,1054,0.00,0.00,16,14.10,14.00,5.37,5.14,-1.18,0.64,0.00,13.52
235063,14.59,0.14,1062,0.00,0.00,16,14.10,13.00,5.37,5.14,-1.18,0.64,0.00,13.44
235250,14.70,0.15,1039,0.00,0.00,16,14.10,15.50,5.37,5.21,-1.18,0.64,0.00,13.52
235438,14.59,0.15,1047,0.00,0.00,16,14.10,14.00,5.37,5.14,-1.18,0.64,0.00,13.76
235625,14.59,0.15,1045,0.00,0.00,16,14.10,14.00,5.37,5.14,-1.18,0.64,0.00,13.68
235828,14.59,0.15,1039,0.00,0.00,16,14.10,14.50,5.51,5.14,-1.18,0.64,0.00,13.52
236016,14.70,0.15,1034,0.00,0.00,16,14.10,14.50,5.51,5.17,-1.18,0.64,0.00,13.68
236203,14.59,0.15,1036,0.00,0.00,16,14.10,14.50,5.51,5.21,-1.18,0.64,0.00,13.68
236406,14.70,0.15,1028,0.00,0.00,16,14.10,15.50,5.51,5.17,-1.18,0.64,0.00,13.68
236594,14.59,0.15,1039,0.00,0.00,16,14.10,14.00,5.51,5.14,-1.18,0.64,0.00,13.68
236781,14.47,0.15,1047,0.00,0.00,16,14.10,13.00,5.51,5.14,-1.18,0.64,0.00,13.60
236969,14.36,0.15,1013,0.00,0.00,16,14.10,15.50,5.51,5.21,-1.18,0.64,0.00,13.68
237172,14.59,0.15,1024,0.00,0.00,16,14.10,14.50,5.51,5.14,-1.18,0.64,0.00,13.68
237359,14.59,0.15,1024,0.00,0.00,16,14.10,14.00,5.51,5.23,-1.18,0.64,0.00,13.60
237547,14.70,0.16,1012,0.00,0.00,16,14.10,14.50,5.66,5.27,-1.18,0.64,0.00,13.44
237734,14.59,0.16,1012,0.00,0.00,16,14.10,15.00,5.66,5.27,-1.18,0.64,0.00,13.52
237937,14.70,0.16,1013,0.00,0.00,16,14.10,14.50,5.66,5.27,-1.18,0.64,0.00,13.44
238125,14.59,0.15,1043,0.00,0.00,16,14.10,11.50,5.66,5.30,-1.18,0.64,0.00,13.60
238312,14.24,0.15,1054,0.00,0.00,16,14.10,11.00,5.66,5.21,-1.18,0.64,0.00,13.68
238500,14.36,0.15,1050,0.00,0.00,16,14.10,12.00,5.51,5.21,-1.18,0.64,0.00,13.52
241526,14.59,0.15,1058,0.00,0.00,16,14.10,14.00,5.37,5.14,-1.18,0.64,0.00,13.68
241729,14.47,0.14,1067,0.00,0.00,16,14.10,13.50,5.22,5.08,-1.18,0.64,0.00,13.60
241916,14.36,0.14,1052,0.00,0.00,16,14.10,14.50,5.22,5.01,-1.18,0.64,0.00,13.68
242104,14.36,0.15,1062,0.00,0.00,16,14.10,14.00,5.22,5.04,-1.18,0.64,0.00,13.60
242292,14.47,0.15,1038,0.00,0.00,16,14.10,16.00,5.22,5.01,-1.18,0.64,0.00,13.68
242479,14.36,0.14,1043,0.00,0.00,16,14.10,15.00,5.37,5.08,-1.18,0.64,0.00,13.60
242682,14.47,0.14,1052,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.68
242870,14.47,0.14,1054,0.00,0.00,16,14.10,13.50,5.22,4.95,-1.18,0.64,0.00,13.76
243057,14.36,0.13,1050,0.00,0.00,16,14.10,14.00,5.22,4.91,-1.18,0.64,0.00,13.68
243245,14.24,0.14,1035,0.00,0.00,16,14.10,15.50,5.22,4.95,-1.18,0.64,0.00,13.68
243432,14.36,0.14,1039,0.00,0.00,16,14.10,14.00,5.22,4.95,-1.18,0.64,0.00,13.68
243635,14.59,0.14,1042,0.00,0.00,16,14.10,14.00,5.22,4.95,-1.18,0.64,0.00,13.68
243823,14.70,0.15,1025,0.00,0.00,16,14.10,15.50,5.22,4.95,-1.18,0.64,0.00,13.68
244014,14.59,0.14,1044,0.00,0.00,16,14.10,13.50,5.37,5.01,-1.18,0.64,0.00,13.60
246859,14.47,0.14,1040,0.00,0.00,16,14.10,13.00,5.37,5.01,-1.18,0.64,0.00,13.68
247046,14.59,0.15,1041,0.00,0.00,16,14.10,13.00,5.37,5.04,-1.18,0.64,0.00,13.60
247234,14.59,0.14,1040,0.00,0.00,16,14.10,13.00,5.37,5.01,-1.18,0.64,0.00,13.68
247421,14.70,0.14,1053,0.00,0.00,16,14.10,12.00,5.37,5.08,-1.18,0.64,0.00,13.68
247624,14.70,0.15,1045,0.00,0.00,16,14.10,12.00,5.37,5.08,-1.18,0.64,0.00,13.60
247812,14.59,0.14,1040,0.00,0.00,16,14.10,14.00,5.37,5.04,-1.18,0.64,0.00,13.68
248008,14.59,0.14,1045,0.00,0.00,16,14.10,13.50,5.22,5.01,-1.18,0.64,0.00,13.52
248193,14.59,0.14,1044,0.00,0.00,16,14.10,13.50,5.22,5.01,-1.18,0.64,0.00,13.68
248380,14.47,0.15,1044,0.00,0.00,16,14.10,13.50,5.37,5.01,-1.18,0.64,0.00,13.60
248568,14.59,0.15,1040,0.00,0.00,16,14.10,14.00,5.37,5.01,-1.18,0.64,0.00,13.68
248755,14.70,0.14,1040,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.60
248954,14.47,0.14,1046,0.00,0.00,16,14.10,13.00,5.22,5.01,-1.18,0.64,0.00,13.68
249147,14.47,0.14,1043,0.00,0.00,16,14.10,13.50,5.37,4.95,-1.18,0.64,0.00,13.68
249345,14.47,0.15,1037,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.68
249542,14.59,0.14,1044,0.00,0.00,16,14.10,13.00,5.22,5.01,-1.18,0.64,0.00,13.68
249731,14.70,0.14,1032,0.00,0.00,16,14.10,14.50,5.22,4.95,-1.18,0.64,0.00,13.68
249920,14.59,0.15,1034,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.68
250113,14.47,0.13,1046,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.18,0.64,0.00,13.68
250301,14.59,0.15,1046,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.60
250488,14.59,0.14,1045,0.00,0.00,16,14.10,13.00,5.22,5.01,-1.18,0.64,0.00,13.68
250676,14.47,0.14,1029,0.00,0.00,16,14.10,15.00,5.22,5.01,-1.18,0.64,0.00,13.60
250863,14.70,0.14,1043,0.00,0.00,16,14.10,13.50,5.22,4.95,-1.18,0.64,0.00,13.68
251067,14.59,0.14,1048,0.00,0.00,16,14.10,13.00,5.22,4.97,-1.18,0.64,0.00,13.52
251257,14.47,0.14,1046,0.00,0.00,16,14.10,13.00,5.22,5.01,-1.18,0.64,0.00,13.68
251451,14.47,0.15,1034,0.00,0.00,16,14.10,14.00,5.22,5.01,-1.18,0.64,0.00,13.60
251640,14.59,0.14,1034,0.00,0.00,16,14.10,14.00,5.22,4.95,-1.18,0.64,0.00,13.68
251830,14.59,0.14,1041,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.18,0.64,0.00,13.60
252013,14.59,0.14,1030,0.00,0.00,16,14.10,14.50,5.37,4.95,-1.18,0.64,0.00,13.68
252200,14.36,0.14,1043,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.18,0.64,0.00,13.68
252388,14.47,0.14,1046,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.18,0.64,0.00,13.68
252591,14.59,0.14,1040,0.00,0.00,16,14.10,13.50,5.22,4.95,-1.18,0.64,0.00,13.68
252778,14.70,0.14,1039,0.00,0.00,16,14.10,13.50,5.22,5.01,-1.18,0.64,0.00,13.68
252966,14.70,0.14,1027,0.00,0.00,16,14.10,14.50,5.37,4.97,-1.18,0.64,0.00,13.68
253153,14.70,0.14,1035,0.00,0.00,16,14.10,14.00,5.22,4.97,-1.18,0.64,0.00,13.76
253356,14.70,0.14,1052,0.00,0.00,16,14.10,12.00,5.22,4.95,-1.18,0.64,0.00,13.68
253544,14.47,0.16,1033,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.68
253732,14.59,0.14,1035,0.00,0.00,16,14.10,14.00,5.22,4.91,-1.18,0.64,0.00,13.52
253919,14.59,0.14,1037,0.00,0.00,16,14.10,14.00,5.22,4.95,-1.18,0.64,0.00,13.68
254106,14.70,0.15,1022,0.00,0.00,16,14.10,15.50,5.22,4.95,-1.18,0.64,0.00,13.60
254309,14.59,0.14,1040,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.18,0.64,0.00,13.52
254493,14.59,0.16,1044,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.18,0.64,0.00,13.68
254681,14.47,0.14,1044,0.00,0.00,16,14.10,13.00,5.22,4.91,-1.18,0.64,0.00,13.52
254883,14.47,0.14,1035,0.00,0.00,16,14.10,14.00,5.22,4.95,-1.18,0.64,0.00,13.68
255071,14.47,0.14,1032,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.60
255259,14.70,0.14,1031,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.68
255446,14.70,0.14,1035,0.00,0.00,16,14.10,13.50,5.22,4.95,-1.18,0.64,0.00,13.60
255649,14.47,0.14,1032,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.68
255837,14.59,0.14,1030,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.68
256024,14.70,0.14,1040,0.00,0.00,16,14.10,13.00,5.22,4.88,-1.18,0.64,0.00,13.60
256212,14.47,0.14,1026,0.00,0.00,16,14.10,14.50,5.22,4.95,-1.18,0.64,0.00,13.68
256399,14.59,0.14,1038,0.00,0.00,16,14.10,13.00,5.22,4.95,-1.18,0.64,0.00,13.68
256602,14.59,0.14,1034,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.68
256790,14.70,0.14,1050,0.00,0.00,16,14.10,12.00,5.22,4.88,-1.18,0.64,0.00,13.68
256977,14.70,0.14,1016,0.00,0.00,16,14.10,15.50,5.22,4.91,-1.18,0.64,0.00,13.52
257165,14.47,0.14,1029,0.00,0.00,16,14.10,14.00,5.22,4.95,-1.18,0.64,0.00,13.68
257368,14.70,0.14,1030,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.52
257555,14.59,0.14,1024,0.00,0.00,16,14.10,14.50,5.22,4.91,-1.18,0.64,0.00,13.68
257743,14.59,0.14,1034,0.00,0.00,16,14.10,13.50,5.22,4.88,-1.18,0.64,0.00,13.60
257930,14.59,0.14,1041,0.00,0.00,16,14.10,13.00,5.22,4.88,-1.18,0.64,0.00,13.68
258133,14.70,0.14,1035,0.00,0.00,16,14.10,13.50,5.22,4.88,-1.18,0.64,0.00,13.52
258321,14.47,0.14,1036,0.00,0.00,16,14.10,13.50,5.22,4.88,-1.18,0.64,0.00,13.68
258508,14.47,0.14,1031,0.00,0.00,16,14.10,14.00,5.22,4.91,-1.18,0.64,0.00,13.52
258696,14.47,0.14,1040,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.60
258883,14.70,0.14,1036,0.00,0.00,16,14.10,13.00,5.22,4.91,-1.18,0.64,0.00,13.68
259089,14.70,0.14,1026,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.68
259275,14.47,0.14,1024,0.00,0.00,16,14.10,14.50,5.22,4.88,-1.18,0.64,0.00,13.68
259464,14.47,0.14,1033,0.00,0.00,16,14.10,13.50,5.22,4.88,-1.18,0.64,0.00,13.68
259669,14.59,0.14,1036,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.68
262493,14.70,0.14,1034,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.68
262696,14.59,0.14,1019,0.00,0.00,16,14.10,14.50,5.22,4.85,-1.18,0.64,0.00,13.68
262883,14.59,0.14,1031,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.68
263071,14.70,0.14,1040,0.00,0.00,16,14.10,13.00,5.22,4.88,-1.18,0.64,0.00,13.68
263274,14.70,0.14,1016,0.00,0.00,16,14.10,14.00,5.22,4.82,-1.18,0.64,0.00,13.60
263461,14.59,0.14,1016,0.00,0.00,16,14.10,15.00,5.22,4.82,-1.18,0.64,0.00,13.68
263649,14.70,0.14,1025,0.00,0.00,16,14.10,14.00,5.22,4.85,-1.18,0.64,0.00,13.52
263836,14.70,0.14,1020,0.00,0.00,16,14.10,14.00,5.22,4.85,-1.18,0.64,0.00,13.68
264024,14.59,0.14,1042,0.00,0.00,16,14.10,12.00,5.22,4.82,-1.18,0.64,0.00,13.52
264226,14.47,0.14,1026,0.00,0.00,16,14.10,14.00,5.22,4.91,-1.18,0.64,0.00,13.68
264414,14.59,0.14,1024,0.00,0.00,16,14.10,14.00,5.22,4.88,-1.18,0.64,0.00,13.52
264599,14.47,0.14,1030,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.68
264802,14.47,0.13,1029,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.52
264989,14.47,0.14,1026,0.00,0.00,16,14.10,13.50,5.22,4.82,-1.18,0.64,0.00,13.68
265177,14.59,0.16,1030,0.00,0.00,16,14.10,13.00,5.22,4.79,-1.18,0.64,0.00,13.60
268061,14.59,0.14,1031,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.52
268248,14.36,0.14,1022,0.00,0.00,16,14.10,15.50,5.22,4.82,-1.18,0.64,0.00,13.68
268436,14.47,0.14,1019,0.00,0.00,16,14.10,14.50,5.22,4.82,-1.18,0.64,0.00,13.52
268623,14.59,0.14,1015,0.00,0.00,16,14.10,15.00,5.22,4.79,-1.18,0.64,0.00,13.68
268811,14.47,0.14,1028,0.00,0.00,16,14.10,14.00,5.22,4.82,-1.18,0.64,0.00,13.68
269011,14.59,0.14,1016,0.00,0.00,16,14.10,14.50,5.22,4.79,-1.18,0.64,0.00,13.68
269204,14.59,0.14,1018,0.00,0.00,16,14.10,14.00,5.22,4.82,-1.18,0.64,0.00,13.68
269398,14.47,0.14,1028,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.68
269587,14.47,0.14,1019,0.00,0.00,16,14.10,14.00,5.22,4.82,-1.18,0.64,0.00,13.68
269780,14.36,0.14,1011,0.00,0.00,16,14.10,14.50,5.22,4.75,-1.18,0.64,0.00,13.60
269968,14.59,0.14,1007,0.00,0.00,16,14.10,16.00,5.22,4.79,-1.18,0.64,0.00,13.60
270155,14.59,0.14,1012,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.68
270343,14.47,0.14,1010,0.00,0.00,16,14.10,14.00,5.22,4.79,-1.18,0.64,0.00,13.52
270530,14.70,0.14,1013,0.00,0.00,16,14.10,14.00,5.22,4.82,-1.18,0.64,0.00,13.68
270733,14.59,0.14,1017,0.00,0.00,16,14.10,13.50,5.22,4.79,-1.18,0.64,0.00,13.52
270921,14.47,0.14,1007,0.00,0.00,16,14.10,14.00,5.22,4.79,-1.18,0.64,0.00,13.60
271108,14.70,0.14,1016,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.52
271311,14.59,0.14,1025,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.68
271499,14.47,0.14,1016,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.52
271687,14.70,0.16,1016,0.00,0.00,16,14.10,14.00,5.22,4.76,-1.18,0.64,0.00,13.68
271874,14.59,0.14,1022,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.60
272062,14.59,0.14,1011,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.60
272264,14.47,0.14,1008,0.00,0.00,16,14.10,14.50,5.22,4.75,-1.18,0.64,0.00,13.68
272452,14.59,0.15,1026,0.00,0.00,16,14.10,12.50,5.22,4.75,-1.18,0.64,0.00,13.68
272640,14.59,0.14,1010,0.00,0.00,16,14.10,13.50,5.22,4.79,-1.18,0.64,0.00,13.68
272827,14.47,0.14,1011,0.00,0.00,16,14.10,14.50,5.22,4.75,-1.18,0.64,0.00,13.68
273030,14.70,0.14,1010,0.00,0.00,16,14.10,14.50,5.22,4.79,-1.18,0.64,0.00,13.52
273218,14.59,0.14,1013,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.68
273405,14.59,0.14,1005,0.00,0.00,16,14.10,14.00,5.37,4.75,-1.18,0.64,0.00,13.52
273593,14.70,0.14,1015,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.68
273780,14.59,0.14,1018,0.00,0.00,16,14.10,13.00,5.22,4.82,-1.18,0.64,0.00,13.44
273983,14.36,0.14,1010,0.00,0.00,16,14.10,14.00,5.22,4.82,-1.18,0.64,0.00,13.68
274171,14.59,0.14,1013,0.00,0.00,16,14.10,14.00,5.22,4.73,-1.18,0.64,0.00,13.44
274357,14.47,0.14,1018,0.00,0.00,16,14.10,13.00,5.22,4.73,-1.18,0.64,0.00,13.68
274560,14.59,0.14,1006,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.52
274745,14.47,0.14,1015,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.60
274948,14.70,0.16,1022,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.68
275136,14.59,0.14,1007,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.68
275323,14.47,0.14,1013,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.68
275526,14.59,0.14,1008,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.68
275714,14.47,0.14,1010,0.00,0.00,16,14.10,14.00,5.37,4.75,-1.18,0.64,0.00,13.68
275902,14.47,0.14,1004,0.00,0.00,16,14.10,14.00,5.37,4.75,-1.18,0.64,0.00,13.68
276089,14.70,0.14,1015,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.68
276292,14.59,0.14,1015,0.00,0.00,16,14.10,13.50,5.22,4.82,-1.18,0.64,0.00,13.68
276479,14.59,0.15,1012,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.52
276667,14.70,0.14,1017,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.68
276855,14.59,0.13,1018,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.44
277042,14.70,0.14,1024,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.68
277245,14.59,0.14,1019,0.00,0.00,16,14.10,14.00,5.22,4.82,-1.18,0.64,0.00,13.68
277433,14.70,0.14,1023,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.52
277620,14.70,0.14,1011,0.00,0.00,16,14.10,14.50,5.22,4.75,-1.18,0.64,0.00,13.60
277808,14.59,0.14,1022,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.52
278011,14.70,0.16,1020,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.68
278198,14.70,0.14,1014,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.52
278386,14.36,0.14,1020,0.00,0.00,16,14.10,13.50,5.22,4.75,-1.18,0.64,0.00,13.68
278573,14.47,0.14,1022,0.00,0.00,16,14.10,13.00,5.22,4.73,-1.18,0.64,0.00,13.60
278761,14.59,0.14,1007,0.00,0.00,16,14.10,15.00,5.22,4.75,-1.18,0.64,0.00,13.60
278962,14.59,0.14,1006,0.00,0.00,16,14.10,15.00,5.22,4.73,-1.18,0.64,0.00,13.68
279155,14.70,0.14,1023,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.68
279344,14.70,0.14,1009,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.68
279533,14.70,0.14,1004,0.00,0.00,16,14.10,15.00,5.22,4.73,-1.18,0.64,0.00,13.60
279731,14.59,0.13,1013,0.00,0.00,16,14.10,14.00,5.22,4.69,-1.18,0.64,0.00,13.52
279916,14.70,0.14,1016,0.00,0.00,16,14.10,13.50,5.22,4.79,-1.18,0.64,0.00,13.68
280108,14.70,0.14,1014,0.00,0.00,16,14.10,13.50,5.22,4.64,-1.18,0.64,0.00,13.52
280296,14.70,0.14,1010,0.00,0.00,16,14.10,15.50,5.22,4.75,-1.18,0.64,0.00,13.60
280483,14.70,0.14,1022,0.00,0.00,16,14.10,12.50,5.22,4.64,-1.18,0.64,0.00,13.52
280670,14.70,0.14,1008,0.00,0.00,16,14.10,14.00,5.22,4.75,-1.18,0.64,0.00,13.68
283541,14.70,0.14,1012,0.00,0.00,16,14.10,13.00,5.37,4.69,-1.18,0.64,0.00,13.52
283744,14.70,0.14,1008,0.00,0.00,16,14.10,13.50,5.22,4.73,-1.18,0.64,0.00,13.60
283931,14.59,0.16,1001,0.00,0.00,16,14.10,14.50,5.22,4.69,-1.18,0.64,0.00,13.52
284119,14.59,0.14,1018,0.00,0.00,16,14.10,13.00,5.22,4.75,-1.18,0.64,0.00,13.68
284306,14.70,0.13,1006,0.00,0.00,16,14.10,14.00,5.22,4.73,-1.18,0.64,0.00,13.68
