Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Fuel Pump Duty (%),Injector Duty Cycle (%),Alternator Duty (%),Battery Voltage (V)
81062,14.59,0.15,1104,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.84
81140,14.70,0.15,1097,0.00,0.00,16,10.23,10.00,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
81203,14.47,0.15,1106,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.92
81266,14.70,0.15,1114,0.00,0.00,16,10.23,8.50,5.37,5.55,-1.18,0.64,74.90,2.14,0.00,13.92
81329,14.47,0.15,1109,0.00,0.00,16,10.23,9.50,5.51,5.55,-1.18,0.64,74.90,2.13,0.00,13.92
81407,14.47,0.15,1094,0.00,0.00,16,10.23,10.50,5.37,5.59,-1.18,0.64,74.90,2.10,0.00,13.92
81469,14.47,0.15,1106,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.92
81532,14.24,0.15,1102,0.00,0.00,16,10.23,10.00,5.51,5.52,-1.18,0.64,74.90,2.12,0.00,14.00
81594,14.47,0.15,1104,0.00,0.00,16,10.23,10.00,5.37,5.52,-1.18,0.64,74.90,2.12,0.00,13.92
81672,14.36,0.15,1098,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,14.00
81735,14.36,0.16,1093,0.00,0.00,16,9.88,10.50,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,13.92
81797,14.47,0.16,1086,0.00,0.00,16,10.23,11.50,5.51,5.65,-1.18,0.64,74.90,2.32,0.00,13.92
81860,14.36,0.15,1089,0.00,0.00,16,10.23,11.00,5.51,5.62,-1.18,0.64,74.90,2.09,0.00,13.92
81922,14.59,0.15,1103,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,14.00
82000,14.47,0.15,1112,0.00,0.00,16,10.23,8.50,5.51,5.59,-1.18,0.64,74.90,2.14,0.00,13.92
82063,14.47,0.15,1102,0.00,0.00,16,10.23,9.50,5.51,5.55,-1.18,0.64,74.90,2.12,0.00,14.00
82128,14.47,0.15,1093,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,13.92
82190,14.36,0.15,1085,0.00,0.00,16,10.23,11.50,5.51,5.59,-1.18,0.64,74.90,2.08,0.00,13.92
82257,14.47,0.15,1091,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,13.92
82320,14.47,0.15,1106,0.00,0.00,16,10.23,9.00,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,14.00
82398,14.59,0.15,1099,0.00,0.00,16,9.88,9.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
82460,14.70,0.15,1088,0.00,0.00,16,10.23,10.00,5.51,5.65,-1.18,0.64,74.90,2.09,0.00,13.92
82523,14.47,0.15,1082,0.00,0.00,16,10.23,11.00,5.51,5.59,-1.18,0.64,74.90,2.08,0.00,13.92
82585,14.70,0.15,1098,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
82663,14.59,0.15,1110,0.00,0.00,16,10.23,8.50,5.51,5.59,-1.18,0.64,74.90,2.13,0.00,13.84
82726,14.47,0.15,1097,0.00,0.00,16,10.23,10.00,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
82789,14.70,0.15,1101,0.00,0.00,16,10.23,9.00,5.51,5.62,-1.18,0.64,74.90,2.11,0.00,13.84
82851,14.47,0.15,1088,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.09,0.00,14.00
82929,14.59,0.16,1102,0.00,0.00,16,10.23,9.50,5.51,5.65,-1.18,0.64,74.90,2.12,0.00,13.84
82992,14.47,0.15,1098,0.00,0.00,16,10.23,10.00,5.51,5.62,-1.18,0.64,74.90,2.11,0.00,13.92
83054,14.47,0.15,1103,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.92
83117,14.59,0.15,1114,0.00,0.00,16,10.23,8.00,5.51,5.65,-1.18,0.64,74.90,2.14,0.00,13.92
83196,14.47,0.15,1097,0.00,0.00,16,10.23,10.00,5.51,5.55,-1.18,0.64,74.90,2.11,0.00,13.92
83258,14.59,0.16,1092,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,13.92
83321,14.59,0.15,1109,0.00,0.00,16,10.23,8.50,5.51,5.65,-1.18,0.64,74.90,2.13,0.00,13.84
83383,14.47,0.15,1110,0.00,0.00,16,10.23,8.50,5.51,5.65,-1.18,0.64,74.90,2.13,0.00,13.92
83446,14.70,0.15,1111,0.00,0.00,16,10.23,8.50,5.51,5.62,-1.18,0.64,74.90,2.13,0.00,13.84
83524,14.47,0.15,1094,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
83591,14.59,0.16,1112,0.00,0.00,16,10.23,10.50,5.51,5.65,-1.18,0.64,74.90,2.10,0.00,13.92
83653,14.47,0.15,1104,0.00,0.00,16,10.23,8.50,5.51,5.68,-1.18,0.64,74.90,2.14,0.00,13.92
83716,14.47,0.15,1093,0.00,0.00,16,10.23,9.50,5.51,5.65,-1.18,0.64,74.90,2.12,0.00,13.84
83778,14.59,0.16,1094,0.00,0.00,16,10.23,10.50,5.51,5.68,-1.18,0.64,74.90,2.10,0.00,13.92
83856,14.24,0.15,1100,0.00,0.00,16,10.23,10.50,5.51,5.65,-1.18,0.64,74.90,2.10,0.00,13.84
83919,14.47,0.15,1108,0.00,0.00,16,10.23,10.00,5.51,5.65,-1.18,0.64,74.90,2.11,0.00,13.92
83981,14.47,0.15,1111,0.00,0.00,16,10.23,9.00,5.51,5.65,-1.18,0.64,74.90,2.13,0.00,13.92
84048,14.36,0.15,1108,0.00,0.00,16,10.23,8.50,5.51,5.68,-1.18,0.64,74.90,2.13,0.00,13.92
84111,14.47,0.15,1098,0.00,0.00,16,10.23,9.50,5.51,5.65,-1.18,0.64,74.90,2.13,0.00,13.84
84173,14.36,0.15,1113,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
84251,14.47,0.15,1121,0.00,0.00,16,10.23,9.50,5.51,5.62,-1.18,0.64,74.90,2.14,0.00,13.84
84314,14.36,0.15,1114,0.00,0.00,16,10.23,8.00,5.51,5.59,-1.18,0.64,74.90,2.15,0.00,13.92
84377,14.36,0.15,1101,0.00,0.00,16,10.23,8.50,5.51,5.59,-1.18,0.64,74.90,2.14,0.00,13.84
84439,14.24,0.15,1097,0.00,0.00,16,10.23,10.50,5.37,5.62,-1.18,0.64,74.90,2.11,0.00,13.92
84517,14.36,0.15,1107,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
84580,14.47,0.15,1119,0.00,0.00,16,10.23,9.50,5.51,5.62,-1.18,0.64,74.90,2.12,0.00,13.92
84642,14.47,0.15,1107,0.00,0.00,16,10.23,8.00,5.51,5.59,-1.18,0.64,74.90,2.15,0.00,13.92
84709,14.70,0.15,1107,0.00,0.00,16,10.23,8.50,5.51,5.55,-1.18,0.64,74.90,2.12,0.00,13.92
84774,14.47,0.15,1100,0.00,0.00,16,10.23,9.50,5.37,5.59,-1.18,0.64,74.90,2.13,0.00,14.00
84841,14.59,0.15,1116,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
84903,14.59,0.15,1112,0.00,0.00,16,10.23,9.00,5.37,5.59,-1.18,0.64,74.90,2.14,0.00,14.00
84966,14.47,0.15,1100,0.00,0.00,16,10.23,9.50,5.37,5.59,-1.18,0.64,74.90,2.14,0.00,13.92
85044,14.59,0.15,1102,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
85107,14.47,0.15,1096,0.00,0.00,16,10.23,10.50,5.37,5.59,-1.18,0.64,74.90,2.12,0.00,13.92
85169,14.47,0.15,1107,0.00,0.00,16,10.23,11.00,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,14.00
85232,14.47,0.15,1114,0.00,0.00,16,10.23,10.00,5.51,5.62,-1.18,0.64,74.90,2.12,0.00,13.92
85310,14.36,0.15,1092,0.00,0.00,16,10.23,9.00,5.37,5.59,-1.18,0.64,74.90,2.14,0.00,14.00
85373,14.59,0.15,1097,0.00,0.00,16,10.23,11.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
85435,14.47,0.15,1084,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.20,0.00,13.92
85497,14.47,0.15,1096,0.00,0.00,16,10.23,12.00,5.51,5.59,-1.18,0.64,74.90,1.98,0.00,13.92
85575,14.59,0.15,1112,0.00,0.00,16,10.23,10.50,5.51,5.65,-1.18,0.64,74.90,2.13,0.00,13.92
85638,14.36,0.15,1092,0.00,0.00,16,10.23,9.00,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,13.92
85701,14.59,0.15,1090,0.00,0.00,16,10.23,11.00,5.51,5.59,-1.18,0.64,74.90,2.09,0.00,13.92
85763,14.36,0.15,1086,0.00,0.00,16,10.23,11.00,5.51,5.59,-1.18,0.64,74.90,2.21,0.00,13.92
85841,14.47,0.15,1109,0.00,0.00,16,10.23,11.50,5.51,5.59,-1.18,0.64,74.90,2.01,0.00,14.00
85908,14.36,0.15,1108,0.00,0.00,16,10.23,9.00,5.51,5.62,-1.18,0.64,74.90,2.13,0.00,13.84
85970,14.36,0.15,1098,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
86033,14.59,0.15,1101,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.84
86095,14.59,0.15,1108,0.00,0.00,16,10.23,10.00,5.51,5.65,-1.18,0.64,74.90,2.13,0.00,13.92
86158,14.47,0.15,1106,0.00,0.00,16,10.23,11.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.84
86225,14.36,0.15,1116,0.00,0.00,16,10.23,9.50,5.51,5.65,-1.18,0.64,74.90,2.14,0.00,13.92
86292,14.24,0.15,1088,0.00,0.00,16,10.23,11.50,5.51,5.59,-1.18,0.64,74.90,2.09,0.00,13.84
86370,14.59,0.15,1098,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
86433,14.36,0.15,1106,0.00,0.00,16,10.23,10.50,5.51,5.65,-1.18,0.64,74.90,2.12,0.00,13.84
86499,14.24,0.15,1094,0.00,0.00,16,10.23,10.50,5.51,5.62,-1.18,0.64,74.90,2.10,0.00,13.92
86561,14.36,0.15,1102,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.84
86624,14.24,0.15,1103,0.00,0.00,16,10.23,9.50,5.51,5.62,-1.18,0.64,74.90,2.12,0.00,13.92
86702,14.47,0.15,1104,0.00,0.00,16,10.23,9.50,5.51,5.55,-1.18,0.64,74.90,2.12,0.00,13.84
86764,14.47,0.15,1110,0.00,0.00,16,10.23,9.00,5.51,5.59,-1.18,0.64,74.90,2.13,0.00,13.92
86827,14.47,0.15,1108,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.13,0.00,13.84
86889,14.59,0.15,1110,0.00,0.00,16,10.23,9.00,5.51,5.59,-1.18,0.64,74.90,2.13,0.00,13.92
86952,14.47,0.15,1094,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,13.92
87019,14.70,0.15,1101,0.00,0.00,16,10.23,10.00,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
87097,14.59,0.15,1107,0.00,0.00,16,10.23,9.50,5.37,5.62,-1.18,0.64,74.90,2.12,0.00,13.84
87160,14.70,0.15,1097,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
87222,14.59,0.15,1104,0.00,0.00,16,10.23,9.50,5.51,5.55,-1.18,0.64,74.90,2.12,0.00,13.92
87285,14.59,0.15,1090,0.00,0.00,16,10.23,11.00,5.51,5.59,-1.18,0.64,74.90,2.09,0.00,13.92
87347,14.70,0.15,1098,0.00,0.00,16,10.23,10.00,5.51,5.55,-1.18,0.64,74.90,2.11,0.00,13.84
87425,14.59,0.15,1109,0.00,0.00,16,10.23,9.00,5.51,5.59,-1.18,0.64,74.90,2.13,0.00,13.92
87488,14.47,0.15,1107,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.84
87550,14.59,0.15,1113,0.00,0.00,16,10.23,8.50,5.51,5.55,-1.18,0.64,74.90,2.14,0.00,13.92
87628,14.36,0.15,1095,0.00,0.00,16,10.23,10.50,5.51,5.55,-1.18,0.64,74.90,2.10,0.00,13.84
87691,14.59,0.15,1100,0.00,0.00,16,10.23,10.00,5.37,5.49,-1.18,0.64,74.90,2.11,0.00,13.92
87753,14.47,0.15,1096,0.00,0.00,16,10.23,10.50,5.51,5.59,-1.18,0.64,74.90,2.10,0.00,13.84
87816,14.47,0.16,1097,0.00,0.00,16,10.23,10.00,5.51,5.59,-1.18,0.64,74.90,2.11,0.00,13.92
87878,14.47,0.15,1106,0.00,0.00,16,10.23,9.00,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.92
87956,14.36,0.15,1106,0.00,0.00,16,10.23,9.50,5.51,5.59,-1.18,0.64,74.90,2.12,0.00,13.92
88019,14.59,0.15,1106,0.00,0.00,16,10.23,9.50,5.37,5.52,-1.18,0.64,74.90,2.12,0.00,13.92
88081,14.59,0.15,1108,0.00,0.00,16,10.23,9.50,5.37,5.52,-1.18,0.64,74.90,2.13,0.00,13.92
88149,14.59,0.15,1102,0.00,0.00,16,10.23,10.00,5.37,5.55,-1.18,0.64,74.90,2.12,0.00,13.92
88211,14.70,0.15,1099,0.00,0.00,16,10.23,9.50,5.37,5.55,-1.18,0.64,74.90,2.11,0.00,13.92
88274,14.47,0.16,1092,0.00,0.00,16,10.23,10.50,5.51,5.62,-1.18,0.64,74.90,2.10,0.00,14.00
88352,14.70,0.17,1096,0.00,0.00,16,10.23,10.50,5.51,5.91,-1.18,0.68,74.90,2.34,0.00,14.00
88414,14.59,0.19,1111,0.00,0.00,16,10.23,8.50,5.66,6.73,-1.18,0.68,74.90,2.84,0.00,13.92
88477,14.59,0.18,1138,0.00,0.00,16,10.59,10.00,5.80,7.06,-1.18,0.68,74.90,2.67,0.00,14.00
88539,14.70,0.17,1186,0.00,0.00,16,11.64,11.50,5.95,6.48,-1.49,0.70,74.90,2.53,0.00,13.92
88617,14.36,0.17,1211,0.00,0.00,16,12.70,12.00,5.80,6.33,-1.49,0.70,74.90,2.58,0.00,14.00
88680,14.13,0.16,1240,0.00,0.00,16,13.75,13.00,5.66,6.40,-1.49,0.70,74.90,2.65,0.00,13.92
88742,14.24,0.16,1254,0.00,0.00,16,14.80,14.50,5.51,6.59,-1.49,0.72,74.90,2.68,0.00,13.92
88805,14.13,0.17,1268,0.00,0.00,16,16.21,16.00,5.66,7.03,-1.49,0.74,74.90,2.70,0.00,13.92
88883,14.01,0.19,1237,0.00,0.00,16,16.91,16.50,5.66,7.41,-1.49,0.74,74.90,3.17,0.00,14.00
88945,14.36,0.20,1201,0.00,0.00,16,19.02,17.50,5.95,8.11,-1.18,0.74,74.90,3.33,0.00,13.92
89008,14.47,0.22,1184,0.00,0.00,16,20.43,19.00,6.24,8.36,-1.18,0.76,74.90,3.03,0.00,14.00
89070,14.59,0.22,1160,0.00,0.00,16,23.95,22.50,6.38,8.47,-1.18,0.76,74.90,3.22,0.00,13.84
89148,14.70,0.25,1127,0.00,0.00,16,26.05,24.50,6.82,9.18,-1.18,0.78,74.90,3.85,0.00,13.92
89211,14.59,0.27,1122,0.00,0.00,16,28.87,28.00,7.25,9.94,-1.18,0.80,74.90,4.07,0.00,13.84
89273,14.13,0.29,1141,0.00,0.00,16,28.16,28.50,7.84,10.94,-1.18,0.82,74.90,4.14,0.00,13.92
89336,14.01,0.31,1168,0.00,0.00,16,27.46,27.50,8.27,11.61,-1.18,0.84,74.90,4.24,0.00,13.84
89398,13.21,0.31,1200,0.00,0.00,16,27.46,27.00,8.71,12.48,-1.18,0.84,74.90,4.10,0.00,13.92
89477,13.09,0.31,1226,0.00,0.00,16,28.16,27.50,8.85,12.90,-1.49,0.84,74.90,4.18,0.00,13.84
89539,12.98,0.31,1274,0.00,0.00,16,28.52,28.50,9.14,13.14,-1.49,0.86,74.90,4.35,0.00,13.92
89602,12.86,0.31,1300,0.00,0.00,16,29.22,28.50,9.29,13.32,-1.49,0.86,74.90,4.16,0.00,13.84
89664,13.67,0.31,1327,0.00,0.00,16,29.22,29.00,9.29,13.58,-1.49,0.86,74.90,4.53,0.00,13.92
89742,14.47,0.33,1326,0.00,0.00,16,29.22,29.00,9.43,14.09,-1.49,0.88,74.90,4.81,0.00,13.84
89805,14.81,0.33,1348,0.00,0.00,16,29.22,29.50,9.58,14.53,-1.49,0.88,74.90,4.89,0.00,13.92
89867,15.39,0.33,1360,0.00,0.00,16,29.92,29.50,9.72,14.79,-1.49,0.88,74.90,5.22,0.00,13.84
89930,15.62,0.32,1389,0.00,0.00,16,30.27,30.00,9.72,15.12,-1.49,0.88,74.90,5.33,0.00,13.92
90008,15.73,0.33,1402,0.00,0.00,16,30.62,30.00,9.87,15.11,-1.49,0.90,74.90,5.38,0.00,13.84
90071,15.73,0.32,1418,0.00,0.00,16,30.62,30.50,9.87,15.41,-1.49,0.90,74.90,5.44,0.00,13.92
90133,15.50,0.33,1419,0.00,0.00,16,30.98,30.50,9.87,15.55,-1.49,0.90,74.90,5.45,0.00,13.84
90195,15.50,0.33,1446,0.00,0.00,16,30.98,30.50,9.87,15.85,-1.49,0.90,74.90,5.53,0.00,13.92
90274,15.39,0.33,1466,0.00,0.00,16,31.33,31.00,10.01,15.85,-1.49,0.90,74.90,5.55,0.00,13.84
90336,15.27,0.33,1466,0.00,0.00,16,31.68,31.50,10.01,16.07,-1.49,0.90,74.90,5.63,0.00,13.92
90399,15.27,0.33,1467,0.00,0.00,16,31.68,31.50,10.01,16.36,-1.49,0.90,74.90,5.98,0.00,13.84
90461,15.04,0.34,1478,0.00,0.00,16,32.03,31.50,10.01,16.36,-1.49,0.90,74.90,5.95,0.00,13.92
90524,15.04,0.34,1463,0.00,0.00,16,32.03,32.00,10.16,16.58,-1.49,0.92,74.90,5.99,0.00,13.84
90602,14.93,0.34,1461,0.00,0.00,16,31.68,32.00,10.16,16.66,-1.49,0.92,74.90,5.93,0.00,13.92
90665,14.93,0.35,1428,0.00,0.00,16,31.68,32.00,10.30,16.74,-1.49,0.92,74.90,5.92,0.00,13.76
90727,14.81,0.36,1382,0.00,0.00,16,30.62,30.50,10.30,16.58,-1.49,0.92,74.90,5.79,0.00,13.92
90789,14.81,0.38,1352,0.00,0.00,16,28.87,30.00,10.45,16.74,-1.49,0.92,74.90,6.19,0.00,13.84
90868,14.70,0.38,1332,0.00,0.00,16,27.11,27.00,10.59,16.82,-1.49,0.92,74.90,6.06,0.00,13.84
90930,14.59,0.37,1332,0.00,0.00,16,26.76,27.00,10.74,16.74,-1.49,0.92,74.90,5.97,0.00,13.76
90993,14.36,0.35,1427,0.00,0.00,16,29.92,27.00,10.88,16.58,-1.49,0.92,74.90,5.68,0.00,13.84
91055,14.13,0.35,1534,0.00,0.00,16,32.73,31.00,10.88,16.66,-1.49,0.94,74.90,5.48,0.00,13.84
91118,14.13,0.33,1553,0.00,0.00,16,33.09,33.00,10.74,17.03,-1.49,0.94,74.90,5.56,0.00,13.92
91196,14.13,0.33,1574,0.00,0.00,16,33.09,33.00,10.59,17.26,-1.49,0.94,74.90,5.96,0.00,13.84
91258,14.93,0.33,1647,0.00,0.00,16,34.84,33.00,10.45,17.79,-1.49,0.94,74.90,6.72,0.00,13.92
91321,15.27,0.33,1746,0.00,0.00,16,35.55,34.50,10.30,18.33,-1.49,0.94,74.90,6.67,0.00,13.92
91388,15.27,0.33,1766,0.00,0.00,16,36.25,36.00,10.16,18.41,-1.49,0.94,74.90,7.08,0.00,13.92
91466,15.04,0.33,1778,0.00,0.00,16,36.25,36.00,9.87,19.04,-1.49,0.94,74.90,6.78,0.00,13.92
91528,14.81,0.32,1836,0.00,0.00,16,36.60,36.00,9.72,19.35,-1.49,0.94,74.90,6.83,0.00,13.92
91591,14.81,0.32,1912,0.00,0.00,16,37.66,36.50,9.72,19.35,-1.49,0.96,74.90,7.05,0.00,14.00
91653,14.70,0.30,1957,0.00,0.00,16,38.71,38.00,9.58,19.66,-1.49,0.96,74.90,6.93,0.00,13.92
91716,14.47,0.31,1979,0.00,0.00,16,39.06,39.00,9.58,19.89,-1.18,0.96,74.90,7.10,0.00,13.92
91794,14.59,0.31,2020,0.00,0.00,16,39.77,39.00,9.58,20.40,-1.18,0.98,74.90,7.18,0.00,13.92
91857,14.70,0.31,2079,0.00,0.00,16,40.82,40.00,9.58,21.10,-0.89,1.00,74.90,7.76,0.00,14.00
91919,14.70,0.32,2134,0.00,0.00,16,41.17,40.50,9.58,21.27,-0.89,1.00,74.90,7.54,0.00,13.92
91982,14.70,0.32,2159,0.00,0.00,16,41.52,41.00,9.58,22.76,-0.89,1.00,74.90,8.29,0.00,14.00
92060,14.81,0.32,2181,0.00,0.00,16,41.88,41.50,9.72,23.14,-0.89,1.02,74.90,8.13,0.00,13.92
92123,14.59,0.32,2254,0.00,0.00,16,42.58,41.50,9.58,23.44,-0.89,1.02,74.90,8.41,0.00,13.92
92186,14.24,0.32,2301,0.00,0.00,16,43.28,42.50,9.58,23.63,-0.89,1.02,74.90,8.84,0.00,13.92
92253,14.13,0.32,2354,0.00,0.00,16,43.63,43.00,9.58,24.70,-1.18,1.02,74.90,8.79,0.00,13.92
92315,14.36,0.33,2372,0.00,0.00,16,43.98,43.50,9.58,25.49,-1.18,1.02,74.90,8.86,0.00,13.84
92378,14.59,0.33,2426,0.00,0.00,16,44.34,43.50,9.58,25.99,-1.49,1.02,74.90,9.32,0.00,13.92
92456,14.70,0.32,2493,0.00,0.00,16,43.98,43.50,9.58,26.94,-1.49,1.02,74.90,9.85,0.00,13.84
92518,14.59,0.33,2560,0.00,0.00,16,43.63,43.50,9.43,26.93,-1.80,1.02,74.90,9.58,0.00,13.92
92581,14.47,0.33,2584,0.00,0.00,16,43.63,43.50,9.43,27.47,-1.80,1.02,74.90,9.68,0.00,13.84
92643,14.47,0.32,2618,0.00,0.00,16,43.63,43.50,9.43,27.79,-2.11,1.02,74.90,10.05,0.00,13.92
92721,14.47,0.32,2667,0.00,0.00,16,43.28,43.50,9.29,28.41,-2.11,1.02,74.90,9.99,0.00,13.84
92784,14.36,0.32,2712,0.00,0.00,16,43.28,43.00,9.29,28.84,-2.42,1.02,74.90,10.17,0.00,13.92
92846,14.24,0.32,2743,0.00,0.00,16,43.28,43.00,9.14,28.94,-2.42,1.02,74.90,10.53,0.00,13.84
92909,14.13,0.32,2758,0.00,0.00,16,43.28,43.00,9.14,29.38,-2.42,1.02,74.90,10.34,0.00,13.92
92987,14.24,0.31,2796,0.00,0.00,16,43.28,43.00,9.14,29.71,-2.42,1.02,74.90,10.74,0.00,13.84
93050,14.13,0.31,2854,0.00,0.00,16,43.28,43.00,9.14,29.26,-2.73,1.02,74.90,10.35,0.00,13.92
93112,14.13,0.31,2907,0.00,0.00,16,43.28,43.00,9.00,29.60,-2.73,1.02,74.90,10.54,0.00,13.84
93175,14.36,0.30,2963,0.00,0.00,16,43.63,43.50,9.00,29.82,-2.73,1.02,74.90,10.75,0.00,13.92
93253,14.36,0.30,2986,0.00,0.00,16,43.28,43.50,8.85,29.71,-2.73,1.02,74.90,10.83,0.00,13.84
93315,14.24,0.29,3013,0.00,0.00,16,43.63,43.50,8.85,29.71,-2.73,1.02,74.90,10.28,0.00,13.92
93378,14.13,0.28,3056,0.00,0.00,16,43.98,43.50,8.71,29.82,-2.73,1.00,74.90,10.43,0.00,13.84
93440,14.24,0.28,3108,0.00,0.00,16,43.98,43.50,8.71,29.26,-2.73,1.00,74.90,9.95,0.00,13.92
93518,14.24,0.28,3098,0.00,0.00,16,43.98,43.50,8.56,28.73,-2.73,1.00,74.90,9.91,0.00,13.84
93581,14.47,0.27,3128,0.00,0.00,16,44.34,44.00,8.56,29.15,-3.35,1.00,74.90,10.01,0.00,13.92
93644,14.59,0.27,3139,0.00,0.00,16,44.34,44.00,8.42,28.31,-3.35,1.00,74.90,10.05,0.00,13.84
93706,14.47,0.26,3183,0.00,0.00,16,44.34,44.00,8.27,28.09,-3.35,0.98,74.90,9.51,0.00,13.92
93769,14.47,0.23,3223,0.00,0.00,16,44.34,44.00,7.55,27.68,-3.35,0.84,74.90,8.94,0.00,13.84
93847,14.13,0.16,3172,0.00,0.00,16,43.63,43.50,5.95,22.69,-4.25,0.64,74.90,6.77,0.00,13.92
93909,13.09,0.11,3131,0.00,0.00,16,32.73,32.50,4.64,12.43,-4.25,0.64,74.90,0.00,0.00,13.84
93972,11.94,0.10,3036,0.00,0.00,16,26.41,26.00,4.06,7.82,-4.25,0.64,74.90,0.00,0.00,13.92
94034,11.60,0.12,2939,0.00,0.00,16,20.43,21.50,3.92,10.07,-4.25,0.64,74.90,0.00,0.00,13.84
94112,11.37,0.12,2843,0.00,0.00,16,14.80,14.50,3.77,11.09,-4.25,0.64,74.90,0.00,0.00,13.92
94179,11.71,0.13,2726,0.00,0.00,16,11.99,11.50,3.77,11.56,-4.25,0.64,74.90,0.00,0.00,13.84
94242,12.63,0.13,2590,0.00,0.00,16,11.99,11.50,3.77,11.66,-3.94,0.64,74.90,0.00,0.00,13.92
94304,13.32,0.13,2461,0.00,0.00,16,11.99,11.50,3.77,11.44,-3.04,0.64,74.90,0.00,0.00,13.84
94367,14.36,0.13,2355,0.00,0.00,16,11.99,11.50,3.77,10.85,-3.04,0.64,74.90,0.00,0.00,13.92
94445,14.93,0.13,2221,0.00,0.00,16,11.99,11.50,3.77,9.92,-2.11,0.64,74.90,0.00,0.00,13.84
94508,17.00,0.13,2104,0.00,0.00,16,11.99,11.50,3.77,9.44,-2.11,0.64,74.90,0.00,0.00,13.92
94570,20.21,0.14,1997,0.00,0.00,16,11.99,11.50,3.92,8.65,-1.49,0.64,74.90,0.00,0.00,13.92
94633,22.74,0.14,1894,0.00,0.00,16,11.99,11.50,4.06,8.91,-1.49,0.64,74.90,0.00,0.00,13.92
94695,24.12,0.14,1822,0.00,0.00,16,11.99,11.50,4.06,8.36,-1.49,0.64,74.90,0.00,0.00,13.92
94773,23.43,0.15,1711,0.00,0.00,16,11.99,11.50,4.06,8.19,-1.49,0.64,74.90,0.00,0.00,14.00
94836,23.66,0.15,1596,0.00,0.00,16,11.99,20.00,4.21,7.94,-1.49,0.64,74.90,0.00,0.00,13.92
94898,23.54,0.16,1497,0.00,0.00,16,11.64,19.50,4.35,7.98,-1.49,0.64,74.90,0.00,0.00,14.00
94961,23.66,0.15,1408,0.00,0.00,16,11.29,19.00,4.50,7.22,-1.49,0.64,74.90,0.00,0.00,13.92
