Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Fuel Pump Duty (%),Injector Duty Cycle (%),Alternator Duty (%),Battery Voltage (V),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
54487,14.59,0.12,814,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
54549,14.59,0.12,821,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
54628,14.59,0.12,822,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.82
54690,14.59,0.12,811,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
54768,14.70,0.12,816,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
54831,14.70,0.12,813,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.78
54909,14.70,0.12,812,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
54972,14.81,0.12,810,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
55050,14.81,0.12,808,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
55112,14.81,0.12,815,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
55190,14.81,0.12,819,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.77
55253,14.81,0.12,811,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
55331,14.70,0.12,816,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
55394,14.70,0.12,806,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
55476,14.70,0.12,804,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.75
55539,14.70,0.12,812,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
55617,14.70,0.12,818,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.75
55679,14.70,0.12,814,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.78
55757,14.70,0.12,815,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
55820,14.70,0.12,813,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.78
55898,14.70,0.12,820,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
55961,14.81,0.12,811,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.52,4.93,-9.78
56054,14.81,0.12,817,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
56101,14.81,0.12,820,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.52,4.93,-9.82
56179,14.81,0.12,819,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.78
56257,14.81,0.12,805,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.44,4.93,-9.82
56320,14.70,0.13,804,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.77
56398,14.81,0.13,810,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
56461,14.70,0.12,812,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
56538,14.70,0.12,822,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
56601,14.70,0.12,812,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
56679,14.70,0.12,807,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.78
56742,14.70,0.12,805,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.38,0.00,13.44,4.93,-9.77
56820,14.81,0.12,806,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.77
56883,14.81,0.12,808,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.44,4.93,-9.77
56965,14.81,0.12,818,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.77
57028,14.70,0.12,816,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.44,4.93,-9.77
57106,14.70,0.12,820,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
57168,14.70,0.12,808,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
57248,14.59,0.12,814,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
57310,14.59,0.12,813,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.44,4.93,-9.77
57388,14.59,0.12,812,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
57451,14.59,0.12,812,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
57531,14.59,0.12,819,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.44,4.93,-9.77
57596,14.59,0.12,812,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.82
57658,14.70,0.14,813,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
57736,14.70,0.12,802,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
57799,14.70,0.13,801,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.75
57877,14.81,0.12,806,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
57940,14.70,0.12,812,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.75
58018,14.81,0.12,812,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
58096,14.70,0.12,820,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
58158,14.70,0.12,829,0.00,0.00,16,9.88,7.50,3.33,-1.18,0.64,74.90,1.42,0.00,13.68,4.93,-9.77
58236,14.59,0.12,822,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
58300,14.59,0.12,824,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.41,0.00,13.60,4.93,-9.78
58365,14.70,0.13,808,0.00,0.00,16,9.88,10.50,3.38,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.80
58443,14.47,0.11,802,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
58506,14.59,0.12,807,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.77
58584,14.59,0.12,806,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
58662,14.47,0.12,810,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.75
58725,14.59,0.13,813,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
58803,14.70,0.12,810,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-14.70
58872,14.70,0.13,818,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.75
58934,14.70,0.12,808,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-14.70
59014,14.70,0.12,807,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.75
59080,14.81,0.12,810,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
59143,14.70,0.12,818,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.75
59221,14.70,0.12,818,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.77
59299,14.70,0.12,810,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
59362,14.70,0.12,816,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
59440,14.59,0.12,810,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
59502,14.70,0.12,807,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
59580,14.59,0.12,814,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.75
59643,14.59,0.12,811,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
59721,14.59,0.12,809,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.44,4.93,-9.77
59783,14.59,0.13,808,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
59862,14.59,0.13,796,0.00,0.00,16,9.88,11.00,3.36,-1.18,0.64,74.90,1.36,0.00,13.52,4.93,-9.75
59924,14.70,0.12,818,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.75
60002,14.70,0.12,820,0.00,0.00,16,9.88,8.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
60065,14.70,0.12,825,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.41,0.00,13.52,4.93,-9.77
60143,14.70,0.12,809,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
60205,14.70,0.12,809,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.44,4.93,-9.78
60283,14.59,0.13,800,0.00,0.00,16,9.88,11.00,3.36,-1.18,0.64,74.90,1.36,0.00,13.60,4.93,-9.77
60346,14.59,0.13,805,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.36,0.00,13.52,4.93,-9.77
60424,14.47,0.12,805,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.75
60502,14.59,0.12,817,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.37,0.00,13.44,4.93,-9.75
60565,14.47,0.12,810,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-14.70
60629,14.47,0.12,807,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.73
60707,14.59,0.12,810,0.00,0.00,16,9.88,9.50,3.31,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
60769,14.59,0.12,814,0.00,0.00,16,9.88,9.00,3.31,-1.18,0.64,74.90,1.39,0.00,13.44,4.93,-9.75
60847,14.70,0.12,805,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
60925,14.70,0.12,808,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
60993,14.70,0.12,816,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
61055,14.59,0.12,815,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
61133,14.59,0.12,821,0.00,0.00,16,9.88,8.50,3.31,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.77
61196,14.47,0.12,811,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
61274,14.59,0.13,796,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
61336,14.47,0.13,798,0.00,0.00,16,9.88,11.00,3.36,-1.18,0.64,74.90,1.36,0.00,13.68,4.93,-14.70
61414,14.59,0.12,806,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.75
61480,14.47,0.12,819,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.75
61561,14.59,0.12,822,0.00,0.00,16,9.88,8.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.77
61624,14.59,0.11,810,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
61702,14.70,0.14,812,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
61765,14.81,0.11,807,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.75
61830,14.81,0.12,804,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
61912,14.81,0.12,810,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
61975,14.81,0.12,806,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
62053,14.81,0.12,814,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
62120,14.81,0.12,822,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
62198,14.81,0.12,812,0.00,0.00,16,9.88,8.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
62263,14.81,0.12,814,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
62329,14.70,0.12,806,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
62407,14.70,0.12,804,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.77
62469,14.81,0.13,798,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.36,0.00,13.68,4.93,-9.77
62548,14.70,0.13,801,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.75
62610,14.81,0.13,808,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
62688,14.70,0.12,813,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.75
62751,14.70,0.12,826,0.00,0.00,16,9.88,7.50,3.33,-1.18,0.64,74.90,1.41,0.00,13.52,4.93,-9.77
62829,14.70,0.12,810,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
62907,14.81,0.12,818,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.52,4.93,-9.77
62969,14.70,0.12,815,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
63032,14.70,0.12,808,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
63112,14.70,0.13,802,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.80
63175,14.70,0.13,811,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.44,4.93,-9.77
63254,14.59,0.12,812,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
63316,14.59,0.12,817,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
63394,14.59,0.12,822,0.00,0.00,16,9.88,8.00,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
63472,14.59,0.12,825,0.00,0.00,16,9.88,8.00,3.31,-1.18,0.64,74.90,1.41,0.00,13.52,4.93,-9.78
63535,14.59,0.12,811,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.80
63598,14.47,0.12,804,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.78
63676,14.70,0.12,806,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.37,0.00,13.44,4.93,-9.77
63754,14.59,0.12,806,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
63816,14.70,0.13,805,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
63894,14.70,0.12,816,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.75
63957,14.70,0.12,813,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
64035,14.70,0.14,818,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
64098,14.70,0.14,803,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.52,4.93,-9.77
64176,14.59,0.12,807,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.75
64238,14.59,0.12,812,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
64316,14.59,0.12,810,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
64379,14.59,0.12,815,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
64457,14.59,0.13,810,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
64519,14.59,0.12,814,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
64598,14.59,0.12,814,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
64660,14.59,0.12,809,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
64738,14.59,0.12,806,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
64801,14.70,0.12,811,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
64879,14.70,0.12,813,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
64942,14.70,0.12,820,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
65020,14.59,0.12,816,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
65098,14.59,0.12,824,0.00,0.00,16,9.88,8.00,3.36,-1.18,0.64,74.90,1.41,0.00,13.60,4.93,-9.78
65160,14.59,0.12,804,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.80
65238,14.47,0.13,798,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.36,0.00,13.60,4.93,-9.77
65301,14.59,0.12,798,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.36,0.00,13.68,4.93,-9.77
65379,14.59,0.12,806,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.68,4.93,-9.77
65442,14.70,0.12,814,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
65520,14.59,0.12,814,0.00,0.00,16,9.88,8.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
65582,14.70,0.12,812,0.00,0.00,16,9.88,8.00,3.33,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.82
65660,14.70,0.12,817,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
65723,14.70,0.12,811,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.78
65801,14.70,0.12,807,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
65868,14.81,0.12,799,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.36,0.00,13.60,4.93,-9.78
65946,14.70,0.12,804,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
66009,14.81,0.12,810,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
66087,14.81,0.12,818,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
66149,14.81,0.12,815,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
66227,14.81,0.12,806,0.00,0.00,16,9.88,10.00,3.31,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-14.70
66294,14.70,0.12,813,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
66357,14.81,0.13,807,0.00,0.00,16,9.88,10.50,3.31,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
66435,14.81,0.12,805,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.77
66513,14.81,0.12,812,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.37,0.00,13.44,4.93,-9.77
66576,14.81,0.12,812,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
66654,14.81,0.12,814,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.39,0.00,13.52,4.93,-9.77
66716,14.81,0.12,818,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.78
66783,14.81,0.12,810,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.44,4.93,-9.77
66877,14.81,0.12,817,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.77
66924,14.81,0.12,807,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-9.77
67002,14.70,0.12,814,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.78
67065,14.81,0.12,817,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.44,4.93,-9.78
67143,14.59,0.12,820,0.00,0.00,16,9.88,8.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.44,4.93,-9.78
67205,14.59,0.12,816,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.82
67285,14.47,0.12,818,0.00,0.00,16,9.88,9.00,3.36,-1.18,0.64,74.90,1.40,0.00,13.44,4.93,-9.82
67347,14.59,0.12,814,0.00,0.00,16,9.88,9.50,3.36,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.82
67426,14.59,0.14,817,0.00,0.00,16,9.88,10.00,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
67504,14.70,0.12,820,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.39,0.00,13.60,4.93,-9.82
67566,14.70,0.12,817,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.40,0.00,13.52,4.93,-9.77
67644,14.70,0.12,802,0.00,0.00,16,9.88,9.00,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.82
67707,14.70,0.13,798,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.36,0.00,13.44,4.93,-9.77
67774,14.70,0.13,804,0.00,0.00,16,9.88,10.50,3.36,-1.18,0.64,74.90,1.37,0.00,13.60,4.93,-9.77
67852,14.81,0.12,808,0.00,0.00,16,9.88,10.00,3.36,-1.18,0.64,74.90,1.38,0.00,13.52,4.93,-14.70
67915,14.81,0.12,819,0.00,0.00,16,9.88,8.50,3.36,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.78
67993,14.70,0.12,820,0.00,0.00,16,9.88,8.50,3.31,-1.18,0.64,74.90,1.40,0.00,13.60,4.93,-9.77
68055,14.70,0.12,816,0.00,0.00,16,9.88,9.00,3.31,-1.18,0.64,74.90,1.39,0.00,13.68,4.93,-9.77
68138,14.70,0.12,801,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
68201,14.47,0.12,803,0.00,0.00,16,9.88,10.50,3.33,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
68279,14.47,0.12,804,0.00,0.00,16,9.88,10.50,3.31,-1.18,0.64,74.90,1.36,0.00,13.60,4.93,-9.77
68341,14.47,0.12,812,0.00,0.00,16,9.88,10.50,3.31,-1.18,0.64,74.90,1.37,0.00,13.68,4.93,-9.77
68419,14.36,0.12,810,0.00,0.00,16,9.88,9.50,3.33,-1.18,0.64,74.90,1.38,0.00,13.60,4.93,-9.77
68482,14.47,0.12,819,0.00,0.00,16,9.88,9.50,3.31,-1.18,0.64,74.90,1.40,0.00,13.68,4.93,-9.77
