Time (msec),A/F Sensor #1 (Direct)* (AFR),Atmospheric Pressure (psi),CL/OL Fueling* (status),Coolant Temperature (F),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%)
373269,14.56,14.36,8,194,1029,0.00,0.00,74.90,1.76,0.00,4.50,0.00
373445,14.25,14.36,8,194,1007,0.00,0.00,74.90,1.72,0.00,4.50,0.00
373617,14.74,14.36,8,194,993,0.00,0.00,74.90,1.66,0.00,4.64,0.00
373789,15.63,14.36,8,194,1000,0.00,0.00,74.90,1.71,0.00,4.64,0.00
373965,15.42,14.36,8,194,1022,0.00,0.00,74.90,1.74,0.00,4.50,0.00
374137,14.87,14.36,8,194,1035,0.00,0.00,74.90,1.77,0.00,4.50,0.00
374309,14.63,14.36,8,194,1020,0.00,0.00,74.90,1.74,0.00,4.50,0.00
374486,14.79,14.36,8,194,1029,0.00,0.00,74.90,1.98,0.00,4.50,0.00
374658,14.81,14.36,8,194,1035,0.00,0.00,74.90,1.76,0.00,4.50,0.00
374846,14.70,14.36,8,194,1025,0.00,0.00,74.90,1.75,0.00,4.50,0.00
375007,14.37,14.36,8,194,1010,0.00,0.00,74.90,1.72,0.00,4.35,0.00
375194,14.53,14.36,8,194,1023,0.00,0.00,74.90,1.72,0.00,4.50,0.00
375366,14.79,14.36,8,194,1038,0.00,0.00,74.90,1.77,0.00,4.50,0.00
375538,14.74,14.36,8,194,1035,0.00,0.00,74.90,1.77,0.00,4.35,0.00
375713,14.42,14.36,8,194,1034,0.00,0.00,74.90,1.77,0.00,4.35,0.00
375890,14.49,14.36,8,196,1037,0.00,0.00,74.90,1.77,0.00,4.35,0.00
376061,14.35,14.36,8,194,1019,0.00,0.00,74.90,1.74,0.00,4.35,0.00
376233,14.37,14.36,8,196,1014,0.00,0.00,74.90,1.73,0.00,4.35,0.00
376405,14.58,14.36,8,196,1027,0.00,0.00,74.90,1.75,0.00,4.35,0.00
376582,14.28,14.36,8,196,1024,0.00,0.00,74.90,1.75,0.00,4.35,0.00
376754,13.97,14.36,8,196,1047,0.00,0.00,74.90,1.79,0.00,4.35,0.00
376926,13.99,14.36,8,196,1016,0.00,0.00,74.90,1.52,0.00,4.21,0.00
377097,14.41,14.36,8,196,988,0.00,0.00,74.90,1.69,0.00,4.35,0.00
377274,14.76,14.36,8,196,1001,0.00,0.00,74.90,1.71,0.00,4.35,0.00
377448,14.90,14.36,8,196,1022,0.00,0.00,74.90,1.75,0.00,4.35,0.00
377624,14.62,14.36,8,196,1011,0.00,0.00,74.90,1.73,0.00,4.35,0.00
377796,14.63,14.36,8,196,1002,0.00,0.00,74.90,1.71,0.00,4.35,0.00
377968,14.63,14.36,8,196,1001,0.00,0.00,74.90,1.71,0.00,4.35,0.00
378140,14.70,14.36,8,196,1006,0.00,0.00,74.90,1.70,0.00,4.50,0.00
378311,14.76,14.36,8,196,1012,0.00,0.00,74.90,1.73,0.00,4.35,0.00
378483,14.77,14.36,8,196,992,0.00,0.00,74.90,1.69,0.00,4.50,0.00
378655,14.72,14.36,8,196,1005,0.00,0.00,74.90,1.71,0.00,4.35,0.00
378827,14.70,14.36,8,196,998,0.00,0.00,74.90,1.70,0.00,4.35,0.00
379014,14.69,14.36,8,196,1007,0.00,0.00,74.90,1.72,0.00,4.50,0.00
379175,14.70,14.36,8,196,1010,0.00,0.00,74.90,1.72,0.00,4.35,0.00
379363,14.72,14.36,8,196,994,0.00,0.00,74.90,1.70,0.00,4.35,0.00
379535,14.65,14.36,8,196,1020,0.00,0.00,74.90,1.74,0.00,4.35,0.00
379707,14.51,14.36,8,196,1000,0.00,0.00,74.90,1.71,0.00,4.35,0.00
379879,14.53,14.36,8,196,1000,0.00,0.00,74.90,1.71,0.00,4.35,0.00
380055,14.63,14.36,8,196,991,0.00,0.00,74.90,1.69,0.00,4.35,0.00
380227,14.60,14.36,8,196,1002,0.00,0.00,74.90,1.71,0.00,4.50,0.00
380399,14.59,14.36,8,196,1006,0.00,0.00,74.90,1.50,0.00,4.50,0.00
380571,14.72,14.36,8,196,944,0.00,0.00,74.90,1.61,0.00,4.50,0.00
380743,14.90,14.36,8,196,977,0.00,0.00,74.90,1.67,0.00,4.64,0.00
380914,15.27,14.36,8,196,987,0.00,0.00,74.90,1.68,0.00,4.64,1.57
381086,15.36,14.36,8,196,1049,0.00,0.00,74.90,3.13,0.00,6.09,6.67
381258,13.18,14.36,8,196,1240,0.00,0.00,74.90,5.56,0.00,8.42,8.63
381445,12.49,14.36,8,196,1866,0.00,0.00,74.90,5.18,0.00,8.85,8.63
381617,16.59,14.36,8,196,2138,0.00,0.00,74.90,6.20,0.00,8.13,8.63
381789,14.89,14.36,8,196,2139,0.00,0.00,74.90,5.93,0.00,7.84,8.63
381961,14.90,14.36,8,196,1957,0.00,0.00,74.90,5.84,0.00,7.98,9.02
382133,14.87,14.36,8,196,1766,0.00,0.00,74.90,6.25,0.00,8.56,9.41
382305,14.77,14.36,8,196,1674,0.00,0.00,74.90,5.71,0.00,9.14,9.41
382477,14.77,14.36,8,196,1545,0.00,0.00,74.90,5.93,0.00,9.87,9.41
382649,14.60,14.36,8,196,1464,0.00,0.00,74.90,5.62,0.00,10.30,9.41
382821,14.69,14.36,8,196,1336,0.00,0.00,74.90,5.42,0.00,11.03,9.80
382992,14.95,14.36,8,196,1249,0.00,0.00,74.90,5.06,0.00,11.61,9.80
383180,15.16,14.36,8,196,1236,0.00,0.00,74.90,5.01,0.00,12.04,9.80
383352,15.72,14.36,8,196,1424,0.00,0.00,74.90,5.47,0.00,11.61,10.20
383513,16.09,14.36,8,196,1609,0.00,0.00,74.90,6.52,0.00,11.32,10.59
383700,15.63,14.36,8,198,1662,0.00,0.00,74.90,6.38,0.00,11.03,10.59
383872,15.66,14.36,8,198,1848,0.00,0.00,74.90,7.09,0.00,10.59,11.76
384044,15.03,14.36,8,198,1994,0.00,0.00,74.90,8.08,0.00,10.74,13.33
384216,14.85,14.36,8,198,2117,0.00,0.00,74.90,9.93,0.00,11.75,16.08
384392,14.95,14.36,8,198,2243,0.00,0.00,74.90,10.05,0.00,12.33,16.08
384564,15.03,14.36,8,198,2465,0.00,0.00,74.90,11.34,0.00,12.19,16.08
384736,14.52,14.36,8,198,2557,0.00,0.00,74.90,12.00,0.00,12.04,14.90
384908,14.81,14.36,8,198,2751,0.00,0.00,74.90,12.32,0.00,11.32,14.12
385080,14.14,14.36,8,198,2888,0.00,0.00,74.90,10.38,0.00,10.16,12.55
385252,14.79,14.36,8,198,3002,0.00,0.00,74.90,10.89,0.00,9.87,12.55
385423,12.94,14.36,10,198,3031,0.00,0.00,74.90,0.00,0.00,6.24,0.00
385595,11.97,14.36,10,198,2933,0.00,0.00,74.90,0.00,0.00,3.92,0.00
385783,14.17,14.36,10,198,2732,0.00,0.00,74.90,0.00,0.00,3.77,0.00
385954,21.04,14.36,10,198,2391,0.00,0.00,74.90,0.00,0.00,3.77,0.00
386126,23.69,14.36,10,198,2181,0.00,0.00,74.90,0.00,0.00,3.92,1.18
386298,23.97,14.36,10,198,2019,0.00,0.00,74.90,4.31,0.00,4.21,1.96
386470,14.36,14.36,10,198,1907,0.00,0.00,74.90,4.07,0.00,3.92,1.96
386642,11.17,14.36,8,198,1808,0.00,0.00,74.90,3.86,0.00,4.06,2.35
386814,11.17,14.36,8,198,1598,0.00,0.00,74.90,3.41,0.00,4.35,4.71
386986,11.25,14.36,8,198,1749,0.00,0.00,74.90,5.22,0.00,6.67,8.63
387158,12.74,14.36,8,198,1608,0.00,0.00,74.90,5.15,0.00,8.13,12.55
387330,15.18,14.36,8,198,1706,0.00,0.00,74.90,7.64,0.00,11.46,14.51
387517,15.62,14.36,8,198,1758,0.00,0.00,74.90,7.88,0.00,12.33,15.29
387689,17.10,14.36,8,198,1782,0.00,0.00,74.90,8.74,0.00,12.33,15.69
387861,15.56,14.36,8,198,1877,0.00,0.00,74.90,8.41,0.00,12.62,15.69
388033,15.88,14.36,8,198,1958,0.00,0.00,74.90,8.80,0.00,12.62,14.90
388204,15.63,14.36,8,198,2002,0.00,0.00,74.90,8.54,0.00,12.19,11.37
388381,15.21,14.36,8,198,2057,0.00,0.00,74.90,7.46,0.00,10.59,11.37
388557,15.66,14.36,8,198,2126,0.00,0.00,74.90,7.73,0.00,10.16,10.98
388729,15.36,14.36,8,198,2183,0.00,0.00,74.90,7.45,0.00,9.87,10.20
388901,15.21,14.36,8,198,2220,0.00,0.00,74.90,7.10,0.00,9.29,9.41
389073,15.16,14.36,8,198,2238,0.00,0.00,74.90,7.16,0.00,8.85,8.24
389245,14.68,14.36,8,198,2252,0.00,0.00,74.90,5.77,0.00,6.96,2.75
389422,12.81,14.36,8,198,2277,0.00,0.00,74.90,4.37,0.00,4.79,2.35
389593,13.25,14.36,8,198,2255,0.00,0.00,74.90,3.85,0.00,4.35,1.96
389765,13.01,14.36,8,198,2258,0.00,0.00,74.90,3.85,0.00,3.92,1.96
389940,12.00,14.36,8,198,2239,0.00,0.00,74.90,3.82,0.00,3.77,1.96
390116,11.97,14.36,8,198,2232,0.00,0.00,74.90,3.33,0.00,3.77,1.96
390288,12.87,14.36,8,199,2238,0.00,0.00,74.90,3.34,0.00,3.77,1.96
390460,13.97,14.36,8,199,2225,0.00,0.00,74.90,3.32,0.00,3.77,1.96
390634,14.74,14.36,8,199,2208,0.00,0.00,74.90,3.30,0.00,3.77,3.14
390806,15.32,14.36,8,199,2206,0.00,0.00,74.90,3.29,0.00,4.21,3.92
390978,15.99,14.36,8,199,2196,0.00,0.00,74.90,3.30,0.00,4.64,4.31
391150,16.78,14.36,8,199,2194,0.00,0.00,74.90,3.74,0.00,4.79,4.31
391324,16.60,14.36,8,199,2154,0.00,0.00,74.90,3.68,0.00,4.93,4.31
391495,15.82,14.36,8,199,2194,0.00,0.00,74.90,3.74,0.00,4.93,1.18
391667,15.45,14.36,8,199,2149,0.00,0.00,74.90,2.75,0.00,3.92,0.00
391839,15.82,14.36,10,199,2145,0.00,0.00,74.90,0.00,0.00,3.34,0.00
392011,18.74,14.36,10,199,2138,0.00,0.00,74.90,0.00,0.00,3.34,0.00
392198,24.39,14.36,10,199,2096,0.00,0.00,74.90,0.00,0.00,3.48,0.00
392370,25.65,14.36,10,199,2068,0.00,0.00,74.90,0.00,0.00,3.63,0.00
392547,23.70,14.36,10,199,2055,0.00,0.00,74.90,0.00,0.00,3.63,0.00
392719,23.77,14.36,10,199,2017,0.00,0.00,74.90,0.00,0.00,3.63,0.00
392891,23.95,14.36,10,199,1991,0.00,0.00,74.90,0.00,0.00,3.63,0.00
393063,23.77,14.36,10,199,1939,0.00,0.00,74.90,0.00,0.00,3.63,0.00
393234,23.93,14.36,10,199,1874,0.00,0.00,74.90,0.00,0.00,3.63,0.00
393411,23.88,14.36,10,199,1800,0.00,0.00,74.90,0.00,0.00,3.48,0.00
393587,23.69,14.36,10,199,1766,0.00,0.00,74.90,0.00,0.00,3.48,0.00
393759,23.73,14.36,10,199,1702,0.00,0.00,74.90,0.00,0.00,3.63,0.00
393936,23.95,14.36,10,199,1648,0.00,0.00,74.90,0.00,0.00,3.63,0.00
394107,23.71,14.36,10,199,1608,0.00,0.00,74.90,0.00,0.00,3.77,0.00
394279,23.64,14.36,10,199,1563,0.00,0.00,74.90,0.00,0.00,3.92,0.00
394456,24.01,14.36,10,199,1524,0.00,0.00,74.90,0.00,0.00,3.92,0.00
394628,23.72,14.36,10,199,1509,0.00,0.00,74.90,0.00,0.00,4.06,0.00
394800,24.02,14.36,10,199,1447,0.00,0.00,74.90,0.00,0.00,3.92,0.00
394972,23.95,14.36,10,199,1389,0.00,0.00,74.90,0.00,0.00,3.92,0.00
395159,24.00,14.36,10,199,1355,0.00,0.00,74.90,2.02,0.00,3.92,0.00
395331,23.88,14.36,10,199,1360,0.00,0.00,74.90,2.32,0.00,3.77,0.00
395503,23.07,14.36,10,199,1307,0.00,0.00,74.90,2.19,0.00,3.77,0.00
395675,17.05,14.36,10,199,1310,0.00,0.00,74.90,2.23,0.00,3.77,0.00
395846,14.13,14.36,8,199,1241,0.00,0.00,74.90,2.12,0.00,3.77,0.00
396018,12.65,14.36,8,199,1226,0.00,0.00,74.90,2.09,0.00,3.92,0.00
396198,12.00,14.36,8,199,1209,0.00,0.00,74.90,1.81,0.00,3.92,0.00
396367,12.35,14.36,8,199,1136,0.00,0.00,74.90,1.94,0.00,4.06,0.00
396538,13.16,14.36,8,199,1143,0.00,0.00,74.90,1.95,0.00,4.21,0.00
396710,13.46,14.36,8,199,1124,0.00,0.00,74.90,1.68,0.00,4.21,0.00
396887,13.91,14.36,8,199,1120,0.00,0.00,74.90,1.67,0.00,4.21,0.00
397059,14.28,14.36,8,199,1083,0.00,0.00,74.90,1.85,0.00,4.21,0.00
397231,14.79,14.36,8,199,1114,0.00,0.00,74.90,1.90,0.00,4.35,0.00
397402,15.33,14.36,8,199,1078,0.00,0.00,74.90,1.84,0.00,4.35,0.00
397590,15.01,14.36,8,199,1080,0.00,0.00,74.90,1.84,0.00,4.35,0.00
397762,14.87,14.36,8,199,1056,0.00,0.00,74.90,1.80,0.00,4.50,0.00
397927,14.77,14.36,8,199,1022,0.00,0.00,74.90,1.74,0.00,4.50,0.00
398099,14.79,14.36,8,199,1008,0.00,0.00,74.90,1.72,0.00,4.64,0.00
398287,14.70,14.36,8,199,978,0.00,0.00,74.90,1.88,0.00,4.64,0.00
398458,14.37,14.36,8,199,992,0.00,0.00,74.90,1.69,0.00,4.79,0.00
398631,14.03,14.36,8,199,986,0.00,0.00,74.90,1.68,0.00,4.79,0.00
398802,14.12,14.36,8,199,967,0.00,0.00,74.90,1.86,0.00,4.93,0.00
398979,14.36,14.36,8,199,1001,0.00,0.00,74.90,1.71,0.00,5.08,0.39
399151,14.74,14.36,8,199,951,0.00,0.00,74.90,2.03,0.00,5.22,1.18
399322,14.82,14.36,8,199,956,0.00,0.00,74.90,2.45,0.00,5.80,3.14
399494,14.35,14.36,8,199,977,0.00,0.00,74.90,3.26,0.00,7.11,3.92
399666,13.54,14.36,8,199,1026,0.00,0.00,74.90,3.06,0.00,7.69,4.71
399838,12.71,14.36,8,199,1055,0.00,0.00,74.90,3.15,0.00,8.85,5.10
400010,14.15,14.36,8,199,1103,0.00,0.00,74.90,3.35,0.00,9.43,5.88
400182,15.39,14.36,8,201,1064,0.00,0.00,74.90,3.63,0.00,9.87,6.27
400354,16.05,14.36,8,201,1099,0.00,0.00,74.90,3.99,0.00,10.30,6.67
400541,15.75,14.36,8,199,1065,0.00,0.00,74.90,3.64,0.00,10.16,6.67
400713,15.50,14.36,8,201,1164,0.00,0.00,74.90,4.22,0.00,10.30,7.06
400885,15.21,14.36,8,201,1148,0.00,0.00,74.90,4.17,0.00,10.30,7.06
401057,15.42,14.36,8,201,1386,0.00,0.00,74.90,4.73,0.00,10.30,7.45
401229,15.53,14.36,8,201,1433,0.00,0.00,74.90,4.89,0.00,10.30,6.27
401400,16.00,14.36,8,201,1446,0.00,0.00,74.90,4.63,0.00,8.13,3.14
401572,15.08,14.36,8,201,1231,0.00,0.00,74.90,3.41,0.00,7.69,3.14
401760,15.03,14.36,8,201,1242,0.00,0.00,74.90,2.92,0.00,6.67,2.35
401932,14.95,14.36,8,201,1454,0.00,0.00,74.90,3.10,0.00,5.80,2.35
402108,14.58,14.36,8,201,1340,0.00,0.00,74.90,2.57,0.00,5.66,2.75
402280,14.84,14.36,8,201,1364,0.00,0.00,74.90,2.91,0.00,5.51,2.75
402452,14.98,14.36,8,201,1472,0.00,0.00,74.90,3.14,0.00,5.80,4.71
402624,14.77,14.36,8,201,1382,0.00,0.00,74.90,3.54,0.00,6.38,5.49
402796,14.04,14.36,8,201,1438,0.00,0.00,74.90,3.68,0.00,7.25,6.27
402968,14.53,14.36,8,201,1450,0.00,0.00,74.90,4.28,0.00,8.13,7.06
403139,15.38,14.36,8,201,1462,0.00,0.00,74.90,5.30,0.00,8.85,8.24
403311,15.30,14.36,8,201,1494,0.00,0.00,74.90,5.10,0.00,9.58,8.63
403483,15.66,14.36,8,201,1528,0.00,0.00,74.90,5.54,0.00,9.87,8.63
403655,15.66,14.36,8,201,1568,0.00,0.00,74.90,5.68,0.00,9.87,9.02
403827,15.57,14.36,8,201,1616,0.00,0.00,74.90,5.86,0.00,10.01,9.41
404014,15.75,14.36,8,201,1693,0.00,0.00,74.90,6.14,0.00,10.01,9.80
404186,15.36,14.36,8,201,1746,0.00,0.00,74.90,6.33,0.00,10.01,9.80
404358,15.22,14.36,8,201,1779,0.00,0.00,74.90,6.45,0.00,10.01,10.20
404530,15.03,14.36,8,201,1814,0.00,0.00,74.90,6.58,0.00,10.01,10.20
404702,15.33,14.36,8,201,1863,0.00,0.00,74.90,6.76,0.00,9.87,9.80
404874,15.27,14.36,8,201,1898,0.00,0.00,74.90,6.88,0.00,9.72,9.80
405046,14.85,14.36,8,201,1877,0.00,0.00,74.90,6.01,0.00,8.71,3.92
405217,13.93,14.36,8,201,1928,0.00,0.00,74.90,4.11,0.00,6.09,3.53
405405,13.66,14.36,8,201,1930,0.00,0.00,74.90,3.71,0.00,5.08,2.75
405577,13.45,14.36,8,201,1911,0.00,0.00,74.90,3.26,0.00,4.64,2.75
405749,14.14,14.36,8,201,1926,0.00,0.00,74.90,3.29,0.00,4.35,2.35
405920,14.18,14.36,8,201,1929,0.00,0.00,74.90,3.28,0.00,4.21,2.35
406092,13.74,14.36,8,201,1921,0.00,0.00,74.90,2.87,0.00,4.21,2.35
406264,13.93,14.36,8,201,1906,0.00,0.00,74.90,2.85,0.00,4.21,2.35
406436,14.01,14.36,8,201,1902,0.00,0.00,74.90,2.82,0.00,4.21,1.96
406608,14.60,14.36,8,201,1912,0.00,0.00,74.90,3.26,0.00,4.21,1.96
406780,14.30,14.36,8,201,1892,0.00,0.00,74.90,2.42,0.00,4.06,0.00
406967,14.62,14.36,10,201,1849,0.00,0.00,74.90,0.00,0.00,3.63,0.00
407139,16.78,14.36,10,201,1879,0.00,0.00,74.90,0.00,0.00,3.48,0.00
407311,22.92,14.36,10,201,1844,0.00,0.00,74.90,0.00,0.00,3.48,0.00
407483,24.92,14.36,10,201,1839,0.00,0.00,74.90,0.00,0.00,3.48,0.00
407655,23.50,14.36,10,201,1783,0.00,0.00,74.90,0.00,0.00,3.48,0.00
407827,24.05,14.36,10,201,1754,0.00,0.00,74.90,0.00,0.00,3.48,0.00
408014,23.70,14.36,10,201,1744,0.00,0.00,74.90,0.00,0.00,3.48,0.00
408170,24.02,14.36,10,201,1719,0.00,0.00,74.90,0.00,0.00,3.48,0.00
408347,23.88,14.36,10,201,1705,0.00,0.00,74.90,0.00,0.00,3.63,0.00
408519,23.89,14.36,10,201,1664,0.00,0.00,74.90,0.00,0.00,3.63,0.00
408706,23.95,14.36,10,201,1643,0.00,0.00,74.90,0.00,0.00,3.77,0.00
408878,24.00,14.36,10,201,1602,0.00,0.00,74.90,0.00,0.00,3.77,0.00
409050,23.98,14.36,10,201,1596,0.00,0.00,74.90,0.00,0.00,3.92,0.00
409222,23.89,14.36,10,201,1577,0.00,0.00,74.90,0.00,0.00,3.92,0.00
409394,24.01,14.36,10,201,1546,0.00,0.00,74.90,0.00,0.00,4.06,0.00
409581,23.74,14.36,10,201,1520,0.00,0.00,74.90,0.00,0.00,4.06,0.00
409753,23.73,14.36,10,201,1489,0.00,0.00,74.90,0.00,0.00,4.06,0.00
409925,23.70,14.36,10,201,1446,0.00,0.00,74.90,0.00,0.00,4.06,0.00
410097,23.95,14.36,10,201,1446,0.00,0.00,74.90,0.00,0.00,3.92,0.00
410268,23.95,14.36,10,201,1436,0.00,0.00,74.90,0.00,0.00,3.92,0.00
410445,23.60,14.36,10,201,1406,0.00,0.00,74.90,0.00,0.00,3.92,0.00
410617,23.95,14.36,10,201,1381,0.00,0.00,74.90,2.06,0.00,3.92,0.00
410789,24.01,14.36,10,201,1352,0.00,0.00,74.90,2.02,0.00,3.77,0.00
410961,23.64,14.36,10,201,1350,0.00,0.00,74.90,2.30,0.00,3.63,0.00
411137,17.82,14.36,10,201,1341,0.00,0.00,74.90,2.29,0.00,3.63,0.00
411313,14.21,14.36,8,201,1324,0.00,0.00,74.90,2.26,0.00,3.63,0.00
411485,12.50,14.36,8,201,1310,0.00,0.00,74.90,2.25,0.00,3.63,0.00
411657,11.84,14.36,8,201,1309,0.00,0.00,74.90,1.95,0.00,3.63,0.00
411829,11.77,14.36,8,201,1284,0.00,0.00,74.90,1.92,0.00,3.63,0.00
412001,12.61,14.36,8,201,1307,0.00,0.00,74.90,2.21,0.00,3.63,0.00
412172,13.52,14.36,8,201,1275,0.00,0.00,74.90,2.18,0.00,3.63,0.00
412344,13.49,14.36,8,201,1271,0.00,0.00,74.90,2.17,0.00,3.63,0.00
412532,13.11,14.36,8,201,1261,0.00,0.00,74.90,2.15,0.00,3.63,0.00
412703,12.86,14.36,8,201,1259,0.00,0.00,74.90,1.88,0.00,3.77,0.00
412879,13.07,14.36,8,201,1240,0.00,0.00,74.90,1.85,0.00,3.77,0.00
413051,13.41,14.36,8,201,1244,0.00,0.00,74.90,1.86,0.00,3.77,0.00
413223,13.75,14.36,8,201,1227,0.00,0.00,74.90,1.83,0.00,3.77,0.00
413394,14.49,14.36,8,201,1207,0.00,0.00,74.90,1.80,0.00,3.77,0.00
413566,14.84,14.36,8,201,1226,0.00,0.00,74.90,1.83,0.00,3.92,0.00
413738,14.95,14.36,8,201,1213,0.00,0.00,74.90,1.81,0.00,3.92,0.00
413910,14.98,14.36,8,201,1201,0.00,0.00,74.90,1.79,0.00,3.92,0.00
414082,14.90,14.36,8,201,1180,0.00,0.00,74.90,1.76,0.00,3.92,0.00
414254,15.00,14.36,8,201,1192,0.00,0.00,74.90,1.78,0.00,4.06,0.00
414441,15.11,14.36,8,201,1166,0.00,0.00,74.90,1.74,0.00,4.06,0.00
414613,15.13,14.36,8,201,1160,0.00,0.00,74.90,1.73,0.00,4.06,0.00
414785,14.92,14.36,8,201,1118,0.00,0.00,74.90,1.67,0.00,4.21,0.00
414961,14.87,14.36,8,201,1104,0.00,0.00,74.90,1.88,0.00,4.21,0.00
415133,15.11,14.36,8,201,1078,0.00,0.00,74.90,1.84,0.00,4.21,0.00
415305,15.45,14.36,8,201,1050,0.00,0.00,74.90,1.79,0.00,4.35,0.00
415477,15.66,14.36,8,201,1002,0.00,0.00,74.90,1.74,0.00,4.50,0.00
415654,15.93,14.36,8,201,1019,0.00,0.00,74.90,1.52,0.00,4.50,0.00
415830,15.75,14.36,8,201,980,0.00,0.00,74.90,1.88,0.00,4.64,0.00
416002,15.63,14.36,8,201,989,0.00,0.00,74.90,1.76,0.00,4.79,0.00
416174,15.54,14.36,8,201,989,0.00,0.00,74.90,1.90,0.00,5.08,1.18
416350,16.49,14.36,8,201,974,0.00,0.00,74.90,2.70,0.00,5.51,1.96
416522,14.85,14.36,8,201,998,0.00,0.00,74.90,2.80,0.00,6.38,2.75
416710,13.38,14.36,8,201,1019,0.00,0.00,74.90,2.61,0.00,6.96,2.75
416881,13.58,14.36,8,201,1023,0.00,0.00,74.90,2.62,0.00,7.40,3.14
417055,15.10,14.36,8,201,1052,0.00,0.00,74.90,2.59,0.00,7.84,3.92
417227,16.31,14.36,8,201,1054,0.00,0.00,74.90,3.15,0.00,8.13,4.71
417399,15.33,14.36,8,201,1067,0.00,0.00,74.90,3.41,0.00,8.71,5.49
417571,14.95,14.36,8,201,1105,0.00,0.00,74.90,3.67,0.00,9.43,5.88
417743,15.42,14.36,8,201,1092,0.00,0.00,74.90,3.96,0.00,9.72,5.88
417915,15.59,14.36,8,201,1117,0.00,0.00,74.90,4.05,0.00,10.01,6.27
418087,15.51,14.36,8,201,1175,0.00,0.00,74.90,4.26,0.00,10.01,6.67
418259,15.63,14.36,8,201,1181,0.00,0.00,74.90,4.03,0.00,10.01,6.67
418435,15.73,14.36,8,201,1190,0.00,0.00,74.90,3.81,0.00,9.87,6.67
418607,15.73,14.36,8,201,1410,0.00,0.00,74.90,4.81,0.00,9.87,5.88
418783,15.72,14.36,8,201,1446,0.00,0.00,74.90,4.32,0.00,9.29,5.49
418955,15.82,14.36,8,201,1479,0.00,0.00,74.90,4.42,0.00,8.85,5.49
419127,15.21,14.36,8,201,1297,0.00,0.00,74.90,3.87,0.00,8.56,5.49
419315,15.51,14.36,8,201,1307,0.00,0.00,74.90,4.46,0.00,8.27,5.49
419487,15.08,14.36,8,201,1324,0.00,0.00,74.90,3.67,0.00,7.98,5.49
419658,14.98,14.36,8,201,1510,0.00,0.00,74.90,3.87,0.00,7.84,5.49
419830,15.51,14.36,8,201,1574,0.00,0.00,74.90,4.03,0.00,7.69,5.49
420002,15.54,14.36,8,201,1589,0.00,0.00,74.90,4.07,0.00,7.69,5.49
420174,15.69,14.36,8,201,1524,0.00,0.00,74.90,4.23,0.00,7.55,5.49
420346,14.77,14.36,8,201,1540,0.00,0.00,74.90,4.27,0.00,7.55,5.49
420518,14.65,14.36,8,201,1551,0.00,0.00,74.90,4.48,0.00,7.40,5.49
420705,14.81,14.36,8,201,1541,0.00,0.00,74.90,3.94,0.00,7.11,5.49
420877,14.88,14.36,8,201,1574,0.00,0.00,74.90,4.03,0.00,7.11,5.49
421049,15.24,14.36,8,201,1637,0.00,0.00,74.90,4.30,0.00,6.96,5.49
421224,15.08,14.36,8,201,1678,0.00,0.00,74.90,4.29,0.00,7.11,5.49
421396,15.08,14.36,8,201,1705,0.00,0.00,74.90,4.37,0.00,6.96,5.49
421568,14.94,14.36,8,201,1698,0.00,0.00,74.90,4.42,0.00,6.82,5.49
421739,14.70,14.36,8,201,1635,0.00,0.00,74.90,4.53,0.00,6.67,5.49
421911,14.70,14.36,8,201,1653,0.00,0.00,74.90,4.59,0.00,6.53,5.49
422083,14.68,14.36,8,201,1768,0.00,0.00,74.90,4.53,0.00,6.53,5.49
422260,14.74,14.36,8,201,1784,0.00,0.00,74.90,4.57,0.00,6.53,5.49
422432,14.44,14.36,8,201,1783,0.00,0.00,74.90,4.56,0.00,6.38,5.49
422619,14.74,14.36,8,201,1732,0.00,0.00,74.90,4.43,0.00,6.38,5.49
422791,14.47,14.36,8,201,1759,0.00,0.00,74.90,4.13,0.00,6.38,5.49
422963,14.51,14.36,8,201,1786,0.00,0.00,74.90,4.19,0.00,6.24,5.49
423135,14.30,14.36,8,201,1775,0.00,0.00,74.90,4.54,0.00,6.24,5.49
423306,14.15,14.36,8,201,1817,0.00,0.00,74.90,4.26,0.00,6.24,5.49
423478,14.58,14.36,8,201,1838,0.00,0.00,74.90,4.31,0.00,6.24,5.49
423650,14.16,14.36,8,201,1866,0.00,0.00,74.90,4.38,0.00,6.24,5.49
423822,14.44,14.36,8,201,1868,0.00,0.00,74.90,4.38,0.00,6.09,5.49
423994,14.70,14.36,8,201,1884,0.00,0.00,74.90,4.42,0.00,6.09,5.49
424181,14.30,14.36,8,201,1880,0.00,0.00,74.90,4.41,0.00,6.09,5.49
424353,14.21,14.36,8,201,1912,0.00,0.00,74.90,4.49,0.00,6.09,5.49
424525,14.42,14.36,8,201,1929,0.00,0.00,74.90,4.49,0.00,6.09,5.49
427327,23.83,14.36,10,201,1636,0.00,0.00,74.90,0.00,0.00,3.77,0.00
427503,23.70,14.36,10,201,1604,0.00,0.00,74.90,0.00,0.00,3.77,0.00
427680,23.79,14.36,10,201,1592,0.00,0.00,74.90,0.00,0.00,3.92,0.00
427852,23.86,14.36,10,201,1550,0.00,0.00,74.90,0.00,0.00,3.92,0.00
