Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),A/F Correction #1 (%),A/F Learning #1 (%),CL/OL Fueling* (status),Intake Air Temperature (F)
240970,0.00,0.00,16,3.60,1.28,0.78,-4.69,8,117
241010,0.00,0.00,16,3.60,1.28,0.78,-4.69,8,117
241050,0.00,0.00,16,3.60,1.26,0.78,-4.69,8,117
241090,0.00,0.00,16,3.60,1.26,0.78,-4.69,8,117
241126,0.00,0.00,16,3.58,1.26,0.78,-4.69,8,117
241166,0.00,0.00,16,3.58,1.26,0.78,-4.69,8,117
241206,0.00,0.00,16,3.58,1.26,0.78,-4.69,8,117
241245,0.00,0.00,16,3.52,1.28,0.78,-4.69,8,117
241279,0.00,0.00,16,3.52,1.28,0.78,-4.69,8,117
241319,0.00,0.00,16,3.56,1.28,0.78,-4.69,8,117
241359,0.00,0.00,16,3.60,1.28,0.78,-4.69,8,117
241399,0.00,0.00,16,3.60,1.28,1.56,-4.69,8,117
241437,0.00,0.00,16,3.63,1.26,0.78,-4.69,8,117
241477,0.00,0.00,16,3.63,1.26,0.78,-4.69,8,117
241517,0.00,0.00,16,3.63,1.28,1.56,-4.69,8,117
241549,0.00,0.00,16,3.63,1.28,1.56,-4.69,8,117
241589,0.00,0.00,16,3.63,1.28,1.56,-4.69,8,117
241629,0.00,0.00,16,3.63,1.28,1.56,-4.69,8,117
241669,0.00,0.00,16,3.63,1.28,1.56,-4.69,8,117
241710,0.00,0.00,16,3.60,1.26,1.56,-4.69,8,117
241748,0.00,0.00,16,3.60,1.26,1.56,-4.69,8,117
241786,0.00,0.00,16,3.58,1.26,2.34,-4.69,8,117
241826,0.00,0.00,16,3.58,1.28,2.34,-4.69,8,117
241858,0.00,0.00,16,3.58,1.28,2.34,-4.69,8,117
241898,0.00,0.00,16,3.58,1.28,2.34,-4.69,8,117
241938,0.00,0.00,16,3.58,1.28,2.34,-4.69,8,117
241978,0.00,0.00,16,3.58,1.28,2.34,-4.69,8,117
242018,0.00,0.00,16,3.58,1.28,2.34,-4.69,8,117
242058,0.00,0.00,16,3.58,1.28,2.34,-4.69,8,117
242094,0.00,0.00,16,3.67,1.28,2.34,-4.69,8,117
242134,0.00,0.00,16,3.67,1.28,2.34,-4.69,8,117
242176,0.00,0.00,16,3.67,1.28,2.34,-4.69,8,117
242210,0.00,0.00,16,3.89,1.32,2.34,-4.69,8,117
242250,0.00,0.00,16,3.89,1.32,2.34,-4.69,8,117
242290,0.00,0.00,16,4.04,1.32,2.34,-4.69,8,117
242330,0.00,0.00,16,4.04,1.32,2.34,-4.69,8,117
242370,0.00,0.00,16,4.10,1.32,2.34,-4.69,8,117
242402,0.00,0.00,16,4.10,1.32,2.34,-4.69,8,117
242446,0.00,0.00,16,4.13,1.32,2.34,-4.69,8,117
242479,0.00,0.00,16,4.21,1.34,2.34,-4.69,8,117
242518,0.00,0.00,16,4.21,1.34,2.34,-4.69,8,117
242558,0.00,0.00,16,4.55,1.38,2.34,-4.69,8,117
242598,0.00,0.00,16,4.55,1.38,1.56,-4.69,8,117
242638,0.00,0.00,16,5.23,1.42,1.56,-4.69,8,117
242670,0.00,0.00,16,5.62,1.44,1.56,-4.69,8,117
242710,0.00,0.00,16,5.62,1.44,0.78,-4.69,8,117
242750,0.00,0.00,16,5.85,1.46,0.78,-4.69,8,117
242791,0.00,0.00,16,5.85,1.46,0.78,-4.69,8,117
242831,0.00,0.00,16,6.01,1.48,0.00,-4.69,8,117
242871,0.00,0.00,16,6.18,1.48,0.00,-4.69,8,117
242910,0.00,0.00,16,6.18,1.48,-0.78,-4.69,8,117
242943,0.00,0.00,16,6.33,1.50,-1.56,-4.69,8,117
242986,0.00,0.00,16,6.33,1.50,-1.56,-4.69,8,117
243026,0.00,0.00,16,6.48,1.50,-1.56,-4.69,8,117
243058,0.00,0.00,16,6.55,1.52,-2.34,-4.69,8,117
243098,0.00,0.00,16,6.55,1.52,-1.56,-4.69,8,117
243138,0.00,0.00,16,6.77,1.52,-2.34,-4.69,8,117
243178,0.00,0.00,16,6.77,1.52,-2.34,-4.69,8,117
243214,0.00,0.00,16,6.84,1.54,-0.78,-4.69,8,117
243254,0.00,0.00,16,6.84,1.54,-0.78,-4.69,8,117
243294,0.00,0.00,16,7.37,1.58,-0.78,-4.69,8,117
243334,0.00,0.00,16,8.36,1.68,0.00,-4.69,8,117
243374,0.00,0.00,16,8.36,1.68,0.00,-4.69,8,117
243414,0.00,0.00,16,9.84,1.74,0.78,-4.69,8,117
243452,0.00,0.00,16,9.84,1.74,0.78,-4.69,8,117
243484,0.00,0.00,16,10.54,1.76,1.56,-4.69,8,117
243528,0.00,0.00,16,10.94,1.76,1.56,-4.69,8,117
243568,0.00,0.00,16,10.94,1.76,1.56,-4.69,8,117
243600,0.00,0.00,16,11.35,1.78,0.00,-4.69,8,117
243640,0.00,0.00,16,11.35,1.78,-0.78,-4.69,8,117
243680,0.00,0.00,16,11.56,1.80,-2.34,-4.69,8,117
243720,0.00,0.00,16,11.77,1.82,-3.12,-4.69,8,117
243760,0.00,0.00,16,11.77,1.82,-3.12,-4.69,8,117
243800,0.00,0.00,16,11.88,1.82,-2.34,-4.69,8,117
243840,0.00,0.00,16,11.88,1.82,-0.78,-4.69,8,117
243875,0.00,0.00,16,12.04,1.82,0.00,-4.69,8,117
243915,0.00,0.00,16,12.04,1.82,0.78,-4.69,8,117
243955,0.00,0.00,16,12.15,1.82,1.56,-4.69,8,117
243990,0.00,0.00,16,12.20,1.82,2.34,-4.69,8,117
244026,0.00,0.00,16,12.20,1.82,3.12,-4.69,8,117
244068,0.00,0.00,16,12.10,1.82,4.69,-4.69,8,117
244108,0.00,0.00,16,12.10,1.82,4.69,-4.69,8,117
244142,0.00,0.00,16,12.31,1.84,4.69,-4.69,8,117
244182,0.00,0.00,16,12.26,1.82,4.69,-4.69,8,117
244222,0.00,0.00,16,12.26,1.82,4.69,-4.69,8,117
244263,0.00,0.00,16,12.37,1.82,3.91,-4.69,8,117
244299,0.00,0.00,16,12.37,1.82,3.91,-4.69,8,117
244339,0.00,0.00,16,12.31,1.84,3.12,-4.69,8,117
244379,0.00,0.00,16,12.42,1.84,3.12,-4.69,8,117
244413,0.00,0.00,16,12.42,1.84,3.12,-4.69,8,117
244453,0.00,0.00,16,12.37,1.84,3.12,-4.69,8,117
244493,0.00,0.00,16,12.37,1.84,2.34,-4.69,8,117
244533,0.00,0.00,16,12.31,1.84,3.12,-4.69,8,117
244573,0.00,0.00,16,12.31,1.84,2.34,-4.69,8,117
244613,0.00,0.00,16,12.31,1.84,3.12,-4.69,8,117
244645,0.00,0.00,16,12.42,1.84,3.12,-4.69,8,117
244686,0.00,0.00,16,12.42,1.84,3.12,-4.69,8,117
244728,0.00,0.00,16,12.42,1.84,3.12,-4.69,8,117
244766,0.00,0.00,16,12.42,1.84,3.12,-4.69,8,117
244806,0.00,0.00,16,12.48,1.84,3.91,-4.69,8,117
244838,0.00,0.00,16,12.42,1.84,3.91,-4.69,8,117
244878,0.00,0.00,16,12.42,1.84,3.91,-4.69,8,117
244919,0.00,0.00,16,10.52,1.68,3.91,-4.69,8,117
244959,0.00,0.00,16,10.52,1.68,3.91,-4.69,8,117
244999,0.00,0.00,16,5.40,1.38,3.91,-4.69,8,117
245035,0.00,0.00,16,3.96,1.30,3.91,-4.69,8,117
245077,0.00,0.00,16,3.96,1.30,3.12,-4.69,8,117
245110,0.00,0.00,16,3.58,1.26,3.12,-4.69,8,117
245154,0.00,0.00,16,3.58,1.26,2.34,-4.69,8,117
245194,0.00,0.00,16,3.45,1.24,1.56,-3.91,8,117
245226,0.00,0.00,16,3.72,1.30,-0.78,-3.91,8,117
245267,0.00,0.00,16,3.72,1.30,-1.56,-3.91,8,117
245311,0.00,0.00,16,3.93,1.32,-3.12,-3.91,8,117
245343,0.00,0.00,16,3.93,1.32,-3.91,-3.91,8,117
245383,0.00,0.00,16,4.07,1.32,-5.47,-3.91,8,117
245427,0.00,0.00,16,4.13,1.34,-6.25,-3.91,8,117
245459,0.00,0.00,16,4.13,1.34,-6.25,-3.91,8,117
245499,0.00,0.00,16,4.48,1.38,-7.81,-3.91,8,117
245539,0.00,0.00,16,4.48,1.38,-7.81,-3.91,8,117
245579,0.00,0.00,16,4.69,1.38,-8.59,-3.91,8,117
245619,0.00,0.00,16,4.69,1.38,-8.59,-3.91,8,117
245651,0.00,0.00,16,4.75,1.38,-8.59,-3.91,8,117
245691,0.00,0.00,16,4.75,1.38,-9.38,-3.91,8,117
245731,0.00,0.00,16,4.75,1.38,-9.38,-3.91,8,117
245771,0.00,0.00,16,4.69,1.38,-9.38,-3.91,8,117
245811,0.00,0.00,16,4.69,1.38,-10.16,-3.91,8,117
245851,0.00,0.00,16,4.64,1.38,-10.16,-3.91,8,117
245883,0.00,0.00,16,4.64,1.38,-10.94,-3.91,8,117
245923,0.00,0.00,16,4.64,1.38,-10.94,-3.91,8,117
245963,0.00,0.00,16,4.85,1.40,-10.94,-3.91,8,117
246001,0.00,0.00,16,4.85,1.40,-10.94,-3.91,8,117
246045,0.00,0.00,16,5.04,1.42,-10.16,-3.91,8,117
246077,0.00,0.00,16,5.23,1.44,-10.16,-3.91,8,117
246117,0.00,0.00,16,5.23,1.44,-10.16,-3.91,8,117
246157,0.00,0.00,16,5.65,1.46,-10.16,-3.91,8,117
246197,0.00,0.00,16,5.65,1.46,-10.94,-3.91,8,118
246237,0.00,0.00,16,5.81,1.48,-10.94,-3.91,8,118
246277,0.00,0.00,16,6.01,1.48,-10.94,-3.91,8,118
246315,0.00,0.00,16,6.01,1.48,-13.28,-3.91,8,118
246347,0.00,0.00,16,6.51,1.52,-14.06,-4.69,8,118
246387,0.00,0.00,16,6.51,1.52,-15.62,-4.69,8,118
246427,0.00,0.00,16,6.84,1.54,-17.19,-4.69,8,118
246471,0.00,0.00,16,6.84,1.54,-17.97,-4.69,8,118
246503,0.00,0.00,16,7.41,1.58,-20.31,-4.69,8,118
246543,0.00,0.00,16,7.74,1.62,-20.31,-4.69,8,118
246585,0.00,0.00,16,7.74,1.62,-21.09,-4.69,8,118
246625,0.00,0.00,16,8.56,1.64,-21.09,-4.69,8,118
246661,0.00,0.00,16,8.56,1.64,-21.09,-4.69,8,118
246700,0.00,0.00,16,8.91,1.68,-21.09,-4.69,8,118
246740,0.00,0.00,16,9.70,1.70,-20.31,-4.69,8,118
246772,0.00,0.00,16,9.70,1.70,-18.75,-4.69,8,118
246812,0.00,0.00,16,10.38,1.74,-17.19,-4.69,8,118
246852,0.00,0.00,16,10.38,1.74,-15.62,-4.69,8,118
246892,0.00,0.00,16,10.59,1.76,-14.06,-4.69,8,118
246932,0.00,0.00,16,10.89,1.78,-12.50,-4.69,8,118
246972,0.00,0.00,16,10.89,1.78,-11.72,-4.69,8,118
247006,0.00,0.00,16,11.40,1.80,-9.38,-4.69,8,118
247046,0.00,0.00,16,11.40,1.80,-7.81,-4.69,8,118
247086,0.00,0.00,16,11.66,1.80,-5.47,-4.69,8,118
247126,0.00,0.00,16,11.99,1.82,-4.69,-4.69,8,118
247162,0.00,0.00,16,11.99,1.82,-3.91,-4.69,8,118
247203,0.00,0.00,16,12.42,1.84,-3.12,-4.69,8,118
247243,0.00,0.00,16,12.42,1.84,-3.12,-4.69,8,118
247279,0.00,0.00,16,12.48,1.84,-2.34,-4.69,8,118
247315,0.00,0.00,16,12.48,1.84,-3.12,-4.69,8,118
247355,0.00,0.00,16,12.59,1.84,-2.34,-4.69,8,118
247395,0.00,0.00,16,12.59,1.84,-2.34,-4.69,8,118
247439,0.00,0.00,16,12.59,1.84,-2.34,-4.69,8,118
247474,0.00,0.00,16,12.53,1.84,-2.34,-4.69,8,118
247514,0.00,0.00,16,12.53,1.84,-2.34,-4.69,8,118
247554,0.00,0.00,16,12.75,1.86,-1.56,-4.69,8,118
247586,0.00,0.00,16,13.02,1.86,-1.56,-4.69,8,118
247626,0.00,0.00,16,13.02,1.86,-0.78,-4.69,8,118
247668,0.00,0.00,16,13.39,1.88,-0.78,-5.47,8,118
247708,0.00,0.00,16,13.39,1.88,0.00,-5.47,8,118
247748,0.00,0.00,16,13.45,1.88,0.00,-5.47,8,118
247785,0.00,0.00,16,13.65,1.90,0.78,-5.47,8,118
247822,0.00,0.00,16,13.65,1.90,0.78,-5.47,8,118
247858,0.00,0.00,16,13.78,1.90,0.78,-5.47,8,118
247898,0.00,0.00,16,13.78,1.90,0.00,-5.47,8,118
247938,0.00,0.00,16,13.78,1.88,0.00,-5.47,8,118
247978,0.00,0.00,16,13.65,1.88,0.00,-5.47,8,118
248018,0.00,0.00,16,13.65,1.88,0.00,-5.47,8,118
248058,0.00,0.00,16,13.90,1.90,0.00,-5.47,8,118
248090,0.00,0.00,16,13.90,1.90,0.00,-5.47,8,118
248133,0.00,0.00,16,13.96,1.90,0.78,-5.47,8,118
248172,0.00,0.00,16,13.96,1.90,0.78,-5.47,8,118
248212,0.00,0.00,16,13.96,1.90,0.78,-5.47,8,118
248248,0.00,0.00,16,14.28,1.90,0.78,-5.47,8,118
248288,0.00,0.00,16,14.28,1.90,0.78,-5.47,8,118
248328,0.00,0.00,16,14.34,1.90,1.56,-5.47,8,118
248360,0.00,0.00,16,14.34,1.90,0.78,-5.47,8,118
248400,0.00,0.00,16,14.40,1.92,1.56,-5.47,8,118
248440,0.00,0.00,16,14.47,1.92,0.78,-5.47,8,118
248480,0.00,0.00,16,14.47,1.92,1.56,-5.47,8,118
248520,0.00,0.00,16,14.86,1.94,0.78,-5.47,8,118
248560,0.00,0.00,16,14.86,1.94,1.56,-5.47,8,118
248592,0.00,0.00,16,15.19,1.94,1.56,-5.47,8,118
248632,0.00,0.00,16,15.41,1.96,3.12,-5.47,8,118
248674,0.00,0.00,16,15.41,1.96,3.12,-5.47,8,118
248714,0.00,0.00,16,15.78,1.96,3.91,-5.47,8,118
248754,0.00,0.00,16,15.78,1.96,3.91,-5.47,8,118
248786,0.00,0.00,16,16.14,1.98,4.69,-5.47,8,118
248826,0.00,0.00,16,16.14,1.98,4.69,-5.47,8,118
248866,0.00,0.00,16,16.14,1.98,3.91,-5.47,8,118
248906,0.00,0.00,16,16.89,2.02,3.91,-5.47,8,118
248946,0.00,0.00,16,16.89,2.02,3.91,-5.47,8,118
248986,0.00,0.00,16,17.55,2.04,3.91,-5.47,8,118
249023,0.00,0.00,16,17.55,2.04,3.12,-5.47,8,118
249062,0.00,0.00,16,18.71,2.06,3.91,-5.47,8,118
249097,0.00,0.00,16,19.26,2.08,3.91,-5.47,8,118
249140,0.00,0.00,16,19.26,2.08,3.91,-5.47,8,118
249180,0.00,0.00,16,19.58,2.10,3.91,-5.47,8,118
249220,0.00,0.00,16,19.58,2.10,3.91,-5.47,8,118
249257,0.00,0.00,16,19.97,2.10,3.91,-5.47,8,118
249290,0.00,0.00,16,20.50,2.12,3.12,-5.47,8,118
249330,0.00,0.00,16,20.50,2.12,3.12,-5.47,8,118
249373,0.00,0.00,16,20.75,2.12,3.12,-5.47,8,118
249406,0.00,0.00,16,20.75,2.12,3.12,-5.47,8,118
249450,0.00,0.00,16,20.84,2.14,3.12,-5.47,8,118
249490,0.00,0.00,16,21.27,2.14,3.12,-5.47,8,118
249522,0.00,0.00,16,21.27,2.14,3.12,-5.47,8,118
249562,0.00,0.00,16,21.80,2.14,3.91,-5.47,8,118
249602,0.00,0.00,16,21.80,2.14,3.91,-5.47,8,120
249642,0.00,0.00,16,22.14,2.16,3.91,-5.47,8,120
249682,0.00,0.00,16,22.31,2.16,3.91,-5.47,8,120
249722,0.00,0.00,16,22.31,2.16,4.69,-5.47,8,120
249758,0.00,0.00,16,22.77,2.18,4.69,-5.47,8,120
249798,0.00,0.00,16,22.77,2.18,4.69,-5.47,8,120
249838,0.00,0.00,16,23.07,2.18,4.69,-5.47,8,120
249870,0.00,0.00,16,23.07,2.18,4.69,-5.47,8,120
249918,0.00,0.00,16,23.55,2.20,4.69,-5.47,8,120
249950,0.00,0.00,16,24.22,2.22,4.69,-5.47,8,120
249990,0.00,0.00,16,24.22,2.22,5.47,-5.47,8,120
250024,0.00,0.00,16,24.71,2.24,5.47,-5.47,8,120
250064,0.00,0.00,16,24.71,2.24,5.47,-5.47,8,120
250106,0.00,0.00,16,24.99,2.24,5.47,-5.47,8,120
250145,0.00,0.00,16,25.48,2.26,6.25,-5.47,8,120
250184,0.00,0.00,16,25.48,2.26,6.25,-5.47,8,120
250218,0.00,0.00,16,26.20,2.26,6.25,-5.47,8,120
250257,0.00,0.00,16,26.20,2.26,6.25,-5.47,8,120
250300,0.00,0.00,16,26.94,2.28,6.25,-5.47,8,120
250340,0.00,0.00,16,27.77,2.30,6.25,-5.47,8,120
250373,0.00,0.00,16,27.77,2.30,6.25,-5.47,8,120
250414,0.00,0.00,16,28.19,2.32,5.47,-5.47,8,120
250456,0.00,0.00,16,28.19,2.32,6.25,-5.47,8,120
250496,0.00,0.00,16,29.36,2.34,5.47,-5.47,8,120
250528,0.00,0.00,16,30.48,2.36,6.25,-5.47,8,120
250568,0.00,0.00,16,30.48,2.36,6.25,-5.47,8,120
250610,0.00,0.00,16,31.59,2.40,6.25,-5.47,8,120
250650,0.00,0.00,16,31.59,2.40,6.25,-5.47,8,120
250690,0.00,0.00,16,33.33,2.44,6.25,-5.47,8,120
250727,0.00,0.00,16,33.33,2.44,7.03,-5.47,8,120
250767,0.00,0.00,16,36.39,2.50,7.03,-5.47,8,120
250806,0.00,0.00,16,37.86,2.52,7.03,-5.47,8,120
250839,0.00,0.00,16,37.86,2.52,7.03,-5.47,8,120
250879,0.00,0.00,16,39.30,2.54,6.25,-5.47,8,120
250919,0.00,0.00,16,39.30,2.54,5.47,-5.47,8,120
250958,0.00,0.00,16,40.13,2.56,5.47,-5.47,8,120
250999,0.00,0.00,16,40.95,2.58,4.69,-5.47,8,120
251035,0.00,0.00,16,40.95,2.58,5.47,-5.47,8,120
251075,0.00,0.00,16,41.52,2.60,4.69,-5.47,8,120
251115,0.00,0.00,16,41.52,2.60,4.69,-5.47,8,120
251151,0.00,0.00,16,43.02,2.62,4.69,-5.47,8,120
251191,0.00,0.00,16,43.85,2.62,4.69,-5.47,8,120
251231,0.00,0.00,16,43.85,2.62,3.91,-5.47,8,120
251263,0.00,0.00,16,44.27,2.64,3.91,-5.47,8,120
251303,0.00,0.00,16,44.27,2.64,3.91,-5.47,8,120
251346,0.00,0.00,16,45.71,2.66,3.12,-5.47,8,120
251385,0.00,0.00,16,45.71,2.66,3.91,-5.47,8,120
251425,0.00,0.00,16,46.62,2.68,3.91,-5.47,8,120
251465,0.00,0.00,16,46.92,2.68,3.91,-5.47,8,120
251497,0.00,0.00,16,46.92,2.68,3.91,-5.47,8,120
251539,0.00,0.00,16,45.11,2.64,3.12,-5.47,8,120
251579,0.00,0.00,16,45.11,2.64,0.00,-5.47,10,120
251619,0.00,0.00,16,41.09,2.56,0.00,-5.47,10,120
251651,0.00,0.00,16,30.03,2.28,0.00,-5.47,10,120
251697,0.00,0.00,16,30.03,2.28,-0.78,-5.47,10,120
251729,0.00,0.00,16,11.31,1.84,-1.56,-4.69,8,120
251771,0.00,0.00,16,11.31,1.84,0.00,-4.69,10,120
251805,0.00,0.00,16,15.55,1.96,0.00,-3.91,10,120
251845,0.00,0.00,16,16.96,2.00,0.00,-3.91,10,120
251885,0.00,0.00,16,16.96,2.00,0.00,-3.91,10,120
251925,0.00,0.00,16,16.96,2.00,0.00,-3.91,10,120
251965,0.00,0.00,16,16.96,2.00,0.00,-3.91,10,120
252003,0.00,0.00,16,16.14,1.98,0.00,-3.91,10,120
252040,0.00,0.00,16,15.92,1.96,0.00,-3.91,10,120
252080,0.00,0.00,16,15.92,1.96,0.00,-3.91,10,120
252117,0.00,0.00,16,15.40,1.94,0.00,-3.91,10,120
252155,0.00,0.00,16,15.40,1.94,0.00,-3.91,10,120
252195,0.00,0.00,16,15.19,1.94,0.00,-3.91,10,120
252239,0.00,0.00,16,14.86,1.94,0.00,-3.91,10,120
252271,0.00,0.00,16,14.86,1.94,0.00,-3.91,10,120
252311,0.00,0.00,16,14.59,1.90,0.00,-3.91,10,120
252351,0.00,0.00,16,14.59,1.90,0.00,-3.91,10,120
252387,0.00,0.00,16,13.32,1.86,0.00,-3.91,10,120
252427,0.00,0.00,16,13.32,1.86,0.00,-3.91,10,120
252466,0.00,0.00,16,12.47,1.84,0.00,-3.91,10,120
252506,0.00,0.00,16,11.71,1.78,0.00,-3.91,10,120
252546,0.00,0.00,16,11.71,1.78,0.00,-3.91,10,120
252590,0.00,0.00,16,10.43,1.72,0.00,-3.91,10,120
252622,0.00,0.00,16,10.43,1.72,0.00,-3.91,10,120
252663,0.00,0.00,16,9.39,1.68,0.00,-3.91,10,120
252698,0.00,0.00,16,9.18,1.68,0.00,-3.91,10,120
252738,0.00,0.00,16,9.18,1.68,0.00,-3.91,10,120
252778,0.00,0.00,16,9.09,1.66,0.00,-3.91,10,120
252818,0.00,0.00,16,9.09,1.66,0.00,-3.91,10,120
252858,0.00,0.00,16,9.08,1.66,0.00,-3.91,10,120
252898,0.00,0.00,16,8.56,1.64,0.00,-3.91,10,120
252934,0.00,0.00,16,8.56,1.64,0.00,-3.91,10,120
252972,0.00,0.00,16,8.47,1.62,0.00,-3.91,10,120
253008,0.00,0.00,16,8.47,1.62,0.00,-3.91,10,120
253052,0.00,0.00,16,7.94,1.60,0.00,-3.91,10,120
253084,0.00,0.00,16,8.06,1.64,0.00,-3.91,10,120
253124,0.00,0.00,16,8.06,1.64,0.00,-3.91,10,122
253164,0.00,0.00,16,7.98,1.60,0.00,-3.91,10,122
253206,0.00,0.00,16,7.98,1.60,0.00,-3.91,10,122
253246,0.00,0.00,16,9.84,1.78,0.00,-4.69,10,122
253278,0.00,0.00,16,9.84,1.78,0.00,-4.69,10,122
253322,0.00,0.00,16,12.85,1.86,0.00,-4.69,10,122
253354,0.00,0.00,16,13.65,1.88,0.00,-4.69,10,122
253394,0.00,0.00,16,13.65,1.88,0.00,-4.69,10,122
253434,0.00,0.00,16,13.84,1.90,0.00,-4.69,10,122
253476,0.00,0.00,16,13.84,1.90,0.00,-4.69,10,122
253521,0.00,0.00,16,13.96,1.92,0.00,-4.69,10,122
253553,0.00,0.00,16,14.15,1.90,0.00,-4.69,10,122
253593,0.00,0.00,16,14.15,1.90,0.00,-4.69,10,122
253633,0.00,0.00,16,14.59,1.94,0.00,-4.69,8,122
253665,0.00,0.00,16,14.59,1.94,0.78,-4.69,8,122
253711,0.00,0.00,16,17.42,2.04,2.34,-4.69,8,122
253743,0.00,0.00,16,18.41,2.06,2.34,-4.69,8,122
253783,0.00,0.00,16,18.41,2.06,3.12,-4.69,8,122
253822,0.00,0.00,16,18.80,2.06,3.12,-4.69,8,122
253862,0.00,0.00,16,18.80,2.06,2.34,-4.69,8,122
253897,0.00,0.00,16,18.88,2.06,0.78,-4.69,8,122
253938,0.00,0.00,16,19.26,2.08,-0.78,-4.69,8,122
253980,0.00,0.00,16,19.26,2.08,-0.78,-4.69,8,122
254017,0.00,0.00,16,18.57,2.04,-1.56,-4.69,8,122
254057,0.00,0.00,16,18.57,2.04,-2.34,-4.69,8,122
254097,0.00,0.00,16,18.57,2.06,-2.34,-4.69,8,122
254131,0.00,0.00,16,18.57,2.06,-3.12,-4.69,8,122
254173,0.00,0.00,16,20.23,2.12,-3.91,-4.69,8,122
254213,0.00,0.00,16,22.77,2.20,-2.34,-4.69,8,122
254247,0.00,0.00,16,22.77,2.20,-1.56,-4.69,8,122
254287,0.00,0.00,16,24.71,2.26,-0.78,-5.47,8,122
254331,0.00,0.00,16,24.71,2.26,-1.56,-5.47,8,122
254363,0.00,0.00,16,28.92,2.34,-2.34,-5.47,8,122
254403,0.00,0.00,16,30.26,2.36,-3.12,-5.47,8,122
254439,0.00,0.00,16,30.26,2.36,-4.69,-5.47,8,122
254479,0.00,0.00,16,29.47,2.36,-5.47,-5.47,8,122
254519,0.00,0.00,16,29.47,2.36,-4.69,-5.47,8,122
254559,0.00,0.00,16,29.82,2.36,-3.12,-5.47,8,122
254601,0.00,0.00,16,30.81,2.36,-2.34,-5.47,8,122
254641,0.00,0.00,16,30.81,2.36,-1.56,-5.47,8,122
254673,0.00,0.00,16,30.92,2.38,0.00,-5.47,8,122
254713,0.00,0.00,16,30.92,2.38,0.78,-5.47,8,122
254753,0.00,0.00,16,31.25,2.38,1.56,-5.47,8,122
254793,0.00,0.00,16,31.25,2.38,1.56,-5.47,8,122
254833,0.00,0.00,16,31.14,2.38,1.56,-5.47,8,122
254867,0.00,0.00,16,30.48,2.36,1.56,-5.47,8,122
254911,0.00,0.00,16,30.48,2.36,2.34,-5.47,8,122
254943,0.00,0.00,16,30.15,2.36,2.34,-5.47,8,122
254985,0.00,0.00,16,30.15,2.36,2.34,-5.47,8,122
255027,0.00,0.00,16,30.14,2.36,3.12,-5.47,8,122
255065,0.00,0.00,16,27.88,2.28,3.12,-5.47,8,122
255105,0.00,0.00,16,27.88,2.28,3.91,-5.47,8,122
255137,0.00,0.00,16,25.68,2.26,3.91,-5.47,8,122
255180,0.00,0.00,16,25.68,2.26,3.12,-5.47,8,122
255220,0.00,0.00,16,25.10,2.24,0.78,-5.47,8,122
255254,0.00,0.00,16,24.42,2.22,0.00,-5.47,8,122
255295,0.00,0.00,16,24.42,2.22,0.00,-5.47,8,122
255333,0.00,0.00,16,23.93,2.22,0.00,-5.47,8,122
255373,0.00,0.00,16,23.93,2.22,1.56,-5.47,8,122
255413,0.00,0.00,16,23.07,2.18,1.56,-4.69,8,122
255453,0.00,0.00,16,20.24,2.10,2.34,-4.69,8,122
255485,0.00,0.00,16,20.24,2.10,2.34,-4.69,8,122
255525,0.00,0.00,16,18.49,2.06,2.34,-4.69,8,122
255565,0.00,0.00,16,18.49,2.06,2.34,-4.69,8,122
255606,0.00,0.00,16,17.48,2.02,0.00,-4.69,8,122
255646,0.00,0.00,16,16.44,2.00,-1.56,-4.69,8,122
255680,0.00,0.00,16,16.44,2.00,-3.91,-4.69,8,122
255720,0.00,0.00,16,16.36,1.98,-4.69,-4.69,8,122
255763,0.00,0.00,16,16.36,1.98,-4.69,-4.69,8,122
255799,0.00,0.00,16,14.66,1.90,-3.91,-4.69,8,122
255839,0.00,0.00,16,14.66,1.90,-3.91,-4.69,8,122
255879,0.00,0.00,16,13.65,1.88,-4.69,-4.69,8,122
255911,0.00,0.00,16,13.26,1.86,-4.69,-4.69,8,122
255951,0.00,0.00,16,13.26,1.86,-5.47,-4.69,8,122
255991,0.00,0.00,16,12.90,1.86,-5.47,-4.69,8,122
256031,0.00,0.00,16,12.90,1.86,-5.47,-4.69,8,122
256072,0.00,0.00,16,12.96,1.86,-4.69,-4.69,8,122
256103,0.00,0.00,16,12.64,1.84,-3.91,-4.69,8,122
256143,0.00,0.00,16,12.64,1.84,-3.12,-4.69,8,122
256183,0.00,0.00,16,12.69,1.84,-2.34,-4.69,8,122
256223,0.00,0.00,16,12.69,1.84,-1.56,-4.69,8,122
256262,0.00,0.00,16,12.59,1.84,0.00,-3.91,8,120
256303,0.00,0.00,16,12.70,1.84,0.00,-3.91,8,120
256341,0.00,0.00,16,12.70,1.84,0.78,-3.91,8,120
256378,0.00,0.00,16,12.37,1.84,1.56,-3.91,8,120
256418,0.00,0.00,16,12.37,1.84,1.56,-3.91,8,120
256459,0.00,0.00,16,12.20,1.82,1.56,-3.91,8,120
256494,0.00,0.00,16,12.25,1.82,1.56,-3.91,8,120
256534,0.00,0.00,16,12.25,1.82,1.56,-3.91,8,120
256574,0.00,0.00,16,12.25,1.82,0.78,-3.91,8,120
