Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
21510,0.00,0.00,16,388,0.0
21542,0.00,0.00,16,388,0.0
21566,0.00,0.00,16,388,0.0
21598,0.00,0.00,16,388,0.0
21630,0.00,0.00,16,388,0.0
21654,0.00,0.00,16,388,0.0
21686,0.00,0.00,16,388,0.0
21718,0.00,0.00,16,388,0.0
21744,0.00,0.00,16,388,0.0
21776,0.00,0.00,16,388,0.0
21800,0.00,0.00,16,388,0.0
21832,0.00,0.00,16,388,0.0
21864,0.00,0.00,16,388,0.0
21896,0.00,0.00,16,388,0.0
21920,0.00,0.00,16,388,0.0
21952,0.00,0.00,16,388,0.0
21984,0.00,0.00,16,388,0.0
22008,0.00,0.00,16,388,0.0
22040,0.00,0.00,16,388,0.0
22072,0.00,0.00,16,388,0.0
22096,0.00,0.00,16,388,0.0
22128,0.00,0.00,16,388,0.0
22160,0.00,0.00,16,388,0.0
22184,0.00,0.00,16,388,0.0
22216,0.00,0.00,16,388,0.0
22248,0.00,0.00,16,388,0.0
22272,0.00,0.00,16,388,0.0
22304,0.00,0.00,16,388,0.0
22336,0.00,0.00,16,388,0.0
22368,0.00,0.00,16,388,0.0
22392,0.00,0.00,16,388,0.0
22424,0.00,0.00,16,388,0.0
22456,0.00,0.00,16,388,0.0
22480,0.00,0.00,16,388,0.0
22513,0.00,0.00,16,388,0.0
22545,0.00,0.00,16,388,0.0
22574,0.00,0.00,16,388,0.0
22603,0.00,0.00,16,388,0.0
22627,0.00,0.00,16,388,0.0
22659,0.00,0.00,16,388,0.0
22691,0.00,0.00,16,388,0.0
22723,0.00,0.00,16,388,0.0
22747,0.00,0.00,16,388,0.0
22779,0.00,0.00,16,388,0.0
22811,0.00,0.00,16,388,0.0
22835,0.00,0.00,16,388,0.0
22867,0.00,0.00,16,388,0.0
22899,0.00,0.00,16,388,0.0
22923,0.00,0.00,16,388,0.0
22955,0.00,0.00,16,388,0.0
22987,0.00,0.00,16,388,0.0
23019,0.00,0.00,16,388,0.0
23043,0.00,0.00,16,388,0.0
23075,0.00,0.00,16,388,0.0
23107,0.00,0.00,16,388,0.0
23131,0.00,0.00,16,388,0.0
23163,0.00,0.00,16,388,0.0
23192,0.00,0.00,16,388,0.0
23224,0.00,0.00,16,388,0.0
23248,0.00,0.00,16,388,0.0
23280,0.00,0.00,16,388,0.0
23312,0.00,0.00,16,388,0.0
23344,0.00,0.00,16,388,0.0
23368,0.00,0.00,16,388,0.0
23400,0.00,0.00,16,388,0.0
23432,0.00,0.00,16,388,0.0
23456,0.00,0.00,16,388,0.0
23488,0.00,0.00,16,388,0.0
23520,0.00,0.00,16,388,0.0
23544,0.00,0.00,16,388,0.0
23576,0.00,0.00,16,388,0.0
23608,0.00,0.00,16,388,0.0
23632,0.00,0.00,16,388,0.0
23664,0.00,0.00,16,388,0.0
23696,0.00,0.00,16,388,0.0
23728,0.00,0.00,16,388,0.0
23756,0.00,0.00,16,388,0.0
23784,0.00,0.00,16,388,0.0
23816,0.00,0.00,16,388,0.0
23840,0.00,0.00,16,388,0.0
23872,0.00,0.00,16,388,0.0
23900,0.00,0.00,16,388,0.0
23932,0.00,0.00,16,388,0.6
23964,0.00,0.00,16,388,0.6
23988,0.00,0.00,16,388,1.2
24020,0.00,0.00,16,388,1.2
24052,0.00,0.00,16,388,0.6
24076,0.00,0.00,16,388,1.2
24108,0.00,0.00,16,388,1.8
24140,0.00,0.00,16,388,1.2
24164,0.00,0.00,16,388,0.6
24196,0.00,0.00,16,388,0.6
24228,0.00,0.00,16,388,0.0
24252,0.00,0.00,16,388,0.0
24284,0.00,0.00,16,388,-3.5
24316,0.00,0.00,16,388,-4.1
24348,0.00,0.00,16,388,-1.8
24372,0.00,0.00,16,388,0.0
24400,0.00,0.00,16,388,0.0
24432,0.00,0.00,16,388,0.0
24464,0.00,0.00,16,388,0.0
24496,0.00,0.00,16,388,0.0
24521,0.00,0.00,16,388,0.0
24553,0.00,0.00,16,388,0.0
24584,0.00,0.00,16,388,0.0
24613,0.00,0.00,16,388,0.0
24645,0.00,0.00,16,388,0.0
24669,0.00,0.00,16,388,0.0
24701,0.00,0.00,16,388,0.0
24727,0.00,0.00,16,388,0.0
24759,0.00,0.00,16,388,0.0
24791,0.00,0.00,16,388,0.0
24815,0.00,0.00,16,388,0.0
24847,0.00,0.00,16,388,0.0
24879,0.00,0.00,16,388,0.0
24911,0.00,0.00,16,388,0.0
24935,0.00,0.00,16,388,0.0
24967,0.00,0.00,16,388,0.0
24999,0.00,0.00,16,388,0.0
25023,0.00,0.00,16,388,0.0
25056,0.00,0.00,16,388,0.0
25080,0.00,0.00,16,388,0.0
25116,0.00,0.00,16,388,0.0
25141,0.00,0.00,16,388,0.0
25173,0.00,0.00,16,388,0.0
25204,0.00,0.00,16,388,0.0
25229,0.00,0.00,16,388,0.0
25260,0.00,0.00,16,388,0.0
25295,0.00,0.00,16,388,0.0
25322,0.00,0.00,16,388,0.0
25354,0.00,0.00,16,388,0.0
25378,0.00,0.00,16,388,0.0
25410,0.00,0.00,16,388,0.0
25440,0.00,0.00,16,388,0.0
25470,0.00,0.00,16,388,0.0
25502,0.00,0.00,16,388,0.0
25526,0.00,0.00,16,388,0.0
25558,0.00,0.00,16,388,0.0
25590,0.00,0.00,16,388,0.0
25614,0.00,0.00,16,388,0.0
25646,0.00,0.00,16,388,0.0
25678,0.00,0.00,16,388,0.0
25710,0.00,0.00,16,388,0.0
25734,0.00,0.00,16,388,0.0
25763,0.00,0.00,16,388,0.0
25795,0.00,0.00,16,388,0.0
25819,0.00,0.00,16,388,0.0
25853,0.00,0.00,16,388,0.0
25885,0.00,0.00,16,388,0.0
25909,0.00,0.00,16,388,0.0
25939,0.00,0.00,16,388,0.0
25971,0.00,0.00,16,388,0.0
26002,0.00,0.00,16,388,0.0
26034,0.00,0.00,16,388,0.0
26058,0.00,0.00,16,388,0.0
26090,0.00,0.00,16,388,0.0
26122,0.00,0.00,16,388,0.0
26150,0.00,0.00,16,388,0.0
26182,0.00,0.00,16,388,0.0
26210,0.00,0.00,16,388,0.0
26234,0.00,0.00,16,388,0.0
26264,0.00,0.00,16,388,0.0
26296,0.00,0.00,16,388,0.0
26325,0.00,0.00,16,388,0.0
26357,0.00,0.00,16,388,0.0
26389,0.00,0.00,16,388,0.0
26413,0.00,0.00,16,388,0.0
26446,0.00,0.00,16,388,0.0
26477,0.00,0.00,16,388,0.0
26502,0.00,0.00,16,388,0.0
26534,0.00,0.00,16,388,0.0
26565,0.00,0.00,16,388,0.0
26590,0.00,0.00,16,388,0.0
26622,0.00,0.00,16,388,0.0
26653,0.00,0.00,16,388,0.0
26678,0.00,0.00,16,388,0.0
26710,0.00,0.00,16,388,0.0
26741,0.00,0.00,16,388,0.0
26773,0.00,0.00,16,388,0.0
26797,0.00,0.00,16,388,0.0
26829,0.00,0.00,16,388,0.0
26861,0.00,0.00,16,388,0.0
26887,0.00,0.00,16,388,0.0
26919,0.00,0.00,16,388,0.0
26944,0.00,0.00,16,388,0.0
26976,0.00,0.00,16,388,0.0
27002,0.00,0.00,16,388,0.0
27034,0.00,0.00,16,388,0.0
27066,0.00,0.00,16,388,0.0
27090,0.00,0.00,16,388,0.0
27124,0.00,0.00,16,388,0.0
27156,0.00,0.00,16,388,0.0
27180,0.00,0.00,16,388,0.0
27212,0.00,0.00,16,388,0.0
27244,0.00,0.00,16,388,0.0
27268,0.00,0.00,16,388,0.0
27300,0.00,0.00,16,388,0.0
27332,0.00,0.00,16,388,0.0
27356,0.00,0.00,16,388,0.0
27388,0.00,0.00,16,388,0.0
27420,0.00,0.00,16,388,0.0
27446,0.00,0.00,16,388,0.0
27478,0.00,0.00,16,388,0.0
27509,0.00,0.00,16,388,0.0
27539,0.00,0.00,16,388,0.0
27570,0.00,0.00,16,388,0.0
27600,0.00,0.00,16,388,0.0
27624,0.00,0.00,16,388,0.0
27657,0.00,0.00,16,388,0.0
27688,0.00,0.00,16,388,0.0
27713,0.00,0.00,16,388,0.0
27747,0.00,0.00,16,388,0.0
27771,0.00,0.00,16,388,0.0
27805,0.00,0.00,16,388,0.0
27830,0.00,0.00,16,388,0.0
27862,0.00,0.00,16,388,0.0
27894,0.00,0.00,16,388,0.0
27918,0.00,0.00,16,388,0.0
27950,0.00,0.00,16,388,0.0
27980,0.00,0.00,16,388,0.0
28012,0.00,0.00,16,388,0.0
28044,0.00,0.00,16,388,0.0
28068,0.00,0.00,16,388,0.0
28102,0.00,0.00,16,388,0.0
28126,0.00,0.00,16,388,0.0
28158,0.00,0.00,16,388,0.0
28189,0.00,0.00,16,388,0.0
28221,0.00,0.00,16,388,0.0
28249,0.00,0.00,16,388,0.0
28274,0.00,0.00,16,388,0.0
28306,0.00,0.00,16,388,0.0
28338,0.00,0.00,16,388,0.0
28363,0.00,0.00,16,388,0.0
28395,0.00,0.00,16,388,0.0
28427,0.00,0.00,16,388,0.0
28451,0.00,0.00,16,388,0.0
28485,0.00,0.00,16,388,0.0
28517,0.00,0.00,16,388,0.0
28541,0.00,0.00,16,388,0.0
28573,0.00,0.00,16,388,0.0
28597,0.00,0.00,16,388,0.0
28629,0.00,0.00,16,388,0.0
28661,0.00,0.00,16,388,0.0
28693,0.00,0.00,16,388,0.0
28717,0.00,0.00,16,388,0.0
28751,0.00,0.00,16,388,0.0
28775,0.00,0.00,16,388,0.0
28807,0.00,0.00,16,388,0.0
28839,0.00,0.00,16,388,0.0
28863,0.00,0.00,16,388,0.0
28895,0.00,0.00,16,388,0.0
28927,0.00,0.00,16,388,0.0
28959,0.00,0.00,16,388,0.0
28983,0.00,0.00,16,388,0.0
29015,0.00,0.00,16,388,0.0
29047,0.00,0.00,16,388,0.0
29071,0.00,0.00,16,388,0.0
29103,0.00,0.00,16,388,0.0
29135,0.00,0.00,16,388,0.0
29160,0.00,0.00,16,388,0.0
29192,0.00,0.00,16,388,0.0
29223,0.00,0.00,16,388,0.0
29248,0.00,0.00,16,388,0.0
29280,0.00,0.00,16,388,0.0
29312,0.00,0.00,16,388,0.0
29342,0.00,0.00,16,388,0.0
29372,0.00,0.00,16,388,0.0
29404,0.00,0.00,16,388,0.0
29428,0.00,0.00,16,388,0.0
29460,0.00,0.00,16,388,0.0
29490,0.00,0.00,16,388,0.0
29514,0.00,0.00,16,388,0.0
29546,0.00,0.00,16,388,0.0
29578,0.00,0.00,16,388,0.0
29602,0.00,0.00,16,388,0.0
29634,0.00,0.00,16,388,0.0
29668,0.00,0.00,16,388,0.0
29692,0.00,0.00,16,388,0.0
29724,0.00,0.00,16,388,0.0
29756,0.00,0.00,16,388,0.0
29780,0.00,0.00,16,388,0.0
29812,0.00,0.00,16,388,0.0
29844,0.00,0.00,16,388,0.0
29868,0.00,0.00,16,388,0.0
29900,0.00,0.00,16,388,0.0
29932,0.00,0.00,16,388,0.0
29956,0.00,0.00,16,388,0.0
29988,0.00,0.00,16,388,0.0
30020,0.00,0.00,16,388,0.0
30046,0.00,0.00,16,388,0.0
30078,0.00,0.00,16,388,0.0
30110,0.00,0.00,16,388,0.0
30134,0.00,0.00,16,388,0.0
30168,0.00,0.00,16,388,0.0
30195,0.00,0.00,16,388,0.0
30227,0.00,0.00,16,388,0.0
30258,0.00,0.00,16,388,0.0
30282,0.00,0.00,16,388,0.0
30315,0.00,0.00,16,388,0.0
30346,0.00,0.00,16,388,0.0
30370,0.00,0.00,16,388,0.0
30403,0.00,0.00,16,388,0.0
30434,0.00,0.00,16,388,0.0
30459,0.00,0.00,16,388,0.0
30491,0.00,0.00,16,388,0.0
30523,0.00,0.00,16,388,0.0
30554,0.00,0.00,16,388,0.0
30579,0.00,0.00,16,388,0.0
30611,0.00,0.00,16,388,0.0
30642,0.00,0.00,16,388,0.0
30674,0.00,0.00,16,388,0.0
30699,0.00,0.00,16,388,0.0
30730,0.00,0.00,16,388,0.0
30762,0.00,0.00,16,388,0.0
30786,0.00,0.00,16,388,0.0
30818,0.00,0.00,16,388,0.0
30847,0.00,0.00,16,388,0.0
30879,0.00,0.00,16,388,0.0
30903,0.00,0.00,16,388,0.0
30935,0.00,0.00,16,388,0.0
30967,0.00,0.00,16,388,0.0
30999,0.00,0.00,16,388,0.0
31023,0.00,0.00,16,388,0.0
31055,0.00,0.00,16,388,0.0
31087,0.00,0.00,16,388,0.0
31111,0.00,0.00,16,388,0.0
31143,0.00,0.00,16,388,0.0
31174,0.00,0.00,16,388,0.0
31206,0.00,0.00,16,388,0.0
31231,0.00,0.00,16,388,0.0
31262,0.00,0.00,16,388,0.0
31287,0.00,0.00,16,388,0.0
31319,0.00,0.00,16,388,0.0
31350,0.00,0.00,16,388,0.0
31375,0.00,0.00,16,388,0.0
31407,0.00,0.00,16,388,0.0
31439,0.00,0.00,16,388,0.0
31470,0.00,0.00,16,388,0.0
31495,0.00,0.00,16,388,0.0
31527,0.00,0.00,16,388,0.0
31558,0.00,0.00,16,388,0.0
31583,0.00,0.00,16,388,0.0
31615,0.00,0.00,16,388,0.0
31646,0.00,0.00,16,388,0.0
31675,0.00,0.00,16,388,0.0
31699,0.00,0.00,16,388,0.0
31731,0.00,0.00,16,388,0.0
31763,0.00,0.00,16,388,0.0
31795,0.00,0.00,16,388,0.0
31819,0.00,0.00,16,388,0.0
31851,0.00,0.00,16,388,0.0
31883,0.00,0.00,16,388,0.0
31909,0.00,0.00,16,388,0.0
31941,0.00,0.00,16,388,0.0
31965,0.00,0.00,16,388,0.0
31997,0.00,0.00,16,388,0.0
32031,0.00,0.00,16,388,0.0
32062,0.00,0.00,16,388,0.0
32087,0.00,0.00,16,388,0.0
32116,0.00,0.00,16,388,0.0
32145,0.00,0.00,16,388,0.0
32178,0.00,0.00,16,388,0.0
32202,0.00,0.00,16,388,0.0
32237,0.00,0.00,16,388,0.0
32268,0.00,0.00,16,388,0.0
32292,0.00,0.00,16,388,0.0
32324,0.00,0.00,16,388,0.0
32356,0.00,0.00,16,388,0.0
32380,0.00,0.00,16,388,0.0
32410,0.00,0.00,16,388,0.0
32438,0.00,0.00,16,388,0.0
32473,0.00,0.00,16,388,0.0
32503,0.00,0.00,16,388,0.0
32534,0.00,0.00,16,388,0.0
32559,0.00,0.00,16,388,0.0
32592,0.00,0.00,16,388,0.0
32624,0.00,0.00,16,388,0.0
32648,0.00,0.00,16,388,0.0
32680,0.00,0.00,16,388,0.0
32712,0.00,0.00,16,388,0.0
32744,0.00,0.00,16,388,0.0
32768,0.00,0.00,16,388,0.0
32800,0.00,0.00,16,388,0.0
32824,0.00,0.00,16,388,0.0
32858,0.00,0.00,16,388,0.0
32882,0.00,0.00,16,388,0.0
32914,0.00,0.00,16,388,0.0
32948,0.00,0.00,16,388,0.0
32972,0.00,0.00,16,388,0.0
33006,0.00,0.00,16,388,0.0
33030,0.00,0.00,16,388,0.0
33062,0.00,0.00,16,388,0.0
33088,0.00,0.00,16,388,0.0
33120,0.00,0.00,16,388,0.0
33152,0.00,0.00,16,388,0.0
33184,0.00,0.00,16,388,0.0
33208,0.00,0.00,16,388,0.0
33240,0.00,0.00,16,388,0.0
33272,0.00,0.00,16,388,0.0
33296,0.00,0.00,16,388,0.0
33336,0.00,0.00,16,388,0.0
33360,0.00,0.00,16,388,0.0
33389,0.00,0.00,16,388,0.0
33419,0.00,0.00,16,388,0.0
33447,0.00,0.00,16,388,0.0
33479,0.00,0.00,16,388,0.0
33503,0.00,0.00,16,388,0.0
33535,0.00,0.00,16,388,0.0
33567,0.00,0.00,16,388,0.0
33591,0.00,0.00,16,388,0.0
33623,0.00,0.00,16,388,0.0
33655,0.00,0.00,16,388,0.0
33681,0.00,0.00,16,388,0.0
33713,0.00,0.00,16,388,0.0
33745,0.00,0.00,16,388,0.0
33769,0.00,0.00,16,388,0.0
33801,0.00,0.00,16,388,0.0
33833,0.00,0.00,16,388,0.0
33857,0.00,0.00,16,388,0.0
33889,0.00,0.00,16,388,0.0
33923,0.00,0.00,16,388,0.0
33947,0.00,0.00,16,388,0.0
33979,0.00,0.00,16,388,0.0
34011,0.00,0.00,16,388,0.0
34035,0.00,0.00,16,388,0.0
34067,0.00,0.00,16,388,0.0
34098,0.00,0.00,16,388,0.0
34128,0.00,0.00,16,388,0.0
34157,0.00,0.00,16,388,0.0
34189,0.00,0.00,16,388,0.0
34213,0.00,0.00,16,388,0.0
34245,0.00,0.00,16,388,0.0
34277,0.00,0.00,16,388,0.0
34301,0.00,0.00,16,388,0.0
34329,0.00,0.00,16,388,0.0
34361,0.00,0.00,16,388,0.0
34393,0.00,0.00,16,388,0.0
34422,0.00,0.00,16,388,0.0
34448,0.00,0.00,16,388,0.0
34480,0.00,0.00,16,388,0.0
34512,0.00,0.00,16,388,0.0
34536,0.00,0.00,16,388,0.0
34568,0.00,0.00,16,388,0.0
34601,0.00,0.00,16,388,0.0
34625,0.00,0.00,16,388,0.0
34657,0.00,0.00,16,388,0.0
34689,0.00,0.00,16,388,0.0
34720,0.00,0.00,16,388,0.0
34744,0.00,0.00,16,388,0.0
34777,0.00,0.00,16,388,0.0
34808,0.00,0.00,16,388,0.0
34833,0.00,0.00,16,388,0.0
34865,0.00,0.00,16,388,0.0
34897,0.00,0.00,16,388,0.0
34921,0.00,0.00,16,388,0.0
34953,0.00,0.00,16,388,0.0
34985,0.00,0.00,16,388,0.0
35009,0.00,0.00,16,388,0.0
35043,0.00,0.00,16,388,0.0
35075,0.00,0.00,16,388,0.0
